Āfrika	Afrika
Tadeušs Mazoveckis	Tadeusz Mazowiecki
Hyundai Motor Group	Hyundai Motor Company
Ogists un Luī Limjēri	Brüder Lumière
Kabriolets	Cabriolet
Ridlijs Skots	Ridley Scott
Tims Bērtons	Tim Burton
Džina Lollobridžida	Gina Lollobrigida
Bundesvērs	Bundeswehr
Ketrina Hepbērna	Katharine Hepburn
Vācijas kanclers	Kanzler von Deutschland
Rietumberlīne	West-Berlin
Vācijas atkalapvienošana	Deutsche Wiedervereinigung
Frānsiss Fords Kopola	Francis Ford Coppola
Brāļi Koeni	Ethan und Joel Coen
Tjerī Žoržu	Thierry Gueorgiou
Stiprie spirtotie dzērieni	Spirituosen
Žoržs Bizē	Georges Bizet
Līze Meitnere	Lise Meitner
24 (seriāls)	24 (Fernsehserie)
Kims Čonins	Kim Jong-un
Monegasku dialekts	Monegassischer Dialekt
Gēlu valodas	Goidelische Sprachen
Sāmu valodas	Samische Sprachen
Hausu valoda	Hausa (Sprache)
Vilamoviešu valoda	Wilmesaurisch
Zibenskarš	Blitzkrieg
Pirts	Sauna
Dzjansji	Jiangxi
Paracetamols	Paracetamol
Filips Lenards	Philipp Lenard
Oto Hāns	Otto Hahn
Džeimss Franks	James Franck
Makss fon Laue	Max von Laue
Vilhelms Vīns	Wilhelm Wien
Gustavs Hercs	Gustav Hertz
Oto Šterns	Otto Stern (Physiker)
Daniels Gabriels Fārenheits	Daniel Gabriel Fahrenheit
Nellija Zaksa	Nelly Sachs
Fricis Hābers	Fritz Haber
Karls Ferdinands Brauns	Ferdinand Braun
Jirgens Klinsmans	Jürgen Klinsmann
Ērihs Fromms	Erich Fromm
Pauls Ērlihs	Paul Ehrlich
Emanuels Laskers	Emanuel Lasker
Gotlībs Daimlers	Gottlieb Daimler
Marija Geperta-Maiera	Maria Goeppert-Mayer
Kārlis Veierštrāss	Karl Weierstraß
Heinrihs Šlīmanis	Heinrich Schliemann
Jozefs Mengele	Josef Mengele
Osvalds Špenglers	Oswald Spengler
Jenss Lēmans	Jens Lehmann
Diāna Krīgere	Diane Kruger
Peters Grīnbergs	Peter Grünberg
Sigismunds Luksemburgs	Sigismund (HRR)
Valters Nernsts	Walther Nernst
Oto Vallahs	Otto Wallach
Albrehts Kosels	Albrecht Kossel
Vilhelms Kanariss	Wilhelm Canaris
Helmuts fon Moltke (jaunākais)	Helmuth Johannes Ludwig von Moltke
Hanss Ulrihs Rūdels	Hans-Ulrich Rudel
Erihs fon Manšteins	Erich von Manstein
Within Temptation	Within Temptation
Ginters fon Klūge	Günther von Kluge
Power metal	Power Metal
Valters fon Reihenavs	Walter von Reichenau
Maikls Fasbenders	Michael Fassbender
Kakau	Cacau
Frics Tots	Fritz Todt
Erihs fon Falkenhains	Erich von Falkenhayn
Erihs Rēders	Erich Raeder
Ādolfs Andersens	Adolf Anderssen
Ervins fon Viclēbens	Erwin von Witzleben
Hanna Reiča	Hanna Reitsch
Gustavs Bauers	Gustav Bauer
Oto Lilientāls	Otto Lilienthal
Horsts Vesels	Horst Wessel
Frīdrihs Georgs Vilhelms Strūve	Friedrich Georg Wilhelm Struve
Kristofs Šneiders	Christoph Schneider
Erhards Milhs	Erhard Milch
Georgs fon Kihlers	Georg von Küchler
Volframs fon Rihthofens	Wolfram von Richthofen
Ernsts Udets	Ernst Udet
Frīdrihs Vilhelms IV Hohencollerns	Friedrich Wilhelm IV.
Pauls Hausers	Paul Hausser
Matiass Zammers	Matthias Sammer
Ernsts Kasīrers	Ernst Cassirer
Kārlis Ernsts fon Bērs	Karl Ernst von Baer
Hanss Ādolfs Krebss	Hans Adolf Krebs
Gerhards Domagks	Gerhard Domagk
Erihs Hartmanis	Erich Hartmann (Jagdflieger)
Pfalcas Fridrihs	Friedrich V. (Pfalz)
Vilhelms Lists	Wilhelm List
Joahims Peipers	Joachim Peiper
Hanss fon Zēkts	Hans von Seeckt
Gothards Heinrici	Gotthard Heinrici
Aleksandra Fjodorovna (Nikolaja I sieva)	Charlotte von Preußen (1798–1860)
Šķīvis	Teller
Kurts Meiers	Kurt Meyer (SS-Mitglied)
Valters Funks	Walther Funk
Ludvigs Tīks	Ludwig Tieck
Ernsts Kummers	Ernst Eduard Kummer
Hermanis Minkovskis	Hermann Minkowski
Ernsts Cermelo	Ernst Zermelo
Ferdinands Porše	Ferdinand Porsche
Georgijs Parvanovs	Georgi Parwanow
Karaliene Aleksandrīne	Alexandrine zu Mecklenburg
Omārs el Bešīrs	Umar al-Baschir
Ernsts Tollers	Ernst Toller
Erihs fon dem Bahs-Celevskis	Erich von dem Bach-Zelewski
Gerhards Barkhorns	Gerhard Barkhorn
Felipe Kalderons	Felipe Calderón
Helmuts Veidlings	Helmuth Weidling
Pols Bija	Paul Biya
Brita Štefena	Britta Steffen
Joveri Museveni	Yoweri Museveni
Maikls Higinss	Michael D. Higgins
Gotfrīds Benns	Gottfried Benn
Trajans Besesku	Traian Băsescu
Jakobs Zuma	Jacob Zuma
Emīls Artins	Emil Artin
Fanija Mendelsone	Fanny Hensel
Haralds V Gliksburgs	Harald V. (Norwegen)
Elizabete Švarckopfa	Elisabeth Schwarzkopf
Tomass Hendriks Ilvess	Toomas Hendrik Ilves
Frankfurtes grāmatu gadatirgus	Frankfurter Buchmesse
Ivans Gašparovičs	Ivan Gašparovič
Ernsts Tempels	Ernst Wilhelm Leberecht Tempel
Abdulla Saūds	Abdullah ibn Abd al-Aziz
Karols Papulijs	Karolos Papoulias
Bernhards cur Lipe-Bīsterfelds	Bernhard zur Lippe-Biesterfeld
Ērihs Mīlke	Erich Mielke
Jefims Bogoļubovs	Efim Bogoljubow
Žuzē Eduardu duš Santušs	José Eduardo dos Santos
Hasanals Bolkiahs	Hassanal Bolkiah
Kārlis Hermanis Franks	Karl Hermann Frank
Danilo Tirks	Danilo Türk
Kābūss ibn Saīds al Saīds	Qabus ibn Said
Hermanis Ebinghauss	Hermann Ebbinghaus
Dimitris Hristofis	Dimitris Christofias
Alī Hāmenejī	Ali Chamene’i
Msvati III	Mswati III.
Arturs Auverss	Arthur von Auwers
Ernsts Morics Arnts	Ernst Moritz Arndt
Gustavs Noske	Gustav Noske
Hameds bin Halīfa al Tānī	Hamad bin Chalifa Al Thani
Ilhams Alijevs	İlham Əliyev
Džigme Khesars Namgjels Vangčuks	Jigme Khesar Namgyel Wangchuck
Daļa Grībauskaite	Dalia Grybauskaitė
Krista Volfa	Christa Wolf
Verners fon Brauns	Wernher von Braun
Kurts Tuholskis	Kurt Tucholsky
Alfrēds Deblins	Alfred Döblin
Armandu Gebuza	Armando Guebuza
Anna Zēgerse	Anna Seghers
Nursultans Nazarbajevs	Nursultan Nasarbajew
Anibals Kavaku Silva	Aníbal Cavaco Silva
Danjels Ortega	Daniel Ortega
Susilo Bambans Judojono	Susilo Bambang Yudhoyono
Čions Ton Šans	Trương Tấn Sang
Frīdrihs Olbrihts	Friedrich Olbricht
Šimons Peress	Schimon Peres
Klaudija Pehšteina	Claudia Pechstein
Elbegdordžs Cahjagīns	Tsachiagiin Elbegdordsch
Hanss Knapertsbušs	Hans Knappertsbusch
Tomislavs Nikoličs	Tomislav Nikolić
Vāclavs Klauss	Václav Klaus
Udo Foigts	Udo Voigt
Ninsjas Hueju autonomais reģions	Ningxia
Hanss Ādams II	Hans-Adam II.
Vilhelms Gustlofs	Wilhelm Gustloff
Abdulla II Hašimīts	Abdullah II. bin al-Hussein
Jānošs Āders	János Áder
Klauss Fukss	Klaus Fuchs
Rikardo Martinelli	Ricardo Martinelli
Džordžs Abela	George Abela
Andris Bērziņš (Latvijas prezidents)	Andris Bērziņš (1944)
Oto Ginše	Otto Günsche
Andrea Petkoviča	Andrea Petković
Isloms Karimovs	Islom Karimov
Hanss Valentīns Hūbe	Hans-Valentin Hube
Fēlikss Šteiners	Felix Steiner
Mikola Azarovs	Mykola Asarow
Sali Beriša	Sali Berisha
Janezs Janša	Janez Janša
Valdis Dombrovskis	Valdis Dombrovskis
Marija Fjodorovna (Pāvila I sieva)	Sophie Dorothee von Württemberg
Jirki Katainens	Jyrki Katainen
Andruss Ansips	Andrus Ansip
Viktors Orbāns	Viktor Orbán
Li Sjaņluns	Lee Hsien Loong
Jošihiko Noda	Yoshihiko Noda
Helle Torninga-Šmita	Helle Thorning-Schmidt
Mēklenburgas-Gistrovas Sofija	Sophie von Mecklenburg (1557–1631)
Žans Klods Junkers	Jean-Claude Juncker
Andrus Kubiļus	Andrius Kubilius
Jenss Stoltenbergs	Jens Stoltenberg
Nadžibs Razaks	Najib Razak
Timo Bolls	Timo Boll
Ernsts Johans Bīrons	Ernst Johann von Biron
Jouhana Sīgurdardoutira	Jóhanna Sigurðardóttir
Džons Kejs	John Key
Marks Rite	Mark Rutte
Edvards I Plantagenets	Eduard I. (England)
Antonis Samars	Andonis Samaras
Nocietinājums	Befestigung
Andrea Henkele	Andrea Henkel
Riko Gross	Ricco Groß
Ērenfrīdersdorfa	Ehrenfriedersdorf
Eibenštoka	Eibenstock
Elterleine	Elterlein
Geiere	Geyer
Grinhaina-Beierfelde	Grünhain-Beierfeld
Johanngeorgenštate	Johanngeorgenstadt
Jēštate	Jöhstadt
Lengefelde	Lengefeld
Ārendāle	Arendal
Lesnica	Lößnitz (Erzgebirge)
Lūgava	Lugau/Erzgeb.
Obervīzentāle	Oberwiesenthal
Elsnica/Rūdu kalni	Oelsnitz/Erzgeb.
Olbernhava	Olbernhau
Šeibenberga	Scheibenberg
Šletava	Schlettau
Šnēberga	Schneeberg (Erzgebirge)
Annaberga-Buholca	Annaberg-Buchholz
Aue	Aue (Sachsen)
Marienberga	Marienberg
Švarcenberga/Rūdu kalni	Schwarzenberg/Erzgeb.
Štollberga/Rūdu kalni	Stollberg/Erzgeb.
Mihaels Greiss	Michael Greis
Jans Ulrihs	Jan Ullrich
Johanness Hevēlijs	Johannes Hevelius
Vilhelms Haufs	Wilhelm Hauff
Talheima/Rūdu kalni	Thalheim/Erzgeb.
Tuma	Thum
Volkenšteina	Wolkenstein (Erzgebirge)
Cvēnica	Zwönitz
Cšopava	Zschopau
Vilhelms fon Urahs	Wilhelm Karl von Urach
EBay	EBay
Katarīna Vita	Katarina Witt
Heinrihs Millers	Heinrich Müller (Gestapo)
Georgs Forsters	Georg Forster
Petro Porošenko	Petro Poroschenko
Nikolass Maduro	Nicolás Maduro
Pasterizācija	Pasteurisierung
Nefrons	Nephron
Audronis Ažubalis	Audronius Ažubalis
Sergejs Lavrovs	Sergei Wiktorowitsch Lawrow
Viljams Heigs	William Hague
Jānis Vanags (arhibīskaps)	Jānis Vanags
Žans Batists Bio	Jean-Baptiste Biot
Leandru Barbosa	Leandro Barbosa
Amons	Amun
Andrē Širle	André Schürrle
Windows 1.0	Microsoft Windows 1.0
Duran Duran	Duran Duran
Robinju	Robinho
Liams Nīsons	Liam Neeson
Hidrazīns	Hydrazin
Mikolajiva (Ļvovas apgabals)	Mykolajiw (Mykolajiw)
Luijs XII	Ludwig XII.
Cjiņhuandao	Qinhuangdao
Erihs Lūdendorfs	Erich Ludendorff
Ernsts Rēms	Ernst Röhm
Baodina	Baoding
Edmunds Huserls	Edmund Husserl
Jao Mins	Yao Ming
Frīdrihs III Hohencollerns	Friedrich III. (Deutsches Reich)
Arcade Fire	Arcade Fire
2013. gada Kontinentālās hokeja līgas Zvaigžņu spēle	KHL All-Star Game 2013
Eličiribeeti	Estación Científica Antártica Ruperto Elichiribehety
Kārlis Gebharts	Karl Gebhardt
Aleksandrs Bumagins	Alexander Wladimirowitsch Bumagin
Pandžabu valoda	Panjabi
Verners Melderss	Werner Mölders
Petrs Apiāns	Peter Apian
Dmitrijs Meļeško	Dsmitry Mjaleschka
Puštu	Paschtunische Sprache
Oskars Dirlevangers	Oskar Dirlewanger
Frīdrihs Vilhelms Argelanders	Friedrich Wilhelm August Argelander
Meža cūka	Wildschwein
Arābijas jūra	Arabisches Meer
Mihails Lomonosovs	Michail Wassiljewitsch Lomonossow
.si	.si
Lejaskalifornija	Baja California (Bundesstaat)
Dienvidamerikas Futbola Konfederācija	CONMEBOL
Piesārņojums	Umweltverschmutzung
Lilija Allena	Lily Allen
Bavārijas padomju republika	Münchner Räterepublik
Ginters Rals	Günther Rall
Erdogans Atalajs	Erdoğan Atalay
Objektrelāciju kartēšana	Objektrelationale Abbildung
Abrahams Gotlobs Verners	Abraham Gottlob Werner
Transsibīrijas dzelzceļš	Transsibirische Eisenbahn
Sistēma	System
Haselta	Hasselt (Belgien)
Krievijas Federācijas Federālais drošības dienests	FSB (Geheimdienst)
Saules baterija	Solarzelle
IIHF Slavas zāle	IIHF Hall of Fame
Kaukāza emirāts	Kaukasus-Emirat
Vilhelms Filhners	Wilhelm Filchner
Simona Hausvalde	Simone Hauswald
Sarasvatī	Sarasvati
Klaudija Nīstade	Claudia Nystad
Pacifisms	Pazifismus
Dienvidu Tules salas	Südliche Thuleinseln
Kendlmasas salas	Candlemasinseln
Literatūras kritika	Literaturkritik
Jenss Foigts	Jens Voigt
Volfgangs Kaps	Wolfgang Kapp
Širvintu rajona pašvaldība	Rajongemeinde Širvintos
Melodifestivalen	Melodifestivalen
Kortnija Koksa	Courteney Cox
Kastrācija	Kastration
Peļu virsdzimta	Mäuseartige
Akvamarīns	Aquamarin
Izraēlas Aizsardzības armija	Israelische Verteidigungsstreitkräfte
Elefterija Elefteriu	Eleftheria Eleftheriou
Pireja	Piräus
Makss Borns	Max Born
Laktoni	Lactone
Slashdot	Slashdot
Zālēdāji	Pflanzenfresser
Pioneer 10	Pioneer 10
Pioneer 11	Pioneer 11
Celakantveidīgās	Quastenflosser
Diogēns	Diogenes von Sinope
Diglosija	Diglossie
Roberts Redfords	Robert Redford
Rūsendāles pils	Schloss Rosendal
Merovingu dinastija	Merowinger
Spacehab	Spacehab
Samveidīgās	Welsartige
Stokholmas "AIK Ishockey"	AIK Ishockey
Amerikas trase	Circuit of The Americas
2012. gada ASV Grand Prix	Großer Preis der USA 2012
Argo (filma)	Argo (Film)
Jans Kohanovskis	Jan Kochanowski
Mirušo piemiņas diena	Totensonntag
Krizantēmas	Chrysanthemen
Miko Lehtonens	Mikko Lehtonen (Eishockeyspieler, 1987)
Josefs Straka	Josef Straka
Maksims Pestuško	Maxim Wiktorowitsch Pestuschko
Hermanis fon Helmholcs	Hermann von Helmholtz
Hanna Ārente	Hannah Arendt
Gotlobs Frēge	Gottlob Frege
Oskars Šindlers	Oskar Schindler
Herberts Markūze	Herbert Marcuse
Heidija Kluma	Heidi Klum
Štūrovo	Štúrovo
Reinhards Heidrihs	Reinhard Heydrich
Subate	Subate
Alberts Špērs	Albert Speer
Gustavs Roberts Kirhofs	Gustav Robert Kirchhoff
Nareva	Narew
Aļaskas pussala	Alaska-Halbinsel
Makss Millers	Friedrich Max Müller
Hanss Franks	Hans Frank
Konrāds Cūze	Konrad Zuse
Oto fon Gērike	Otto von Guericke
Pauls Tillihs	Paul Tillich
Guntis Ulmanis	Guntis Ulmanis
Ginters Blobels	Günter Blobel
Bernhards fon Bīlovs	Bernhard von Bülow
Georgs Mihaeliss	Georg Michaelis
Konrāds Gesners	Conrad Gesner
.sn	.sn
Danilo Gallināri	Danilo Gallinari
Čjapasa	Chiapas
Verakrusa de Ignasio de la Ljave	Veracruz (Bundesstaat)
Indijas subkontinents	Indischer Subkontinent
Dānijas karogs	Flagge Dänemarks
Gerrero	Guerrero (Bundesstaat)
Heroīns	Heroin
Jukatana	Yucatán (Bundesstaat)
Johanness Cukertorts	Johannes Hermann Zukertort
Meteorīts	Meteorit
Semiotika	Semiotik
Tarsiji	Sulawesi-Koboldmakis
Ariels Šarons	Ariel Scharon
Eneīda	Aeneis
Grēks	Sünde
Kofeīns	Coffein
Ihtioloģija	Ichthyologie
Dītrihs Ekarts	Dietrich Eckart
Heinrihs Barkhauzens	Heinrich Barkhausen
Čandrasekhara Venkata Rāmans	C. V. Raman
Angeluss Silēziuss	Angelus Silesius
Teodors Buse	Theodor Busse
Ariane Frīdriha	Ariane Friedrich
Māras Zemes krusta ordenis	Orden des Marienland-Kreuzes
Georgs Kaizers	Georg Kaiser
Mirjama Gesnere	Miriam Gössner
Jergs Millers	Jörg Müller (Rennfahrer)
Volfgangs Izers	Wolfgang Iser
Rītausma. 2. daļa	Breaking Dawn – Bis(s) zum Ende der Nacht – Teil 2
Kevins Kuske	Kevin Kuske
Andrē Lange	André Lange
Rītausma. 1. daļa	Breaking Dawn – Bis(s) zum Ende der Nacht – Teil 1
Episkopi	Episkopi Cantonment
Valters Dornbergers	Walter Dornberger
Leo Frobeniuss	Leo Frobenius
Arturs Jusupovs	Artur Jussupow
Hermanis fon Keizerlings	Hermann Graf Keyserling
Evi Zahenbahere-Štēle	Evi Sachenbacher-Stehle
Ādolfs Frīdrihs Mēklenburgs	Adolf Friedrich zu Mecklenburg
Zogu I	Ahmet Zogu
Fēlikss Lohs	Felix Loch
Fernandu II	Ferdinand II. (Portugal)
Kurts Ceiclers	Kurt Zeitzler
Edvards Laskers	Edward Lasker
Rodanīdi	Thiocyanate
Etjēns III d'Bluā	Stephan (England)
Austrālijas atklātais čempionāts tenisā	Australian Open
Džeremijs Bentems	Jeremy Bentham
Alberts fon Bukshēvdens	Albert von Buxthoeven
Aste	Schwanz
Kinabalu	Kinabalu
Sakis Ruvs	Sakis Rouvas
Krievijas Pareizticīgo baznīca	Russisch-Orthodoxe Kirche
Pseidonīms	Pseudonym
Deivids Vainlends	David Wineland
Tonijs Martins	Tony Martin (Radsportler)
Arno Brēkers	Arno Breker
Vasilijs Kandinskis	Wassily Kandinsky
Valters Gropiuss	Walter Gropius
Sebastians Minsters	Sebastian Münster
Valters Benjamins	Walter Benjamin
Džordžtauna (Malaizija)	George Town (Penang)
Libānas ciedrs	Libanon-Zeder
Judīte Arnta	Judith Arndt
Osvalds Kilpe	Oswald Külpe
Ukulele	Ukulele
Kolima (štats)	Colima (Bundesstaat)
Acetaldehīds	Acetaldehyd
Mākslas vingrošana	Rhythmische Sportgymnastik
Taukskābes	Fettsäuren
Elka	Ełk
Minoritātes valoda	Minderheitensprache
Ūve Hons	Uwe Hohn
URI	Uniform Resource Identifier
Indijas pāvs	Blauer Pfau
Vlastimils Horts	Vlastimil Hort
Gaisa spēki	Luftstreitkräfte
Džordžo Pantano	Giorgio Pantano
Pasaules Tūrisma organizācija	Weltorganisation für Tourismus
Štarnberga	Starnberg
Ralfs Bartelss	Ralf Bartels
Verena Zailere	Verena Sailer
Semeja	Semei
Rīdigers fon der Golcs	Rüdiger von der Goltz (Offizier)
Toyota F1	Toyota Racing
Ordoviks	Ordovizium
Lapzeme (reģions)	Sápmi
Priežu rudmiese	Edel-Reizker
Afikss	Affix (Linguistik)
Centrs	Center
Džērvisa sala	Jarvisinsel
RPC	Remote Procedure Call
Post scriptum	Postskriptum
Jolla	Jolla
Johanness Hēsterss	Johannes Heesters
Jūras šņibītis	Meerstrandläufer
Tauers	Tower of London
Severins Freinds	Severin Freund
Vestminsteras pils	Palace of Westminster
Silūrs	Silur
Tinkoff-Saxo	Tinkoff-Saxo
Polārā koordinātu sistēma	Polarkoordinaten
Jonu saite	Ionische Bindung
Somijas Demokrātiskā Republika	Finnische Demokratische Republik
Forseti	Forseti
Armins van Bīrens	Armin van Buuren
Canon	Canon
Kalmāras ūnija	Kalmarer Union
Somijas lielhercogiste	Großfürstentum Finnland
Mateuss Dāniels Pepelmanis	Matthäus Daniel Pöppelmann
Franks Ulrihs	Frank Ullrich
Ģermānija	Magna Germania
Jay-Z	Jay Z
Auglenīca	Stempel (Botanik)
Hulki	Hulk (Fußballspieler)
Barrankilja	Barranquilla
Observatorija	Sternwarte
Košalina	Koszalin
Ziemassvētku dziesma	A Christmas Carol
Heike Kamerlings Oness	Heike Kamerlingh Onnes
Džons Kokrofts	John Cockcroft
Dekarta koordinātu sistēma	Kartesisches Koordinatensystem
Pultuska	Pułtusk
Burj Al Arab	Burj al Arab
Maurju impērija	Maurya-Reich
Imports	Import
Šārona Stouna	Sharon Stone
Ābadāna	Abadan
Antons fon Arko-Vallijs	Anton Graf von Arco auf Valley
Marija Magdalēna	Maria Magdalena
Kristians Ērhofs	Christian Ehrhoff
Ūve Krups	Uwe Krupp
Vesels fon Freitāgs-Loringhofens	Wessel Freytag von Loringhoven
Valters fon Litvics	Walther von Lüttwitz
Aleksandrs fon Keizerlings	Alexander Graf Keyserling
Ērihs fon Drigalskis	Erich von Drygalski
Kārlis Vilhelms Kupfers	Karl Wilhelm von Kupffer
Dāvids Mellers	David Möller
Natālija Geizenbergere	Natalie Geisenberger
Skaitļa vārds	Zahlwort
Oto Rāns	Otto Rahn
Katrīna Hicere	Kathrin Lang
Zilke Špīgelburga	Silke Spiegelburg
Georgs Augusts Šveinfurts	Georg Schweinfurth
Kristofs Langens	Christoph Langen
Zilke Oto	Sylke Otto
Karls Hilperts	Carl Hilpert
Pauls Valdens	Paul Walden
Bruno Štrekenbahs	Bruno Streckenbach
Lilija Švarckopfa	Lilli Schwarzkopf
Dženifera Ēzere	Jennifer Oeser
Kurts Hāze	Curt Haase (Offizier)
Matiass de Cordo	Matthias de Zordo
Alfrēds Hetners	Alfred Hettner
Heinrihs Kristians Šūmahers	Heinrich Christian Schumacher
Mario Teisens	Mario Theissen
Oto Vite	Otto Witte (Schausteller)
Andreass Birnbahers	Andreas Birnbacher (Biathlet)
Mārtiņš Hemnics	Martin Chemnitz
Volfgangs Ūlmans	Wolfgang Uhlmann
Ingress	Ingress (Spiel)
Marko Šturms	Marco Sturm
Zilke Krauzhāra-Pīlaha	Silke Kraushaar-Pielach
Frīdrihs Vilhelms Ketlers	Friedrich Wilhelm Kettler
Rafaels Holcdepe	Raphael Holzdeppe
Roberts Setčers	Robert Lee Satcher
Gabriels Heince	Gabriel Heinze
Sāra Konora	Sarah Connor
Arne Frīdrihs	Arne Friedrich
Analogais dators	Analogrechner
Barbara Juliāna fon Krīdenere	Juliane von Krüdener
Valters Hartmanis	Walter Hartmann (General)
Nove Mesto	Nové Město
Hērizava	Herisau
FEMEN	Femen
Latvijas futbola Virslīga 2012	Virslīga 2012
Bellincona	Bellinzona
Ehiūri	Igelwürmer
Anno fon Zangerhauzens	Anno von Sangerhausen
Konrāds fon Feihtvangens	Konrad von Feuchtwangen
Bonsai	Bonsai
Žultspūslis	Gallenblase
Hermanis Ērharts	Hermann Ehrhardt
Elektrolīze	Elektrolyse
Artilērija	Artillerie
Triumfa arka (Parīze)	Triumphbogen (Paris)
Brāļi Marksi	Marx Brothers
Kurts Beks	Kurt Beck
Leopolds fon Buhs	Leopold von Buch
Kārlis Bernhards Triniuss	Carl Bernhard Trinius
Vilhelms Pīks	Wilhelm Pieck
Entonijs Hopkinss	Anthony Hopkins
Teorēma	Theorem
Devons	Devon (Geologie)
Habsburgi	Habsburg
Žults	Galle
Volfgangs Pauli	Wolfgang Pauli
Kalifs	Kalif
Glogova	Głogów
Mūzas	Muse (Mythologie)
Daļskaitlis	Bruchrechnung
Sāhela	Sahelzone
Nikolo Paganīni	Niccolò Paganini
Valūtas tirgus	Devisenmarkt
Eiharistija	Eucharistie
ASV Senāts	Senat der Vereinigten Staaten
2011. gada Kanādas Grand Prix	Großer Preis von Kanada 2011
Henrijs Kisindžers	Henry Kissinger
Morelosa	Morelos
2012. gada Kanādas Grand Prix	Großer Preis von Kanada 2012
Tomass Hērens	Thomas Hoeren
Oto Augusts Rozenbergers	Otto August Rosenberger
Centrālā banka	Zentralbank
Džajpura	Jaipur
Kānpura	Kanpur
Damāna un Diu	Daman und Diu
Pudučerri	Puducherry (Unionsterritorium)
Georgs Kūfalts	Georg Kuphaldt
Vicelīns	Vizelin
Anna Kendrika	Anna Kendrick
Roberto Badžo	Roberto Baggio
Zbigņevs Boņeks	Zbigniew Boniek
Masimo Bonīni	Massimo Bonini
Džanluidži Bufons	Gianluigi Buffon
Davosa	Davos
Sjona	Sitten
Klotene	Kloten
Irokēzi	Irokesen
Mūža ieslodzījums	Lebenslange Freiheitsstrafe
Havaja	Hawaii (Insel)
Ukmerģes rajona pašvaldība	Rajongemeinde Ukmergė
Avāri (senie)	Awaren
Horvātijas karš	Kroatienkrieg
Sanktmorica	St. Moritz
Kūra (pilsēta)	Chur
2013. gada F1 sezona	Formel-1-Weltmeisterschaft 2013
Nikola	Nicole (Sängerin, 1977)
MDMA	MDMA
Taiga	Borealer Nadelwald
Amūras tīģeris	Sibirischer Tiger
1988. gada F1 sezona	Formel-1-Weltmeisterschaft 1988
1989. gada F1 sezona	Formel-1-Weltmeisterschaft 1989
1990. gada F1 sezona	Formel-1-Weltmeisterschaft 1990
1991. gada F1 sezona	Formel-1-Weltmeisterschaft 1991
1992. gada F1 sezona	Formel-1-Weltmeisterschaft 1992
1993. gada F1 sezona	Formel-1-Weltmeisterschaft 1993
1994. gada F1 sezona	Formel-1-Weltmeisterschaft 1994
1995. gada F1 sezona	Formel-1-Weltmeisterschaft 1995
1996. gada F1 sezona	Formel-1-Weltmeisterschaft 1996
1997. gada F1 sezona	Formel-1-Weltmeisterschaft 1997
1998. gada F1 sezona	Formel-1-Weltmeisterschaft 1998
1999. gada F1 sezona	Formel-1-Weltmeisterschaft 1999
2000. gada F1 sezona	Formel-1-Weltmeisterschaft 2000
Višī Francija	Vichy-Regime
2001. gada F1 sezona	Formel-1-Weltmeisterschaft 2001
2002. gada F1 sezona	Formel-1-Weltmeisterschaft 2002
Heila—Bopa komēta	C/1995 O1 (Hale-Bopp)
2003. gada F1 sezona	Formel-1-Weltmeisterschaft 2003
2004. gada F1 sezona	Formel-1-Weltmeisterschaft 2004
2005. gada F1 sezona	Formel-1-Weltmeisterschaft 2005
Pilsētplānošana	Stadtplanung
2006. gada F1 sezona	Formel-1-Weltmeisterschaft 2006
2007. gada F1 sezona	Formel-1-Weltmeisterschaft 2007
2008. gada F1 sezona	Formel-1-Weltmeisterschaft 2008
2009. gada F1 sezona	Formel-1-Weltmeisterschaft 2009
2010. gada F1 sezona	Formel-1-Weltmeisterschaft 2010
2011. gada F1 sezona	Formel-1-Weltmeisterschaft 2011
2012. gada F1 sezona	Formel-1-Weltmeisterschaft 2012
2014. gada F1 sezona	Formel-1-Weltmeisterschaft 2014
Slavutiča	Slawutytsch
Ludvigs Bonštets	Ludwig Bohnstedt
Lielais Čikāgas ugunsgrēks	Großer Brand von Chicago
Gerds fon Rundštets	Gerd von Rundstedt
Lāsumainais sesks	Tigeriltis
Fedors fon Boks	Fedor von Bock
Valters Models	Walter Model
Kārlis Vilhelms Šēle	Carl Wilhelm Scheele
Romāns fon Ungerns-Šternbergs	Roman von Ungern-Sternberg
Pērs Mertezakers	Per Mertesacker
Anni Frīzingere-Postma	Anni Friesinger-Postma
Hermanis Emils Fišers	Emil Fischer
Heincs Guderians	Heinz Guderian
Alkaloīdi	Alkaloide
Soņa Grafa	Sonja Graf
Georgs Mihaels Tēlemanis	Georg Michael Telemann
Ādams	Adam
Hugo Balls	Hugo Ball
Hildegarde no Bingenas	Hildegard von Bingen
Verners fon Blombergs	Werner von Blomberg
Emīls Berliners	Emil Berliner
Klauss fon Klicings	Klaus von Klitzing
Hermanis Veils	Hermann Weyl
Salamankas province	Provinz Salamanca
Francijas Pirmā impērija	Französisches Kaiserreich
Augustusburga	Augustusburg
Burgštete	Burgstädt
Valjadolidas province	Provinz Valladolid
Frankenberga (Saksija)	Frankenberg/Sa.
Frauenšteina	Frauenstein (Erzgebirge)
Gēringsvalde	Geringswalde
Samoras province	Provinz Zamora
Grosširma	Großschirma
Hainihene	Hainichen
Džons Havličeks	John Havlicek
Harta (pilsēta)	Hartha
Leisniga	Leisnig
Luncenava	Lunzenau
Leonas province	Provinz León
Ēderana	Oederan
Pēniga	Penig
Rosveina	Roßwein
