આફ્રિકા	Afrika
સપ્ટેમ્બર ૨૫	25. September
સપ્ટેમ્બર ૨૩	23. September
સપ્ટેમ્બર ૨૨	22. September
સપ્ટેમ્બર ૨૪	24. September
સપ્ટેમ્બર ૨૧	21. September
સપ્ટેમ્બર ૨૦	20. September
સપ્ટેમ્બર ૧૮	18. September
સપ્ટેમ્બર ૧૭	17. September
સપ્ટેમ્બર ૧૯	19. September
સપ્ટેમ્બર ૧૬	16. September
ડિસેમ્બર ૩૦	30. Dezember
ડિસેમ્બર ૩૧	31. Dezember
ઓક્ટોબર ૧	1. Oktober
ઓક્ટોબર ૧૫	15. Oktober
ઓક્ટોબર ૧૨	12. Oktober
ઓક્ટોબર ૧૦	10. Oktober
ઓક્ટોબર ૧૪	14. Oktober
ઓક્ટોબર ૯	9. Oktober
ઓક્ટોબર ૮	8. Oktober
ઓક્ટોબર ૧૩	13. Oktober
ઓક્ટોબર ૭	7. Oktober
ઓક્ટોબર ૧૧	11. Oktober
ઓક્ટોબર ૬	6. Oktober
ઓક્ટોબર ૪	4. Oktober
ઓક્ટોબર ૫	5. Oktober
ઓક્ટોબર ૩	3. Oktober
ઓક્ટોબર ૨	2. Oktober
બકરી	Hausziege
ઓક્ટોબર ૩૧	31. Oktober
ઓક્ટોબર ૩૦	30. Oktober
ઓક્ટોબર ૨૯	29. Oktober
ઓક્ટોબર ૨૮	28. Oktober
ઓક્ટોબર ૨૬	26. Oktober
ઓક્ટોબર ૨૫	25. Oktober
ઓક્ટોબર ૨૪	24. Oktober
ઓક્ટોબર ૨૭	27. Oktober
ઓક્ટોબર ૨૨	22. Oktober
ઓક્ટોબર ૨૩	23. Oktober
ઓક્ટોબર ૨૦	20. Oktober
ઓક્ટોબર ૨૧	21. Oktober
ઓક્ટોબર ૧૯	19. Oktober
ઓક્ટોબર ૧૭	17. Oktober
ઓક્ટોબર ૧૬	16. Oktober
ઓક્ટોબર ૧૮	18. Oktober
નવેમ્બર ૧૫	15. November
નવેમ્બર ૧૪	14. November
નવેમ્બર ૧૩	13. November
નવેમ્બર ૧૨	12. November
નવેમ્બર ૧૧	11. November
નવેમ્બર ૧૦	10. November
નવેમ્બર ૭	7. November
નવેમ્બર ૮	8. November
નવેમ્બર ૯	9. November
નવેમ્બર ૬	6. November
નવેમ્બર ૫	5. November
નવેમ્બર ૪	4. November
નવેમ્બર ૩	3. November
નવેમ્બર ૨	2. November
નવેમ્બર ૧	1. November
પારામારિબો	Paramaribo
નવેમ્બર ૩૦	30. November
નવેમ્બર ૨૯	29. November
નવેમ્બર ૨૮	28. November
નવેમ્બર ૨૭	27. November
નવેમ્બર ૨૬	26. November
નવેમ્બર ૨૫	25. November
નવેમ્બર ૨૩	23. November
નવેમ્બર ૨૪	24. November
નવેમ્બર ૨૧	21. November
નવેમ્બર ૨૦	20. November
નવેમ્બર ૨૨	22. November
નવેમ્બર ૧૯	19. November
નવેમ્બર ૧૮	18. November
નવેમ્બર ૧૭	17. November
નવેમ્બર ૧૬	16. November
કાઠમંડુ	Kathmandu
સીડની	Sydney
મેલબોર્ન	Melbourne
પર્થ	Perth
નાઈલ નદી	Nil
કોંગો નદી	Kongo (Fluss)
ધૂમકેતુ	Komet
જાકાર્તા	Jakarta
જાવા (ટાપુ)	Java (Insel)
એડિડાસ	Adidas
વિકિપીડિયા:પ્રયોગસ્થળ	Wikipedia:Spielwiese
વિકિપીડિયા:સ્વાગત	Wikipedia:Starthilfe
કમ્પ્યુટર હાર્ડવેર	Hardware
નકશો	Karte (Kartografie)
નવસાર	Ammoniak
ડૉંગ હેકટર એરપોર્ટ	Flughafen Dong Hoi
આત્મકથા	Autobiografie
ખગોળીય દૂરબીન	Teleskop
માઇલી સાઇરસ	Miley Cyrus
માર્જરિન	Margarine
મધરબોર્ડ	Hauptplatine
USB ડ્રાઇવ	USB-Massenspeicher
પંજાબ (પાકિસ્તાન)	Punjab (Pakistan)
મહાબોધિ મંદિર	Mahabodhi-Tempel
સહ્યાદ્રિ પર્વતમાળા	Westghats
ભારતની પર્વતીય રેલ્વે	Gebirgseisenbahnen in Indien
કન્ફ્યુશિયસ	Konfuzius
કોર્બીન બ્લુ	Corbin Bleu
શ્રેણી:ગણિત	Kategorie:Mathematik
ફરો દ્વિપસમૂહ	Färöer
સુરત	Surat
સાયપ્રસનો રાષ્ટ્રધ્વજ	Flagge der Republik Zypern
બાલી	Bali
માળો (પક્ષી)	Nest
લૅરી પેજ	Larry Page
ગંગા નદી	Ganges
સેલિન ડીયોન	Céline Dion
ખંડ	Kontinent
એડિલેઇડ	Adelaide
પક્ષી	Vögel
રાજધાની	Hauptstadt
ગુજરાતી ભાષા	Gujarati
મહિનો	Monat
ઢાંચો:Portal	Vorlage:Portal
હુઆંગ ઝીયાન-ફાન	Huang Xianfan
બિલ ગેટ્સ	Bill Gates
કમ્પ્યુટર મોનિટર	Computermonitor
જ્ઞાનકોશ	Enzyklopädie
મુખપૃષ્ઠ	Wikipedia:Hauptseite
સિંધવ	Halit
બાસ્કેટબોલ (રમત)	Basketball
ક્રિકેટ	Cricket
યુરેશીયા	Eurasien
હિમાલય	Himalaya
કેપ ટાઉન	Kapstadt
કેસ્પિયન સમુદ્ર	Kaspisches Meer
વિન્સેન્ટ વેન ગો	Vincent van Gogh
વૅલેન્શિયા નો પ્રદેશ	Valencianische Gemeinschaft
મોહેં-જો-દડો	Mohenjo-Daro
પેટ્રા	Petra (Jordanien)
એવર્ટન ફૂટબોલ ક્લબ	FC Everton
મક્કા	Mekka
ચે ગૂવેરા	Che Guevara
નોવાક યોકોવિચ	Novak Đoković
એરબસ એ ૩૮૦	Airbus A380
ચિચેન ઇત્ઝા	Chichén Itzá
તમિલ ભાષા	Tamil
ચા	Tee
માર્કો પોલો	Marco Polo
પોર્ટલેન્ડ, ઑરેગોન	Portland (Oregon)
મૂડીવાદ	Kapitalismus
હિલેરી ક્લિન્ટન	Hillary Clinton
કોનકોર્ડ	Concorde
ડોનાલ્ડ ડક	Donald Duck
સ્ટ્રાસબોર્ગ (ફ્રાન્સ)	Straßburg
ક્રોએશિયન ભાષા	Kroatische Sprache
શેતાન	Teufel
રેનો	Renault
કાલિદાસ	Kalidasa
ઉલ્કાઓ	Meteoroid
ગૌતમ બુદ્ધ	Buddha
જૈવ તકનીક	Biotechnologie
વિશ્વ બેંક	Weltbank
લોકશાહી	Demokratie
વૈશ્વિકરણ	Globalisierung
નોબૅલ પારિતોષિક	Nobelpreis
ઇંગ્લેન્ડના એલિઝાબેથ પ્રથમ	Elisabeth I.
રવિન્દ્રનાથ ટાગોર	Rabindranath Thakur
માર્ક ટ્વેઇન	Mark Twain
ઍલન ટ્યુરિંગ	Alan Turing
આતંકવાદ	Terrorismus
નાઝીવાદ	Nationalsozialismus
વાસ્કો દ ગામા	Vasco da Gama
સિંધુ	Indus
કાન	Ohr
આંખ	Auge
ગીત	Lied
કીડી	Ameisen
આન્દ્રે અગાસી	Andre Agassi
રીંગણ	Aubergine
હિમવર્ષા	Schnee
ડેબિયન	Debian
વિશ્વ વેપાર સંગઠન	Welthandelsorganisation
ચાઇનીઝ ભાષા	Chinesische Sprachen
કુદરત	Natur
રક્ત	Blut
કંકાલતંત્ર	Skelett
ફેફસાં	Lunge
મેઘ	Regen
વૈશ્વિક ઉષ્ણતા	Globale Erwärmung
ધરતીકંપ	Erdbeben
સત્ય	Wahrheit
કોમ્પ્યુટર માઉસ	Maus (Computer)
નેલ્સન મંડેલા	Nelson Mandela
માર્ટિન લ્યૂથર કિંગ	Martin Luther King
અવતરણ ચિહ્ન	Anführungszeichen
કુદરતી આફતો	Naturkatastrophe
પૂર	Hochwasser
સુનામી	Tsunami
જ્વાળામુખી	Vulkan
વાદળ	Wolke
ત્રિકોણમિતિ	Trigonometrie
ભૂમિતિ	Geometrie
તેલુગુ ભાષા	Telugu
ગ્રીક મૂળાક્ષરો	Griechisches Alphabet
શ્રેણી:ફ્રાન્સ	Kategorie:Frankreich
શ્રેણી:સંગીત	Kategorie:Musik
શ્રેણી:સાહિત્ય	Kategorie:Literatur
નવલકથા	Roman
મહાભારત	Mahabharata
હેરી પોટર	Harry Potter
મશક વાજું	Sackpfeife (Musikinstrument)
પીડોફિલિયા (બાળ યૌનશોષણ)	Pädophilie
સિકંદર	Alexander der Große
સંસ્કૃતિ	Zivilisation
પુરુષ	Mann
લગ્ન	Ehe
ફાંસીની સજા	Todesstrafe
ગુલામી પ્રથા	Sklaverei
દૂધ	Milch
પર્વત	Berg
અશોક	Ashoka
અકબર	Akbar
હોંગકોંગ	Hongkong
કરાચી	Karatschi
લાગોસ	Lagos
આર્કિમીડીઝ	Archimedes
થૉમસ ઍડિસન	Thomas Alva Edison
યુક્લિડ	Euklid
ડોમેન નામ પ્રણાલી	Domain Name System
સંકેતલિપિ	Kryptographie
ઈન્ટરનેટ પ્રોટોકોલ	Internet Protocol
પ્રસારણ નિયંત્રણ પ્રોટોકોલ	Transmission Control Protocol
યુનિકોડ	Unicode
સત્યજીત રે	Satyajit Ray
નક્ષત્ર	Sternbild
નૉર્વેજિયન ભાષા	Norwegische Sprache
ચાણક્ય	Chanakya
બાગમતી પ્રાંત (નેપાળ)	Bagmati (Zone)
નોઆમ ચોમ્સ્કી	Noam Chomsky
ભેરી પ્રાંત (નેપાળ)	Bheri (Zone)
મુસા	Mose
ધવલાગિરી પ્રાંત (નેપાળ)	Dhaulagiri (Zone)
હિંદુ ધર્મ	Hinduismus
અણુ	Atom
પ્રકાશ	Licht
ગંડકી પ્રાંત (નેપાળ)	Gandaki (Zone)
તાજ મહેલ	Taj Mahal
જનકપુર પ્રાંત (નેપાળ)	Janakpur (Zone)
ઇ-મેઇલ	E-Mail
કર્ણાલી પ્રાંત (નેપાળ)	Karnali (Zone)
ફારસી ભાષા	Persische Sprache
કોશી પ્રાંત (નેપાળ)	Koshi (Zone)
લુમ્બિની પ્રાંત (નેપાળ)	Lumbini (Zone)
મહાકાલી પ્રાંત (નેપાળ)	Mahakali (Zone)
મેચી પ્રાંત (નેપાળ)	Mechi (Zone)
ઇબ્રાહિમ	Abraham
નારાયણી પ્રાંત (નેપાળ)	Narayani (Zone)
રાપ્તી પ્રાંત (નેપાળ)	Rapti (Zone)
સગરમાથા પ્રાંત (નેપાળ)	Sagarmatha (Zone)
સેતી પ્રાંત (નેપાળ)	Seti (Zone)
યુનાઇટેડ સ્ટેટ્સ આર્મી	United States Army
લુમ્બિની	Lumbini
જૈન ધર્મ	Jainismus
યહૂદી ધર્મ	Judentum
લાઓત્સે	Laozi
જીમેઇલ	Gmail
યોગ	Yoga
સિમા કીઆન	Sima Qian
મનોવિજ્ઞાન	Psychologie
મહાવીર સ્વામી	Mahavira
ટિમ્બક્ટુ	Timbuktu
ઋષભ દેવ	Rishabha
દિગંબર	Digambara
લોથલ	Lothal
વલ્લભભાઈ પટેલ	Vallabhbhai Patel
મુહમ્મદ	Mohammed
આઇપોડ	IPod
સચિન તેંડુલકર	Sachin Tendulkar
અબ્દુલ કલામ	A. P. J. Abdul Kalam
બીબીસી	British Broadcasting Corporation
શાહરૂખ ખાન	Shah Rukh Khan
સલમાન ખાન	Salman Khan
કૅટરિના કૈફ	Katrina Kaif
આમિર ખાન	Aamir Khan
અમિતાભ બચ્ચન	Amitabh Bachchan
કન્ફયુસીયસ ધર્મ	Konfuzianismus
તાઓ ધર્મ	Daoismus
જરથોસ્તી ધર્મ	Zoroastrismus
બંગાળી ભાષા	Bengalische Sprache
જીભ	Zunge
ચેલ્સી ફૂટબોલ ક્લબ	FC Chelsea
આર્સેનલ ફૂટબોલ ક્લબ	FC Arsenal
સ્વાદુપિંડ	Bauchspeicheldrüse
ફૉકલેન્ડ ટાપુઓ	Falklandinseln
બ્લૂઝ	Blues
ઇરોડ	Erode
પ્રાથમિક શાળા	Grundschule
સેલમ	Salem (Indien)
કોઇમ્બતુર	Coimbatore
ઊટકામંડ	Udagamandalam
મૈસૂર	Mysore
નીલગિરિ	Nilgiri-Berge
રફેલ નડાલ	Rafael Nadal
રાહુલ ગાંધી	Rahul Gandhi
ભારતીય રાષ્ટ્રીય કોંગ્રેસ	Indischer Nationalkongress
ભારતીય જનતા પાર્ટી	Bharatiya Janata Party
દિવાળી	Diwali
મકર સંક્રાંતિ	Makar Sankranti
દરિયાઈ બોગદું (ઇંગ્લેન્ડ-ફ્રાન્સ)	Eurotunnel
હોળી	Holi
પાયથાગોરસ	Pythagoras
દશેરા	Dashahara
કુંભ મેળો	Kumbh Mela
કોલોસીયમ	Kolosseum
ડેવિડ બેકહામ	David Beckham
આવર્ત કોષ્ટક	Periodensystem
કબૂતર	Tauben
અંધાપો	Blindheit
ચીઝ	Käse
દ્રાક્ષ	Weintraube
ટાઇગર વુડ્સ	Tiger Woods
બટાકાં	Kartoffel
શાકભાજી	Gemüse
સ્નૂકર	Snooker
ઇજનેરી	Ingenieurwissenschaften
પ્રત્યાયન	Kommunikation
સંસ્કૃત ભાષા	Sanskrit
રુધિરાભિસરણ તંત્ર	Blutkreislauf
IPv4	IPv4
IP એડ્રેસ	IP-Adresse
પ્રશ્નચિહ્ન	Fragezeichen
વર્લ્ડ ટ્રેડ સેન્ટર	World Trade Center
ફ્રિડમ ટાવર	One World Trade Center
મીઠું	Speisesalz
ફિડલ કાસ્ટ્રો	Fidel Castro
મેનહટન	Manhattan
તત્વ	Chemisches Element
આર્યભટ્ટ	Aryabhata
શિવ	Shiva
વિષ્ણુ	Vishnu
લોકલ એરિયા નેટવર્ક	Local Area Network
વાઈડ એરિયા નેટવર્ક	Wide Area Network
વિદ્યુત-ચુંબકીય તરંગો	Elektromagnetische Welle
બ્રહ્મા	Brahma
બળ	Kraft
ચુંબકીયક્ષેત્ર	Magnetfeld
ગુરુત્વાકર્ષણ	Gravitation
માર્શલ આર્ટસ	Kampfkunst
જુડો	Judo
દળ	Masse (Physik)
ધાતુ	Metalle
વાયુ	Gas
પ્રવાહી	Flüssigkeit
ઘન	Festkörper
કૃષિ	Landwirtschaft
કપાસ	Baumwollfaser
કપડાં	Kleidung
તાપમાન	Temperatur
ધાતુશાસ્ત્ર	Metallurgie
કાગળ	Papier
ક્ષેત્રફળ	Flächeninhalt
દેનપસાર	Denpasar
સેકન્ડ	Sekunde
મકાઈ	Mais
માટીકામ	Töpferei
સ્ટેફી ગ્રાફ	Steffi Graf
હવામાન	Wetter
લાહોર	Lahore
મેસોપોટેમીયા	Mesopotamien
પ્રાચીન ઇજિપ્ત	Altes Ägypten
ગુપ્ત સામ્રાજ્ય	Gupta-Reich
સ્લીપિંગ બ્યૂટી	Dornröschen
સિન્ડ્રેલા	Aschenputtel
રાજકોટ	Rajkot
જુનાગઢ	Junagadh
વડોદરા	Vadodara
ગાંધીનગર	Gandhinagar
મિકી માઉસ	Micky Maus
પ્રકાશસંશ્લેષણ	Photosynthese
કર્કરોગ (કેન્સર)	Krebs (Medizin)
ઘઉં	Weizen
બધિરતા	Gehörlosigkeit
ગ્રેગોરીયન પંચાંગ	Gregorianischer Kalender
નિકોટિન	Nicotin
હૃદયરોગનો હુમલો	Myokardinfarkt
મલેરિયા	Malaria
કુપોષણ	Mangelernährung
ગુપ્તરોગ	Sexuell übertragbare Erkrankung
એડ્સ	AIDS
ક્ષય રોગ	Tuberkulose
મધુપ્રમેહ	Diabetes mellitus
ઢાંચો:Location map India	Vorlage:Positionskarte Indien
બુર્જ દુબઈ	Burj Khalifa
ચીનની મહાન દિવાલ	Chinesische Mauer
પિરામિડ	Pyramide (Bauwerk)
ફેશન	Mode
તલવાર	Schwert
પેલે	Pelé
જયોર્જ સોરોસ	George Soros
વિનોબા ભાવે	Vinoba Bhave
સ્ટ્રોબેરી	Gartenerdbeere
વર્ડપ્રેસ	WordPress
લીચી (ફળ)	Litschibaum
નારિયેળ	Kokospalme
દાડમ	Granatapfel
સંતરુ (ફળ)	Orange (Frucht)
રાજસ્થાની ભાષા	Rajasthani
આઇસ્ક્રીમ	Speiseeis
ઢાંચો:Location map Canada	Vorlage:Positionskarte Kanada
સીદી	Siddi (Volk)
નિરોધ	Kondom
ડોલર	Dollar
માછીમારી	Fischerei
થોર	Kakteengewächse
ગરમ મસાલો	Garam masala
ઘર ચકલી	Haussperling
મકાઉ	Macau
ચીકુ	Breiapfelbaum
એ.એસ.એલ.વી.યાન	Advanced Satellite Launch Vehicle
હુ જિન્તાઓ	Hu Jintao
જિરાફ	Giraffe
અરિયાલુર જિલ્લો	Ariyalur (Distrikt)
કોઇમ્બતુર જિલ્લો	Coimbatore (Distrikt)
કડ્ડલોર જિલ્લો	Cuddalore (Distrikt)
ધર્મપુરી જિલ્લો	Dharmapuri (Distrikt)
દિંડીગુલ જિલ્લો	Dindigul (Distrikt)
ઇરોડ જિલ્લો	Erode (Distrikt)
કાચીપુરમ જિલ્લો	Kanchipuram (Distrikt)
કન્યાકુમારી જિલ્લો	Kanyakumari (Distrikt)
મુછ	Schnurrbart
સોવિયેત યુનિયન	Sowjetunion
કરુર જિલ્લો	Karur (Distrikt)
કૃષ્ણાગિરિ જિલ્લો	Krishnagiri (Distrikt)
મદુરાઇ જિલ્લો	Madurai (Distrikt)
રામનાથપુરમ જિલ્લો	Ramanathapuram (Distrikt)
સેલમ જિલ્લો	Salem (Distrikt)
થંજાવુર જિલ્લો	Thanjavur (Distrikt)
શિવગંગાઇ જિલ્લો	Sivaganga (Distrikt)
થેની જિલ્લો	Theni (Distrikt)
તિરુવરુર જિલ્લો	Tiruvarur (Distrikt)
તિરુનેલવેલી જિલ્લો	Tirunelveli (Distrikt)
તિરુવલ્લુર જિલ્લો	Tiruvallur (Distrikt)
વિલુપ્પુરમ જિલ્લો	Viluppuram (Distrikt)
વેલ્લોર જિલ્લો	Vellore (Distrikt)
તિરુવનામલઇ જિલ્લો	Tiruvannamalai (Distrikt)
વિરુધુનગર જિલ્લો	Virudhunagar (Distrikt)
અદિલાબાદ જિલ્લો	Adilabad (Distrikt)
અનંતપુર જિલ્લો	Anantapur (Distrikt)
ચિત્તૂર જિલ્લો	Chittoor (Distrikt)
જળાશય	Gewässer
મદ્યપાન	Alkoholkrankheit
પૂર્વ ગોદાવરી જિલ્લો	East Godavari
હૈદરાબાદ જિલ્લો	Hyderabad (Distrikt)
ગુન્ટૂર જિલ્લો	Guntur (Distrikt)
ખમ્મમ જિલ્લો	Khammam (Distrikt)
કરીમનગર	Karimnagar (Distrikt)
મહેબૂબનગર જિલ્લો	Mahbubnagar (Distrikt)
કુર્નૂલ	Kurnool (Distrikt)
કૃષ્ણા જિલ્લો	Krishna (Distrikt)
નેલ્લોર જિલ્લો	Sri Potti Sriramulu Nellore
નાલગોંડા જિલ્લો	Nalgonda (Distrikt)
મેદક જિલ્લો	Medak (Distrikt)
રંગારેડ્ડી જિલ્લો	Rangareddy (Distrikt)
પ્રકાસમ જિલ્લો	Prakasam (Distrikt)
નિઝામાબાદ જિલ્લો	Nizamabad (Distrikt)
વિજયનગર જિલ્લો	Vizianagaram (Distrikt)
વિશાખાપટનમ જિલ્લો	Visakhapatnam (Distrikt)
શ્રીકાકુલમ જિલ્લો	Srikakulam (Distrikt)
વારંગલ જિલ્લો	Warangal (Distrikt)
પશ્ચિમ ગોદાવરી જિલ્લો	West Godavari
C (પ્રોગ્રામિંગ ભાષા)	C (Programmiersprache)
બ્રુસ લી	Bruce Lee
વીલેન	Virtual Local Area Network
વિકિપીડિયા:ચોતરો	Wikipedia:Projektdiskussion
કમળ	Indische Lotosblume
વર્મોન્ટ	Vermont
સેન જોસ, કેલિફોર્નિયા	San José (Kalifornien)
હ્યુસ્ટન	Houston
હોસ્પિટલ	Krankenhaus
ઘડિયાલ	Gangesgavial
વિમાનવાહક જહાજ	Flugzeugträger
મોબાઇલ ફોન	Mobiltelefon
શેફિલ્ડ ફૂટબોલ ક્લબ	FC Sheffield
માન્ચેસ્ટર યુનાઇટેડ ફૂટબોલ ક્લબ	Manchester United
સ્વાનસી સિટી એસોસિયેશન ફૂટબોલ ક્લબ	Swansea City
કાર્ડિફ સિટી ફૂટબૉલ ક્લબ	Cardiff City
એસ્ટોન વિલા ફૂટબોલ ક્લબ	Aston Villa
ન્યૂકેસલ યુનાઇટેડ ફૂટબોલ ક્લબ	Newcastle United
ક્વીન્સ પાર્ક રેન્જર્સ ફૂટબોલ ક્લબ	Queens Park Rangers
સાઉધમ્પ્ટન ફૂટબોલ ક્લબ	FC Southampton
સ્ટોક સિટી ફૂટબોલ ક્લબ	Stoke City
સન્ડરલેન્ડ એસોસિયેશન ફૂટબોલ ક્લબ	AFC Sunderland
ટોટનમ હોટ્સ્પર ફૂટબોલ ક્લબ	Tottenham Hotspur
વેસ્ટ બ્રોમવિચ એલ્બિયન ફૂટબોલ ક્લબ	West Bromwich Albion
વિગાન એથલેટિક ફૂટબૉલ ક્લબ	Wigan Athletic
તાડ બિલાડી	Fleckenmusang
બગલો	Reiher
વૈશ્વિક સ્થળનિર્ધારણ પ્રણાલી	Global Positioning System
સ્ક્રિલ્લેક્સ	Skrillex
હોટલ તાજ મહેલ પેલેસ	Taj Mahal Palace
વિંછી (પ્રાણી)	Skorpione
ફિફા વિશ્વ કપ	Fußball-Weltmeisterschaft
બર્મિંગહામ સિટી ફૂટબૉલ ક્લબ	Birmingham City
બ્લેકબર્ન રોવર્સ ફૂટબૉલ ક્લબ	Blackburn Rovers
બર્નલી ફૂટબોલ ક્લબ	FC Burnley
ક્રિસ્ટલ પેલેસ ફૂટબોલ ક્લબ	Crystal Palace F.C.
ડર્બી કાઉન્ટી ફૂટબૉલ ક્લબ	Derby County
હલ સિટી એસોસિયેશન ફૂટબોલ ક્લબ	Hull City
લેસ્ટર સિટી ફૂટબૉલ ક્લબ	Leicester City
નોટિંગહામ ફોરેસ્ટ ફૂટબૉલ ક્લબ	Nottingham Forest
શેફિલ્ડ વેડન્ઝડે ફૂટબૉલ ક્લબ	Sheffield Wednesday
વોલ્વરહેમ્પ્ટન વેન્ડરર્સ ફૂટબૉલ ક્લબ	Wolverhampton Wanderers
વેબ શોધ એન્જીન	Suchmaschine
આલ્ક્લાઇન પાર્થિવ ધાતુ	Erdalkalimetalle
કોલા હોલ	Kola-Bohrung
અર્ધધાતુ	Halbmetalle
પબ્લિક ડોમેન	Gemeinfreiheit
પ્યૂએર્ટો રિકન ઈન્ડીપેન્ડન્સ પાર્ટી	Partido Independentista Puertorriqueño
થેમ્સ	Themse
આર્યભટ્ટ (ઉપગ્રહ)	Aryabhata (Satellit)
નાતાલ	Weihnachten
લિપ વર્ષ	Schaltjahr
લેડી ગાગા	Lady Gaga
વાઘ	Tiger
સેમસંગ	Samsung
બીગલ	Beagle (Hunderasse)
કુર્કુટાકાર	Hühnervögel
ડુબકી કુટુંબ	Lappentaucher
ઑડિશા	Odisha
GFDL	GNU-Lizenz für freie Dokumentation
પંજાબ, ભારત	Punjab (Indien)
અક્ષાંશ-રેખાંશ	Geographische Koordinaten
યુઇએફએ યૂરો ૨૦૧૨	Fußball-Europameisterschaft 2012
બેંક	Bank
આયરલેંડનું ગણતંત્ર	Irland (Insel)
અઠવાડિયું	Woche
હરણ	Hirsche
લસણ	Knoblauch
કાકડી	Gurke
કાળો	Schwarz
ડુંગળી	Zwiebel
નાસા	NASA
એટલાન્ટા, જ્યોર્જિયા	Atlanta
વેલિંગ્ટન	Wellington
૧૦ (અંક)	Zehn
પરમાણુ ક્રમાંક	Ordnungszahl
માનવ શરીર	Menschlicher Körper
ચિત્તો	Gepard
કસ્તુરી	Amsel
વટાણા (વનસ્પતિ)	Erbse
કબુત	Graureiher
ખજૂર	Echte Dattelpalme
વંદો	Schaben
મૃદુકાય સમુદાય	Weichtiere
માછીમાર	Fischadler
શેવાળ	Laubmoose
તારા માછલી	Seesterne
સફેદ ઢોંક	Weißstorch
બાજ (પક્ષી)	Habicht
દસાડી	Blässhuhn
આગિયો	Leuchtkäfer
નાની ડુબકી	Zwergtaucher
ચોટીલી ડુબકી	Haubentaucher
જળ કાગડો	Kormoran (Art)
સીંગપર (બતક)	Spießente
વિલાયતી પટ્ટાઇ	Kornweihe
અબલખ	Austernfischer
થ્રશ કુટુંબ	Drosseln
પાન પટ્ટાઇ	Rohrweihe
કલવેતીયો	Reiherente
જ્યોર્જીયા (દેશ)નો રાષ્ટ્રધ્વજ	Flagge Georgiens
ઉપગ્રહ પ્રક્ષેપણ યાન	Satellit (Raumfahrt)
યાક	Yak
પટ્ટી પટ્ટાઇ	Wiesenweihe
હમ્પી	Hampi
લવિંગ	Gewürznelken-Baum
કાચબરંગી	Steinwälzer
લક્ષદ્વીપ	Lakshadweep
અશેળિયો	Gartenkresse
કપાસી	Gleitaar
એસી/ડીસી	AC/DC
ક્રિસ્ટાડેલ્ફિઅન્સની	Christadelphian
કાલિકોટ જિલ્લો, નેપાળ	Kalikot (Distrikt)
કૈલાલી જિલ્લો, નેપાળ	Kailali (Distrikt)
તજ	Zimt
અમ્હારિક ભાષા	Amharische Sprache
ચામાચિડિયું	Fledertiere
અછામ જિલ્લો, નેપાળ	Achham
નુવાકોટ જિલ્લો, નેપાળ	Nuwakot (Distrikt)
અર્ઘખાંચી જિલ્લો, નેપાળ	Arghakhanchi
મનાંગ જિલ્લો, નેપાળ	Manang (Distrikt)
કાસ્કી જિલ્લો, નેપાળ	Kaski
રુપનડેહી જિલ્લો, નેપાળ	Rupandehi (Distrikt)
પાલપા જિલ્લો, નેપાળ	Palpa (Distrikt)
દૈલેખ જિલ્લો, નેપાળ	Dailekh (Distrikt)
સિંધુપાલચોક જિલ્લો, નેપાળ	Sindhupalchok (Distrikt)
તનહઊ જિલ્લો, નેપાળ	Tanahu (Distrikt)
બાંકે જિલ્લો, નેપાળ	Banke
સ્યાંગજા જિલ્લો, નેપાળ	Syangja (Distrikt)
ભક્તપુર જિલ્લો, નેપાળ	Bhaktapur (Distrikt)
ધાદિંગ જિલ્લો, નેપાળ	Dhading (Distrikt)
બરદિયા જિલ્લો, નેપાળ	Bardiya (Distrikt)
વાળ	Haar
ગોરખા જિલ્લો, નેપાળ	Gorkha (Distrikt)
કાર્વેપાલનચોક જિલ્લો, નેપાળ	Kabhrepalanchok (Distrikt)
સલ્યાન જિલ્લો, નેપાળ	Salyan (Distrikt)
ગુલ્મી જિલ્લો, નેપાળ	Gulmi (Distrikt)
કપિલવસ્તુ જિલ્લો, નેપાળ	Kapilbastu (Distrikt)
નવલપરાસી જિલ્લો, નેપાળ	Nawalparasi (Distrikt)
સુરખેત જિલ્લો, નેપાળ	Surkhet (Distrikt)
મુગુ જિલ્લો, નેપાળ	Mugu
રોલ્પા જિલ્લો, નેપાળ	Rolpa (Distrikt)
રસુવા જિલ્લો, નેપાળ	Rasuwa (Distrikt)
રુકુમ જિલ્લો, નેપાળ	Rukum (Distrikt)
જુમલા જિલ્લો, નેપાળ	Jumla (Distrikt)
હુમલા જિલ્લો, નેપાળ	Humla (Distrikt)
કોળિક્કોટ્	Kozhikode
પાયથોન(પ્રોગ્રામિંગ ભાષા)	Python (Programmiersprache)
ઇસ્લામીક પંચાંગ	Islamische Zeitrechnung
ચકલી	Sperlinge
કંચનપુર જિલ્લો, નેપાળ	Kanchanpur (Distrikt)
લામજુંગ જિલ્લો, નેપાળ	Lamjung (Distrikt)
આસામીઝ ભાષા	Assamesische Sprache
જાજરકોટ જિલ્લો, નેપાળ	Jajarkot (Distrikt)
અવધી ભાષા	Awadhi
મધર ટેરેસા	Mutter Teresa
પૂર્વ તિમોરનો રાષ્ટ્રધ્વજ	Flagge Osttimors
હેણોતરો	Karakal
બ્લૉગ	Blog
જલગાંવ	Jalgaon
ડેન્ગ્યુ	Denguefieber
ક્રિસમસ દ્વીપ	Weihnachtsinsel (Australien)
મોવેમ્બર	Movember
