Yn Affrick	Afrika
Inuinnaqtun	Inuinnaqtun
Freeshlannish Hwoaie	Nordfriesische Sprache
Bastag wuigh	Saat-Wucherblume
Amharish	Amharische Sprache
Smullish	Echter Sellerie
Rolley caayryn ayns Israel	Liste der Städte in Israel
Asparag	Gemüsespargel
Ralph Fiennes	Ralph Fiennes
Coontae	County
Aramaaish	Aramäische Sprachen
Lus yn anis	Anis
Matthew Broderick	Matthew Broderick
Oaylleeaght eamagh	Angewandte Wissenschaft
Akureyri	Akureyri
Tarja Halonen	Tarja Halonen
Sant-Brieg	Saint-Brieuc
Aromaanish	Aromunische Sprache
Partee Pobblaghtagh (Ny Steatyn Unnaneysit)	Republikanische Partei
Astoorish	Asturische Sprache
Yn Çheen	China
Far-chrackan killag	Zellmembran
Partee Deynlagh (Ny Steatyn Unnaneysit)	Demokratische Partei (Vereinigte Staaten)
Inuktitut	Inuktitut
Enetsish	Enzische Sprache
Lus y touree	Garten-Levkoje
658	658
650	650
Meoir	Bürgermeister
65	65
Ecser	Ecser
Sileeshish	Schlesisch (polnischer Dialekt)
Zhengzhou	Zhengzhou
Myn-heshvean	Nucleolus
Jamestown, Ellan Helena Noo	Jamestown (St. Helena)
Yaren	Yaren (Distrikt)
Ellan Norfolk	Norfolkinsel
Ellan ny Nollick	Weihnachtsinsel (Australien)
Corockle screebagh	Frikativ
Kraków	Krakau
Steat Seyr Nerin	Irischer Freistaat
Veneeshish	Venetische Sprache (romanisch)
Vepsish	Wepsische Sprache
Votish	Wotische Sprache
Baloçhish	Belutschische Sprache
Dunganish	Dunganische Sprache
Butaanish	Dzongkha
Buryatish	Burjatische Sprache
Çhengaghyn Baltagh	Baltische Sprachen
Laue yn Çhelgeyr Mooar	Orionarm
Mooir ny Tasmaan	Tasmansee
Çhengaghyn Dravidagh	Dravidische Sprachen
Çhengaghyn Finnagh	Ostseefinnische Sprachen
Hakkaish	Hakka (Sprache)
Fo-ghlaare	Dialekt
Creeish	Cree (Sprache)
Furlan	Furlanische Sprache
Ganish	Gan (Sprache)
Çhengaghyn Ind-Eeraanagh	Indoiranische Sprachen
Ingrish	Ischorische Sprache
Khanty (çhengey)	Chantische Sprache
Hawaiish	Hawaiische Sprache
Kusundaish	Kusunda (Sprache)
Kashoobish	Kaschubische Sprache
Livonish	Livische Sprache
Çhengaghyn Mayagh	Maya-Sprachen
Tendreil	Blitz
Lombardish	Lombardische Sprache
Mansi (çhengey)	Mansische Sprache
Du Fu	Du Fu
Earroo yn phobble	Bevölkerung
Ellanragh	Archipel
Çhengaghyn Neegeyragh-Congoagh	Niger-Kongo-Sprachen
Naaplish	Neapolitanisch
Normanish	Normannische Sprache
Theodore Roosevelt	Theodore Roosevelt
Ludish	Lüdische Sprache
Tel Aviv-Yafo	Tel Aviv-Jaffa
Saamish Hwoaie	Nordsamische Sprache
Ossetish	Ossetische Sprache
Duillag	Blatt (Pflanze)
Shisslish	Sizilianische Sprache
Newarish	Newari
Roubaix	Roubaix
Hollywood	Hollywood
Marlon Brando	Marlon Brando
Çhengaghyn Harrish-Noa-Ghuinea	Trans-Neuguinea-Sprachen
Niue	Niue
Picardish	Picardische Sprache
Eas	Wasserfall
Nathalia Dill	Nathalia Dill
Hosni Mubarak	Husni Mubarak
Çhengaghyn Ooralagh	Uralische Sprachen
Walloonish	Wallonische Sprache
Yuratsish	Jurakische Sprache
Impiraght ny Roosh	Russisches Kaiserreich
Międzyrzec Podlaski	Międzyrzec Podlaski
Tibetish Veanagh	Tibetische Sprache
Wuish	Wu (Sprache)
Woodrow Wilson	Woodrow Wilson
Doctor Who	Doctor Who
Yn Tasmaan	Tasmanien
Scarlett Johansson	Scarlett Johansson
Gwyneth Paltrow	Gwyneth Paltrow
Ellan Helena Noo	St. Helena (Insel)
James A. Garfield	James A. Garfield
Mooir yn Eeaght	Ärmelkanal
Salzburg	Salzburg
Genus	Gattung (Biologie)
Oaylleeaght sheshoil	Sozialwissenschaften
Yn Tomaalee	Somaliland
Lieh-innys	Halbinsel
Rolley coadyn çhellvane eddyr-ashoonagh	Ländervorwahlliste sortiert nach Nummern
Scell-Röntgen	Röntgenstrahlung
Friedrich Engels	Friedrich Engels
Xinjiang	Xinjiang
Ulysses S. Grant	Ulysses S. Grant
Caayr Oklahoma, Oklahoma	Oklahoma City
Queiggey	Provinz
Mooir Azov	Asowsches Meer
William McKinley	William McKinley
Cabbash vane	Weißkohl
Eaghtyrane ny Steatyn Unnaneysit	Liste der Präsidenten der Vereinigten Staaten
Rolley preeu-valjyn	Liste der Hauptstädte der Erde
Ynnyd-eggey	Website
Grover Cleveland	Grover Cleveland
Dhimal	Dhimal (Sprache)
Herbert Hoover	Herbert Hoover
Bun-ocklaght	Etymologie
Warren G. Harding	Warren G. Harding
Shenn Yernish	Altirische Sprache
Brad Pitt	Brad Pitt
Logh Titicaca	Titicacasee
Sheeanaghtys	Phonetik
Bikolish	Bikolano
Chester A. Arthur	Chester A. Arthur
Shenn Loghlynish	Altnordische Sprache
Ooig	Höhle
Dalmaatish	Dalmatische Sprache
Sleityn ny h-Ooral	Ural
William Howard Taft	William Howard Taft
Keyllys Chleayee	Firth of Clyde
Steat ny Steatyn Unnaneysit	Bundesstaat der Vereinigten Staaten
Awin rioee	Gletscher
Ellanyn Pitcairn	Pitcairninseln
Benjamin Harrison	Benjamin Harrison
Rutherford B. Hayes	Rutherford B. Hayes
Yn Austrail Yiass	South Australia
Emmy Rossum	Emmy Rossum
Cumbrish	Kumbrische Sprache
Ny Celtiee	Kelten
Lepchaish	Lepcha (Sprache)
Kamassish	Kamassische Sprache
Lepontish	Lepontische Sprache
Ellanyn Cocos (Keeling)	Kokosinseln
Calvin Coolidge	Calvin Coolidge
Shellagh (billey)	Weiden (Botanik)
Queensland	Queensland
Charles Bronson	Charles Bronson
Ligoorish	Ligurische Sprache (Romanisch)
Yernish Veanagh	Mittelirische Sprache
Komish	Komi (Sprache)
Fig	Echte Feige
Beeal-arrish	Folklore
Ladeenish	Juden-Spanisch
Ladinish	Ladinische Sprache
Craa-hallooin as tsunami Tōhoku 2011	Tōhoku-Erdbeben 2011
Jane Austen	Jane Austen
Roddan	Ratten
Aberdon	Aberdeen
Oaylleeaght pholitickagh	Politikwissenschaft
Nenetsish	Nenzische Sprache
Matorish	Matorische Sprache
Minish Hiar	Min Dong
Minish Hwoaie	Min Bei
Un-chillagagh	Einzeller
The Lion King	Der König der Löwen
Minish Yiass	Min Nan
Eeane	Ion
Corkee	Cork
Traa hashtee hollys y laa	Sommerzeit
Yn Broogh Heear	Westjordanland
Victoria, yn Austrail	Victoria (Australien)
Yn Yugoslaavey	Jugoslawien
Sheltish	Shelta
Nornish	Norn
Totoish	Toto (Sprache)
Reeriaght (bea-oaylleeaght)	Reich (Biologie)
Nganasanish	Nganasanische Sprache
Lieh-innys Sinai	Sinai-Halbinsel
Ardjyn ny Frank	Region (Frankreich)
Tokelau	Tokelau
Tshanglaish	Tshangla (Sprache)
Robert De Niro	Robert De Niro
Celtibeirish	Keltiberische Sprache
Norish	Norische Sprache
Çhengaghyn Tocharagh	Tocharische Sprache
Tallahassee, Florida	Tallahassee
Tom Cruise	Tom Cruise
Pharaoh	Pharao
Meetane	Methan
G8	G8
Johnny Depp	Johnny Depp
Luiz Inácio Lula da Silva	Luiz Inácio Lula da Silva
Galloish	Gallo
Internet Movie Database	Internet Movie Database
Lublin	Lublin
Langues d'Oïl	Langues d’oïl
Akrotiri as Dhekelia	Akrotiri und Dekelia
ISO 4217	ISO 4217
Co-ordrail	Syntax
Apricoc	Aprikose
Kay	Nebel
Yl-lhiatteean	Polygon
Sniaghtey garroo	Hagel
Charlotte's Web (scannane 1973)	Zuckermanns Farm – Wilbur im Glück
Feayreyder	Kühlschrank
Çhengaghyn Altaiagh	Altaische Sprachen
Algey	Alge
Natalie Portman	Natalie Portman
Aundyr Nobel ayns Lettyraght	Nobelpreis für Literatur
Masiela Lusha	Masiela Lusha
Yn Vooir Vuigh	Gelbes Meer
Corockle	Konsonant
Leonardo DiCaprio	Leonardo DiCaprio
Eintracht Frankfurt	Eintracht Frankfurt
Ny h-Ellanyn Goaldagh	Britische Inseln
Jalloo-oaylleeaght	Morphologie (Linguistik)
1840yn	1840er
Phylum	Stamm (Biologie)
Xena: Warrior Princess	Xena – Die Kriegerprinzessin
Mellyn ushtey	Wassermelone
Coagyraght	Kochen
Mwyllin geayee	Windmühle
Bassyl	Basilikum
Yn Phroosh	Preußen
Cheyenne, Wyoming	Cheyenne (Wyoming)
Leeds	Leeds
Lugh	Mäuse
Emma Watson	Emma Watson
Mitochondrion	Mitochondrium
1800yn	1800er
Nicolas Appert	Nicolas Appert
Semantaght	Semantik
The Rescuers	Bernard und Bianca – Die Mäusepolizei
Straih Ghaza	Gazastreifen
Mynvioagh	Mikroorganismus
Radio Studio 54 Network	Radio Studio 54 Network
Breeçhyn	Hose
Almon	Mandelbaum
Sylvester Stallone	Sylvester Stallone
Awin ny Jordaan	Jordan
Traie	Strand
William Butler Yeats	William Butler Yeats
Çheshvean killag	Zellkern
The Fox and the Hound	Cap und Capper
Pobblaght Gheynlagh Arabagh y Sahara	Demokratische Arabische Republik Sahara
Andrea Bowen	Andrea Bowen
Heath Ledger	Heath Ledger
Lisa Gerrard	Lisa Gerrard
Queiggey Zhytomyr	Oblast Schytomyr
Cristina Fernández de Kirchner	Cristina Fernández de Kirchner
Jennifer Lopez	Jennifer Lopez
Partan	Krabben
God Save the Queen	God Save the Queen
Aqwa	Sochumi
Dumbo	Dumbo
Padjer	Gebet
Anhui	Anhui
Sheeanchoryssaghtys	Phonologie
Topeka, Kansas	Topeka (Kansas)
Yn Vongoil Sthie	Innere Mongolei
Demi Lovato	Demi Lovato
Clagh hryal	Granit
Cooiney	Münze
Bydgoszcz	Bydgoszcz
Johannes Vermeer	Jan Vermeer
Pobblaght Weimar	Weimarer Republik
Franz Liszt	Franz Liszt
Jodie Foster	Jodie Foster
José Luís Rodríguez Zapatero	José Luis Rodríguez Zapatero
Teletubbies	Teletubbies
Quaiyl	Gericht
Fraue	Wurzel (Pflanze)
Berrish ghlass	Stachelbeere
Reagheydys ry hoi Co-obbraghey Tarmaynys as Lhiasaghey	Organisation für wirtschaftliche Zusammenarbeit und Entwicklung
Jacques Offenbach	Jacques Offenbach
Baie ny Biscaayn	Biskaya
Świnoujście	Świnoujście
Reeriaght vunraghtoil	Konstitutionelle Monarchie
Haifa	Haifa
Fujian	Fujian
Possan kynneeagh	Ethnie
Mooir Vannin	Irische See
Beersheba	Be’er Scheva
Hainan	Hainan
Obbyr	Arbeit (Physik)
Mel Gibson	Mel Gibson
Ribbosoom	Ribosom
Malpys (billey)	Ahorne
Ellanyn Vooir Eeaght	Kanalinseln
Seionaght	Zionismus
Gansu	Gansu
Brattagh ny Polynn	Flagge Polens
Sheffield	Sheffield
Jarroo-raa	Wahlspruch
Yn Ghrianchryss	Tropen
Kayt Manninagh	Manx (Katze)
Rita Hayworth	Rita Hayworth
Johnny Cash	Johnny Cash
Argidys	Finanzen
Demi Moore	Demi Moore
Bambi	Bambi (Film)
Yn Cochaarjys Essylagh	Achsenmächte
Wikipedia:Feyshtyn cadjin	Hilfe:FAQ
Sarah Palin	Sarah Palin
Yunnan	Yunnan
Talmud	Talmud
Quinsh (billey)	Quitte
Fannag	Raben und Krähen
Plymouth	Plymouth
Robert Boyle	Robert Boyle
Shandong	Shandong
Antonie van Leeuwenhoek	Antoni van Leeuwenhoek
Shirgane	Mumie
Mynoashyr	Strumpf
Henan	Henan
Benjamin Netanyahu	Benjamin Netanjahu
Mollee	Augenbraue
Liaoning	Liaoning
1740yn	1740er
Jessica Alba	Jessica Alba
Prunus domestica	Pflaume
István Sándorfi	István Sándorfi
Yn Vooir Vane	Weißes Meer
Sean Penn	Sean Penn
Nagorno-Karabakh	Bergkarabach
Carvat	Krawatte
Kiangley kemmigagh	Chemische Bindung
Çhiass	Wärme
Anne Brontë	Anne Brontë
Echinodermata	Stachelhäuter
Mooir Bering	Beringmeer
Purt	Hafen
Vuk (scannane)	Vuk (Film)
Entroapaght	Entropie
Queiggey Chubut	Provinz Chubut
Jilin	Jilin
The Doors	The Doors
Eucalyptus	Eukalypten
Jean Sibelius	Jean Sibelius
Charlotte's Web	Wilbur und Charlotte
Hunan	Hunan
Keyllys sailley	Fjord
Himnusz	Himnusz
Ree Adha	Artus
Dunkerque	Dunkerque
Qinghai	Qinghai
Ysbal I ny Cashteel	Isabella I. (Kastilien)
Mynolt	Organell
Çhengaghyn Sheenagh-Tibetagh	Sinotibetische Sprachen
Caayl jiarg	Grünkohl
Billey tooishey	Weihrauch (Baum)
Clive Dunn	Clive Dunn
Muc hallooin	Erdferkel
Zelenogorsk, Caayr Pheddyr	Selenogorsk (Sankt Petersburg)
Hubei	Hubei
Galchro	Echte Walnuss
Shanxi	Shanxi
Espoo	Espoo
Inver	Ästuar
Ohm	Ohm
Guizhou	Guizhou
Shetlynn	Shetland
Chloroplast	Chloroplast
Yn Vooir Loghlynagh	Europäisches Nordmeer
Toruń	Toruń
Straih Fibonacci	Fibonacci-Folge
Yn Çheer Vascagh (thalloo shendeeagh)	Baskenland
Callish Rangagh	Broccoli
Ceau emshir	Hobby
Shaanxi	Shaanxi
Clowan:Commonscat	Vorlage:Commonscat
Bedřich Smetana	Bedřich Smetana
Heidenoldendorf	Heidenoldendorf
Hakedahl	Hakedahl
Diestelbruch	Diestelbruch
Keintys bea-oaylleeagh	Gender
Mariehamn	Mariehamn
Hiragana	Hiragana
Thalloo yn Eeast	Neufundland
Çhengaghyn ny h-Oarpey	Europäische Sprachen
David Livingstone	David Livingstone
Beaynushag	Phönix (Mythologie)
New Horizons	New Horizons
Southend United F.C.	Southend United
Ollooscoill Brown	Brown University
Çhengaghyn Austraineeshagh	Austronesische Sprachen
Orlando, Florida	Orlando (Florida)
St. Petersburg, Florida	Saint Petersburg
Tampa, Florida	Tampa
Wichita, Kansas	Wichita (Kansas)
Turrysaght	Tourismus
Jean de La Fontaine	Jean de La Fontaine
Corockle lurg-chooyleeacklagh	Postalveolar
Corockle cooyl-eeacklagh	Alveolar
Unnaneys Deynlagh Creestee ny Germaan	Christlich Demokratische Union Deutschlands
Partee Deynlagh Soshiallagh ny Germaan	Sozialdemokratische Partei Deutschlands
Corys lieh-eaghtyraneagh	Semipräsidentielles Regierungssystem
Kiannoortyssyn Kioneys Ashoonagh ny Palasteen	Gouvernements der Palästinensischen Autonomiebehörde
Glion Veksico	Tal von Mexiko
Shoushan	Schnittlauch
Corockle stronnagh	Nasal (Phonetik)
Corockle bleaystagh	Plosiv
Corockle faggyssaght	Approximant
Corockle craa	Vibrant
Çheeraghyn Nordagh	Nordische Länder
Clowan:Kishtey fys co-elmint kemmigagh	Vorlage:Infobox Chemikalie
Clowan:Kishtey fys baagh	Vorlage:Taxobox
Screeu caslys	Piktogramm
Ronney:Poznań	Kategorie:Posen
Glare	Sprechen
Farym	Braunwurzen
Rannag	Froschlurche
Ronney:Reeriaght	Kategorie:Monarchie
Ronney:Cummaghyn reiltys	Kategorie:Staatsform
Ronney:Queiggaghyn ny Polynn	Kategorie:Polnische Woiwodschaft
Queiggey ny Sileesh Eeaghtyragh	Woiwodschaft Niederschlesien
Queiggey Kujawy-Pomorze	Woiwodschaft Kujawien-Pommern
Queiggey Lublin	Woiwodschaft Lublin
Queiggey Lubusz	Woiwodschaft Lebus
Queiggey Łódź	Woiwodschaft Łódź
Queiggey ny Polynn Beg	Woiwodschaft Kleinpolen
Queiggey Mazowsze	Woiwodschaft Masowien
Queiggey Opole	Woiwodschaft Opole
Queiggey Podkarpacie	Woiwodschaft Karpatenvorland
Queiggey Podlasie	Woiwodschaft Podlachien
Queiggey Pomorze	Woiwodschaft Pommern
Queiggey ny Sileesh	Woiwodschaft Schlesien
Queiggey Święty Krzyż	Woiwodschaft Heiligkreuz
Queiggey Warmia-Mazury	Woiwodschaft Ermland-Masuren
Queiggey ny Polynn Mooar	Woiwodschaft Großpolen
Queiggey Pomorze Heear	Woiwodschaft Westpommern
Ronney:Queiggey ny Sileesh Eeaghtyragh	Kategorie:Woiwodschaft Niederschlesien
Ronney:Queiggey Kujawy-Pomorze	Kategorie:Woiwodschaft Kujawien-Pommern
Ronney:Queiggey Lublin	Kategorie:Woiwodschaft Lublin
Ronney:Queiggey Lubusz	Kategorie:Woiwodschaft Lebus
Ronney:Queiggey Mazowsze	Kategorie:Woiwodschaft Masowien
Ronney:Queiggey ny Polynn Beg	Kategorie:Woiwodschaft Kleinpolen
Ronney:Queiggey Opole	Kategorie:Woiwodschaft Opole
Ronney:Queiggey Podkarpacie	Kategorie:Woiwodschaft Karpatenvorland
Ronney:Queiggey Podlasie	Kategorie:Woiwodschaft Podlachien
Ronney:Queiggey Pomorze	Kategorie:Woiwodschaft Pommern
Ronney:Queiggey Warmia-Mazury	Kategorie:Woiwodschaft Ermland-Masuren
Ronney:Queiggey ny Polynn Mooar	Kategorie:Woiwodschaft Großpolen
Ronney:Queiggey Pomorze Heear	Kategorie:Woiwodschaft Westpommern
Ronney:Queiggey Łódź	Kategorie:Woiwodschaft Łódź
Ronney:Queiggey ny Sileesh	Kategorie:Woiwodschaft Schlesien
Ronney:Queiggey Święty Krzyż	Kategorie:Woiwodschaft Heiligkreuz
Clowan:Kishtey fys quaiyl slattyssagh	Vorlage:Infobox Parlament
Locri	Locri
Coontae Leesh	County Laois
Ronney:Scannaneyn rere çheer	Kategorie:Filmtitel nach Staat
Ronney:Scannaneyn	Kategorie:Filmtitel
Pondi	Pontivy
Çhengaghyn Gaelgagh	Goidelische Sprachen
Çhengaghyn Laplannagh	Samische Sprachen
Yakthungish	Limbu (Sprache)
Jinish	Jin (Sprache)
Çhengaghyn Min	Min (Sprache)
Huizhouish	Hui-Dialekt
Jiangxi	Jiangxi
Michael D. Higgins	Michael D. Higgins
Ólafur Ragnar Grímsson	Ólafur Ragnar Grímsson
Shimon Peres	Schimon Peres
Ningxia	Ningxia
Enda Kenny	Enda Kenny
Mosebeck	Mosebeck
Loßbruch	Loßbruch
Brassica	Kohl
Hasselt	Hasselt (Belgien)
Aappilattoq, Kujalleq	Aappilattoq
Artur Balder	Artur Balder
Ashkelon	Aschkelon
Sápmi	Sápmi
Ardjyn ny Danvarg	Region (Dänemark)
Kiangley eeaneagh	Ionische Bindung
Brehant-Loudieg	Bréhan
An Alre	Auray
Alaer	Allaire
Begnen	Bignan (Morbihan)
Baie Haifa	Bucht von Haifa
Mylecholumb III ny h-Albey	Malcolm III.
Rogier van der Weyden	Rogier van der Weyden
Billey locust	Johannisbrotbaum
Kaodan	Caudan
An Elven	Elven
Gazilieg	La Gacilly
Mêlann	Meslan
Mêlrant	Melrand
Malastred	Malestroit
Lostenk	Nostang
Alkaloyd	Alkaloide
Maoron	Mauron
Pobblaght ny Frank (1870-1940)	Dritte Französische Republik
Langedig	Languidic
Gregam	Grand-Champ
Karnag	Carnac
Robert Bunsen	Robert Wilhelm Bunsen
Gourin	Gourin
Krac'h	Crach (Morbihan)
Enizenac'h	Île-aux-Moines
Henbont	Hennebont
Lannarstêr	Lanester
Lokmaria-Kaer	Locmariaquer
Zinzag-Lokrist	Inzinzac-Lochrist
Kervignag	Kervignac
Kleger	Cléguer
An Arzh	Île d’Arz
An Oriant	Lorient
Q'Orianka Kilcher	Q’orianka Kilcher
Futurama	Futurama
Johann Gottfried Galle	Johann Gottfried Galle
Kirsten Dunst	Kirsten Dunst
Maik Taylor	Maik Taylor
Ulrike Meinhof	Ulrike Meinhof
Carl Zeiss	Carl Zeiss
Carl Remigius Fresenius	Carl Remigius Fresenius
Straid	Straße
Cainle	Kerze
Feeaih ruy	Rothirsch
Muc rangagh	Hausmeerschweinchen
Plasmey killag	Cytoplasma
Moggyl endoplasmagh	Endoplasmatisches Retikulum
Ethernet	Ethernet
Renniagh (lus)	Farne
Daugavpils	Daugavpils
Studeyrys-sheelnaue	Humanities
Emily Brontë	Emily Brontë
Edd (eaddeeyn)	Hut
Niederschönhagen	Niederschönhagen
Ny h-Ellanyn Heear	Äußere Hebriden
Jeshaghteyrys cooid vog	Softwaretechnik
Anders Celsius	Anders Celsius
Brattagh ny Litaan	Flagge Litauens
Yn Vooir Cheltiagh	Keltische See
Lhoob Aqaba	Golf von Akaba
Eeder foalley	Fleischfresser
Boulogne-sur-Mer	Boulogne-sur-Mer
Brattagh Nerin	Flagge Irlands
Olsztyn	Olsztyn
Kanji	Kanji
Katakana	Katakana
Abbyrlhit Roonagh	Runen
Shey-lhiattaghan	Sechseck
Charlotte's Web 2: Wilbur's Great Adventure	Schweinchen Wilburs großes Abenteuer
Farrys Golgi	Golgi-Apparat
Glassyr	Gartensalat
Pobblaght Chonastagh Hoshiallagh ny Yugoslaavey	Sozialistische Föderative Republik Jugoslawien
Selena Gomez	Selena Gomez
Taarnagh	Donner
Béla Bartók	Béla Bartók
Leesosoom	Lysosom
Tanakh	Tanach
Quasar	Quasar
Mons	Mons
Sebastian Larsson	Sebastian Larsson
Ellanragh Arctagh ny Canadey	Kanadisch-arktischer Archipel
Oettern-Bremke	Oettern-Bremke
Niewald	Niewald
Oberschönhagen	Oberschönhagen
Opole	Opole
Clowan:Enmyslioar	Vorlage:Literatur
Sopot	Sopot
Ooh (bee)	Hühnerei
Queiggey Ulley	Provinz Ulster
Mycorrhisagh	Mykorrhiza
Myghin-varroo	Sterbehilfe
Yn Orkaid	Orkney
Casnewydd	Newport (Gwent)
Protosoa	Protozoen
Clag (greie sheeanoil)	Glocke
Glenneyder jiole	Staubsauger
Blaa Boaldyn	Maiglöckchen
Reejerey	Ritter
Margrethe II ny Danvarg	Margrethe II. (Dänemark)
Kielce	Kielce
Skeerey	Kirchengemeinde
Nix (fo-phlannad)	Nix (Mond)
Hydra (fo-phlannad)	Hydra (Mond)
Hydrocseed sodjum	Natriumhydroxid
Ctenophora	Rippenquallen
Yn Ollan	Holland
Częstochowa	Częstochowa
Hafnarfjörður	Hafnarfjörður
Plan earrooaghey çhellvane	Telefonvorwahl
Rolley ellanyn rere eaghtyr	Liste der größten Inseln der Erde
Yn Ocsitaan	Okzitanien
Beinn Nivish	Ben Nevis
Elbląg	Elbląg
Zielona Góra	Zielona Góra
Płock	Płock
Gorzów Wielkopolski	Gorzów Wielkopolski
Radom	Radom
Słupsk	Słupsk
Blaa sniaghtee	Schneeglöckchen
Yn Kaart Oarpagh son Çhengaghyn Ardjynagh ny Mynçhengaghyn	Europäische Charta der Regional- oder Minderheitensprachen
Johann Christian Bach	Johann Christian Bach
Fleetwood Mac	Fleetwood Mac
Gaeltaght ny h-Albey	Highlands
Slystyn ny Germaan	Landkreis
Włocławek	Włocławek
Margarita Breitkreiz	Margarita Breitkreiz
Jastrzębie-Zdrój	Jastrzębie-Zdrój
Prinsaght Lippe	Lippe (Land)
Coontae Lheeahtrim	County Leitrim
Eaynin	Kliff (Geomorphologie)
Guido Reni	Guido Reni
Keeill Chennee	Kilkenny
Gwynedd	Gwynedd
Keyll Teutoburg	Teutoburger Wald
Joey King	Joey King
Bossan ardnieu	Schlangen-Knöterich
Silene	Leimkräuter
Schönemark	Schönemark
Spork-Eichholz	Spork-Eichholz
Remmighausen	Remmighausen
Vahlhausen, Detmold	Vahlhausen (Detmold)
Pivitsheide V. H.	Pivitsheide V. H.
Pivitsheide V. L.	Pivitsheide V. L.
Cooat duffyl	Dufflecoat
Bill Ritter	Bill Ritter
Coontae Pińczów	Powiat Pińczowski
Corockle feeacklagh	Dental
Foawr gas	Gasplanet
Brattagh ny h-Oarpey	Europaflagge
An Éirne	Erne (Fluss)
Sylem	Xylem
Dziecinów, Coontae Otwock	Dziecinów (Powiat Otwocki)
Inshyn Goal	Hebriden
Grudziądz	Grudziądz
Reagheydys ny Steatyn Americaanagh	Organisation Amerikanischer Staaten
Yn Cholloo	Calf of Man
Manninee	Manx (Volk)
Acre, Israel	Akkon
Dùn Phris as y Ghallioo	Dumfries and Galloway
Kristen Stewart	Kristen Stewart
Happy Feet	Happy Feet (2006)
Aloe	Aloen
Baden, Mor-Bihan	Baden (Morbihan)
Vantaa	Vantaa
Folmid killag	Vakuole
Billey theiley	Linden (Botanik)
Kiangley cofioosagh	Atombindung
Oghe veegrahonnagh	Mikrowellenherd
Porzh-Loeiz	Port-Louis (Morbihan)
Ar Roc'h-Bernez	La Roche-Bernard
Roc'h-an-Argoed	Rochefort-en-Terre
Paolieg	Peillac
Plañvour	Ploemeur
Pluverin	Plumelin
Baod	Baud (Morbihan)
Teiz	Theix
Kewenn	Quéven
Brattagh Israel	Flagge Israels
Cedar	Zedern
Sant-Turiav	Saint-Thuriau
Ploveren	Ploeren
Boalley killag	Zellwand
Sarzhav	Sarzeau
Porzh-Lae	Le Palais
Kiberen	Quiberon
Rianteg	Riantec
Drine airn	Schlehdorn
Galliu	Galway
Russell Crowe	Russell Crowe
Pobblaght Hoveidjagh Hoshiallagh ny Shorshey	Georgische Sozialistische Sowjetrepublik
Pobblaght Hoveidjagh Hoshiallagh ny Kyrgistaan	Kirgisische Sozialistische Sowjetrepublik
Pobblaght Hoveidjagh Hoshiallagh ny h-Estaan	Estnische Sozialistische Sowjetrepublik
Hatikvah	HaTikwa
Hanukkah	Chanukka
Stroo yn Eearvooir	Golfstrom
Caloree	Kalorie
Orthonectida	Orthonectida
Anna Kournikova	Anna Sergejewna Kurnikowa
Lheiney-T	T-Shirt
Ellan Heard as Ellanyn McDonald	Heard und McDonaldinseln
Pobblaght Hoveidjagh Hoshiallagh ny h-Asserbajaan	Aserbaidschanische Sozialistische Sowjetrepublik
Pronnag	Wurst
Queiggey Mooan	Munster (Irland)
Sambucus	Holunder
Gowaltys	Bauernhof
Carrane	Sandale
William Lawrence Bragg	William Lawrence Bragg
Çhengaghyn Iddaalagh	Italische Sprachen
Fansee	Fantasy
Jalloo-ocklyn Egyptagh	Ägyptische Hieroglyphen
Bearkanagh	Coniferopsida
Pobblaght Hoveidjagh Hoshiallagh ny h-Armeain	Armenische Sozialistische Sowjetrepublik
Jake Gyllenhaal	Jake Gyllenhaal
Limmeragh	Limerick
Marat Safin	Marat Michailowitsch Safin
Pobblaght Hoveidjagh Hoshiallagh ny h-Ookraan	Ukrainische Sozialistische Sowjetrepublik
Knesset	Knesset
William Henry Bragg	William Henry Bragg
Ellanyn Ashmore as Cartier	Ashmore- und Cartierinseln
Cryss (eaddeeyn)	Gürtel
Blissane	Artischocke
Eilat	Eilat
Boalley yn Accan	Klagemauer
Dicyemida	Rhombozoa
Screeu fockle	Logografie
Brest, y Velaroosh	Brest (Weißrussland)
Pobblaght ny Sheckoslovack (1918-1938)	Erste Tschechoslowakische Republik
Meidil	Mispel
Blaa greiney	Topinambur
Keirn (billey)	Vogelbeere
Brashlagh rangagh	Weißer Senf
Brassica oleracea	Gemüsekohl
Lepidium	Kressen
Bossan	Schmalblättriger Rohrkolben
Berrish ghoo	Schwarze Johannisbeere
Berrish yiarg	Rote Johannisbeere
Corockle daa-veillagh	Bilabial
Çhengaghyn Anatoalagh	Anatolische Sprachen
Bullught	Sumpfdotterblume
Cabbash nappinagh	Kohlrabi
Baarool Jiass	South Barrule
Billey greimmey	Elsbeere
Bossan doo	Breitblättriger Rohrkolben
Sniaul	Snaefell (Isle of Man)
Yn Chashoob	Kaschubei
Blaa Nollick	Schneerose
Bugogue	Purgier-Kreuzdorn
Billey frangagh	Gemeiner Goldregen
Airnag	Kriechen-Pflaume
Bossan pibbyragh	Feld-Kresse
Baskad wuigh	Acker-Ringelblume
Billey kidrane	Zitronatzitrone
Queiggaghyn ny Polynn	Woiwodschaft
Burgoonish (Germaanagh)	Burgunden
Burley	Echte Brunnenkresse
Caaylag	Rosenkohl
Sphinx	Sphinx (griechisch)
