Αφρική	Afrika
Αλλάχ	Allah
Κριστίν ντε Πιζάν	Christine de Pizan
449 π.Χ.	449 v. Chr.
Σαπώρης Β΄ της Περσίας	Schapur II.
Γιο Γιο Μα	Yo-Yo Ma
Υπερηχοτομογραφία	Sonografie
Νιζαμί	Nezāmi
Σεσίλια Πέιν-Γκαπόσκιν	Cecilia Payne-Gaposchkin
Διαμέρισμα Κόρδοβα	Departamento de Córdoba
Χατζ	Haddsch
Μαρία Φαραντούρη	Maria Farantouri
Καρολίνα Φερδινάνδη Λουίζα των Δύο Σικελιών	Maria Karolina von Neapel-Sizilien (1798–1870)
Κάθριν Πρέσκοτ	Kathryn Prescott
Λουισάνα Λοπιλάτο	Luisana Lopilato
Πριγκίπισσα Λουίζα της Νάπολης και της Σικελίας	Luisa Maria von Neapel-Sizilien
Ολική ανάκλαση	Totalreflexion
Ζωή Σοφία Παλαιολογίνα	Sofia Palaiologa
Σημαία του Σαιν Πιερ και Μικελόν	Flagge von Saint-Pierre und Miquelon
451 π.Χ.	451 v. Chr.
Διάμεσος (γεωμετρία)	Seitenhalbierende
Βιγκάν	Vigan City
Οξάνα Ακίνσινα	Oksana Alexandrowna Akinschina
Σοφί Κίνσελα	Sophie Kinsella
Πριγκιπάτο της Αντιόχειας	Fürstentum Antiochia
Τεχνική Ανάλυση	Technische Analyse
452 π.Χ.	452 v. Chr.
Πετροκότσυφας	Steinrötel
Στρατονίκη της Συρίας	Stratonike I.
Θέατρο Μπρόντγουεϊ	Broadway (Theater)
Κλαούντιο Ρανιέρι	Claudio Ranieri
Smalltalk	Smalltalk (Programmiersprache)
Πείραμα φυλάκισης του Στάνφορντ	Stanford-Prison-Experiment
453 π.Χ.	453 v. Chr.
Αρτάβασδος	Artabasdos
Άννα Μόφο	Anna Moffo
Βούλα Πατουλίδου	Paraskevi Patoulidou
Άγγελος	Engel
Πρωτάθλημα Ελλάδας ποδοσφαίρου ανδρών	Super League (Griechenland)
Λαίδη Μαίρη Μόνταγκιου	Mary Wortley Montagu
Μαρία Μερθέδες των Βουρβόνων των Δύο Σικελιών	María de las Mercedes de Borbón y Orléans
Μαρία Θαμπράνο	María Zambrano
Μαρία Φραγκίσκη της Μπραγκάνζα	Maria Francisca von Portugal
Διαμέρισμα Σανταντέρ	Departamento de Santander
Κίμπρα	Kimbra
455 π.Χ.	455 v. Chr.
Γεγονότα Νοεμβρίου 2007	November 2007
KC	KC
Ιάκωβος Α΄ της Σκωτίας	Jakob I. (Schottland)
Ερρίκος ο Νεότερος	Heinrich der Jüngere (England)
Πιετά του Μιχαήλ Άγγελου	Römische Pietà
Μέλανι Θόρντον	Melanie Thornton
DG	DG
Έιμι Σμαρτ	Amy Smart
457 π.Χ.	457 v. Chr.
Μυελός	Medulla
Πρωτάθλημα ποδοσφαίρου Σερβίας	SuperLiga (Serbien)
Aash Al Maleek	Asch al-Malik
Μετρό Πεκίνου	U-Bahn Peking
Τέριν Τερέλ	Taryn Terrell
458 π.Χ.	458 v. Chr.
MDNA	MDNA
Μάχη του Άλαμο	Schlacht von Alamo
John Carter: Ανάμεσα σε Δύο Κόσμους	John Carter – Zwischen zwei Welten
Κασσάνδρα Κλερ	Cassandra Clare
Επιγλωττίδα	Epiglottis
459 π.Χ.	459 v. Chr.
Ιωάννα Α΄ της Νάπολης	Johanna I. (Neapel)
Κλοντιόνε	Chlodio
Εθνική Τζαμάικας (ποδόσφαιρο ανδρών)	Jamaikanische Fußballnationalmannschaft
Εθνική Γουινέας (ποδόσφαιρο ανδρών)	Guineische Fußballnationalmannschaft
Εθνική Γκαμπόν (ποδόσφαιρο ανδρών)	Gabunische Fußballnationalmannschaft
Ιωάννα της Αγγλίας	Johanna von England (1165–1199)
Θεανώ η Θουρία	Theano (Pythagoreerin)
Ντρουκ τσεντέν	Gyelpoi tenzhu
Σημαία του Νησιού Νόρφολκ	Flagge der Norfolkinsel
Γεγονότα Νοεμβρίου 2006	November 2006
Γεγονότα Μαΐου 2008	Mai 2008
460 π.Χ.	460 v. Chr.
Σοφία Μίλος	Sofia Milos
Μαργαρίτα της Σκωτίας	Margrete Aleksandersdotter
Ματθίλδη της Αγγλίας	Mathilde Plantagenet
Μπόννη του Λουξεμβούργου	Jutta von Luxemburg
Ιππαρχία	Hipparchia
Επιστολές της Αμάρνα	Amarna-Briefe
461 π.Χ.	461 v. Chr.
Incertae sedis	Incertae sedis
Φλόγα	Flamme
Μορφότυπο	Dateiformat
Κυβερνείο Αρ Ρακκά	Gouvernement ar-Raqqa
462 π.Χ.	462 v. Chr.
Κυνάνη	Kynane
Αν Τάιλερ	Anne Tyler
463 π.Χ.	463 v. Chr.
Φανή Χαλκιά	Fani Chalkia
Ερμενγάρδη της Τουρ	Irmingard von Tours
Ηριδανός	Eridanus
Μετρική	Metrik
Ντυνάν	Dunant
464 π.Χ.	464 v. Chr.
Μαρία Αντωνία των δύο Σικελιών	Maria Antonia von Neapel-Sizilien (1814–1898)
Αγνή Μπάλτσα	Agnes Baltsa
465 π.Χ.	465 v. Chr.
Πίκους	Picus (Mythologie)
Γεγονότα Ιουνίου 2009	Juni 2009
Γεγονότα Απριλίου 2007	April 2007
Γεγονότα Μαΐου 2007	Mai 2007
466 π.Χ.	466 v. Chr.
Άνναλιν ΜακΚόρντ	AnnaLynne McCord
Σάιμποργκ	Cyborg
Βλάχος (ψάρι)	Wrackbarsch
Εθνόσημο της Κολομβίας	Wappen Kolumbiens
Σημαία του Γκουάμ	Flagge Guams
467 π.Χ.	467 v. Chr.
Εθνόσημο του Κιριμπάτι	Wappen Kiribatis
Σημαία των Νήσων Πίτκαιρν	Flagge der Pitcairninseln
Εθνόσημο της Ιορδανίας	Wappen Jordaniens
Εθνόσημο της Κεντροαφρικανικής Δημοκρατίας	Wappen der Zentralafrikanischen Republik
Μαρίγια Σέστιτς	Marija Šestić
Γέβα Ρίβας	Eva Rivas
468 π.Χ.	468 v. Chr.
Αχαάβ	Ahab (König)
Εθνόσημο της Μπουρκίνα Φάσο	Wappen Burkina Fasos
Εθνική Ηνωμένων Αραβικών Εμιράτων (ποδόσφαιρο ανδρών)	Fußballnationalmannschaft der Vereinigten Arabischen Emirate
Πάπας Στέφανος Ζ΄	Stephan VII.
Ισοτιμία	Äquivalenz
Κριός	Aries
Φορμαλισμός	Formalismus
Δέσποινα Βανδή	Despina Vandi
Μπάρμπαρα Κάρτλαντ	Barbara Cartland
Παρθένος (αποσαφήνιση)	Jungfrau (Begriffsklärung)
Λίντα Μπάροβα	Lída Baarová
Αινείας (αποσαφήνιση)	Aineias
Εθνική Αϊτής (ποδόσφαιρο ανδρών)	Haitianische Fußballnationalmannschaft
Εθνική Κούβας (ποδόσφαιρο ανδρών)	Kubanische Fußballnationalmannschaft
Λουίζα Ντιόγκο	Luisa Diogo
Τσαβέλα Βάργκας	Chavela Vargas
Ερμογένης	Hermogenes
Ντιάνα Γκουρτσκάγια	Diana Gurzkaia
Αξία	Axia
Χαντισέ	Hadise
Χρύσιππος	Chrysippos
Απόλλων 4	Apollo 4
Αϊσέλ Τεϊμουρζαντέ	Aysel Teymurzadə
Ιβάνα Μπακέρο	Ivana Baquero
471 π.Χ.	471 v. Chr.
Ζωή σαν Τριαντάφυλλο	La vie en rose (Film)
472 π.Χ.	472 v. Chr.
Gala	Gala (Sängerin)
Mole (αποσαφήνιση)	Mole (Begriffsklärung)
Γνώμονας	Gnomon
Γεγονότα Φεβρουαρίου 2010	Februar 2010
473 π.Χ.	473 v. Chr.
Γεγονότα Απριλίου 2008	April 2008
474 π.Χ.	474 v. Chr.
Νίκολα Πέλτζ	Nicola Peltz
Παπούα γλώσσες	Papua-Sprachen
Στυμφαλίδες Όρνιθες	Stymphalische Vögel
Αμερικανισμός (αποσαφήνιση)	Amerikanismus
476 π.Χ.	476 v. Chr.
Γεγονότα Ιανουαρίου 2010	Januar 2010
Δούμα (αποσαφήνιση)	Duma (Begriffsklärung)
477 π.Χ.	477 v. Chr.
Ελένε Φίσερ	Helene Fischer
Λουίζα Εριέττα των Βουρβόνων Κοντί	Louise Henriette de Bourbon-Conti
Μαντάμ Ρολάν	Madame Roland
Γοργώ (της Σπάρτης)	Gorgo (Sparta)
Μαρίσκα Βέρες	Mariska Veres
Γελένα Ρομανόβα	Jelena Nikolajewna Romanowa
Λουίζα Μαρία Τερέζα της Γαλλίας	Louise Marie Thérèse d’Artois
Λόρεν Τομ	Lauren Tom
Μπο Γκάρετ	Beau Garrett
478 π.Χ.	478 v. Chr.
Σέξτος ο Εμπειρικός	Sextus Empiricus
Κριστίνα Ροσέτι	Christina Rossetti
Ένδοξες Νήσοι	Îles Glorieuses
Ναόμι Κλάιν	Naomi Klein
Εθνόσημο της Αμπχαζίας	Wappen Abchasiens
Αντρέι Βοζνεσένσκι	Andrei Andrejewitsch Wosnessenski
Γεγονότα Οκτωβρίου 2007	Oktober 2007
Γεγονότα Ιουλίου 2009	Juli 2009
Τούνχα	Tunja
Άρας	Arash (Musiker)
Γεγονότα Μαΐου 2009	Mai 2009
Γεγονότα Νοεμβρίου 2009	November 2009
Μαγκντί Ρούζα	Magdi Rúzsa
Γεγονότα Νοεμβρίου 2008	November 2008
Ας Σουγουαΰντα (Κυβερνείο)	Gouvernement as-Suwaida
Τανχόυζερ	Tannhäuser
Κλάρα Μοργκάν	Clara Morgane
Λουδοβίκος Σφόρτσα	Ludovico Sforza
Θώρα Μπερτς	Thora Birch
Πόντος (αποσαφήνιση)	Pontos
481 π.Χ.	481 v. Chr.
Εμράχ Ερντογάν	Emrah
Ολυμπιάδα (αποσαφήνιση)	Olympias
482 π.Χ.	482 v. Chr.
Αγία Ισαβέλλα της Γαλλίας	Isabelle de France (1224–1269)
Φλόρενς Γκριν	Florence Green
Βεατρίκη της Καστίλης	Beatrix von Kastilien (1242–1303)
483 π.Χ.	483 v. Chr.
Νήσος Χουάν ντε Νόβα	Juan de Nova
Τσιπούρα	Goldbrasse
484 π.Χ.	484 v. Chr.
Battlestar Galactica (2004)	Battlestar Galactica
Μαρία Λασκαρίνα	Maria Laskaris von Nicäa
Άνι Λόρακ	Ani Lorak
Σύνταγμα της Ιαπωνίας	Verfassung des Staates Japan
Μαντάμ ντε Λαφαγέτ	Marie-Madeleine de La Fayette
Πίνακας μεταλλίων Θερινών Ολυμπιακών Αγώνων 2004	Medaillenspiegel der Olympischen Sommerspiele 2004
Μαντλέν ντε Σκυντερύ	Madeleine de Scudéry
Λουΐζ Λαμπέ	Louise Labé
485 π.Χ.	485 v. Chr.
Μαντάμ ντε Σεβινιέ	Marie de Rabutin-Chantal, Marquise de Sévigné
Ιούνιος 2006	Juni 2006
Μάρτι	Marty (Film)
Το Χαμένο Σαββατοκύριακο	Das verlorene Wochenende
Βερενίκη Φερνοφόρος	Berenike die Jüngere
Λαοδίκη Α΄ της Συρίας	Laodike (Königin)
Πλατύρρινοι	Neuweltaffen
Μπερνάρδο Ουσάυ	Bernardo Alberto Houssay
486 π.Χ.	486 v. Chr.
Πρωτάθλημα ποδοσφαίρου Αρμενίας	Bardsragujn chumb
Εκθετική κατανομή	Exponentialverteilung
Χένρυ Ράιντερ Χάγκαρντ	Henry Rider Haggard
Βία (μυθολογία)	Bia (Mythologie)
487 π.Χ.	487 v. Chr.
Βρογχοσκόπηση	Bronchoskopie
Γεγονότα Ιανουαρίου 2009	Januar 2009
Φίλιππος Ε΄ της Μακεδονίας	Philipp V. (Makedonien)
Λομ (Βουλγαρία)	Lom (Bulgarien)
Ισαβέλλα της Λωρραίνης	Isabella (Lothringen)
Κατερίνα Νταβίνιο	Caterina Davinio
488 π.Χ.	488 v. Chr.
Τόνικ	Tonic Water
Δυναστεία των Αντιγονιδών	Antigoniden
489 π.Χ.	489 v. Chr.
Κέλλυ Κάρλσον	Kelly Carlson
Ντίβον	Devon (Pornodarstellerin)
Ντούλσε Μαρία	Dulce María
Ρίτσαρντ Ρότζερς	Richard Rogers
Ντόνα Λεόν	Donna Leon
Μπάρμπαρα Μόρι	Bárbara Mori
Λασκαρίνα Μπουμπουλίνα	Laskarina Bouboulina
Μιρέλα Μανιάνι	Mirela Manjani
Μία Μαρτίνι	Mia Martini
Γεγονότα Ιουνίου 2010	Juni 2010
Αγία Τριάδα (αποσαφήνιση)	Agia Triada
491 π.Χ.	491 v. Chr.
Τεχνολογική μοναδικότητα	Technologische Singularität
Τρες Μακνίλ	Tress MacNeille
Νατάλια Εστεμίροβα	Natalja Chussainowna Estemirowa
Ναρασίμχα	Narasimha
Ελέιν Κάσιντυ	Elaine Cassidy
Έντιθ Κάβελ	Edith Cavell
Σταυράκιος	Staurakios
Λα Μπαγιαμέσα	La Bayamesa
492 π.Χ.	492 v. Chr.
Οίκος των Βοργία	Borgia
Δίσκος προσαύξησης	Akkretionsscheibe
Νιμρούντ	Nimrud
Ντάνα (Ιρλανδή τραγουδίστρια)	Dana (irische Sängerin)
Κλοδία Πούλχρα	Clodia (Gattin des Augustus)
Χρύσκος	Gründling
Άηχο διπλοχειλικό στιγμιαίο σύμφωνο	Stimmloser bilabialer Plosiv
Απάμα (κόρη Σπιταμένη)	Apame
Ιουλία Λιβίλλα	Iulia Livilla
Λαοδίκη Γ΄ της Συρίας	Laodike (Gattin des Antiochos III.)
493 π.Χ.	493 v. Chr.
Νάνσυ Χιούστον	Nancy Huston
Μαρίνα Σίλβα	Marina Silva
494 π.Χ.	494 v. Chr.
Πρωτάθλημα ποδοσφαίρου Ρουμανίας	Liga 1
Intel Pentium 4	Intel Pentium 4
495 π.Χ.	495 v. Chr.
Κολεκτιβισμός	Kollektivismus
Intel 80386	Intel 80386
Εθνόσημο του Μπενίν	Wappen Benins
Παρυσάτιδα της Περσίας	Parysatis (Ehefrau Dareios’ II.)
Εθνόσημο των Μπαρμπάντος	Wappen von Barbados
496 π.Χ.	496 v. Chr.
Αγλαονίκη	Aglaonike
Εθνόσημο της Γκαμπόν	Wappen Gabuns
Αγία Αικατερίνη (Σουηδίας)	Katharina von Schweden
Εθνικός ύμνος της Νιγηρίας	Arise Oh Compatriots, Nigeria’s Call Obey
Αλέξανδρος Β΄ της Σκωτίας	Alexander II. (Schottland)
497 π.Χ.	497 v. Chr.
Μαρία - Θηρεσία της Αυστρίας	Maria Theresia von Österreich (1767–1827)
Ουροβόρος Όφις	Ouroboros
498 π.Χ.	498 v. Chr.
Θηρεσία, κόμισσα της Πορτογαλίας	Theresia von León
Φράγκο Μπουρούντι	Burundi-Franc
499 π.Χ.	499 v. Chr.
Κρούση	Stoß (Physik)
Νουρμπανού Σουλτάνα	Nurbanu
Πανεπιστήμιο της Μινεσότα	University of Minnesota
Πρωτάθλημα ποδοσφαίρου Σλοβακίας	Fortuna liga
Κβαντική χρωμοδυναμική	Quantenchromodynamik
Κατάλογος μοναρχών της Αραγωνίας	Liste der Könige von Aragón
Νταράα	Darʿā
4FUN	4 Fun
Ανατολική Περιφέρεια (NBA)	Eastern Conference (NBA)
Ερατώ (αποσαφήνιση)	Erato (Begriffsklärung)
Μις Γη	Miss Earth
Μενίππη	Menippe
Πυρηνική αντίδραση	Kernreaktion
Αέτιος	Aëtios
Ιάσονας (αποσαφήνιση)	Jason (Begriffsklärung)
Τηλεδιάσκεψη	Videokonferenz
Ναυμαχία του Ναυαρίνου	Schlacht von Navarino
Εμιράτο της Γρανάδα	Emirat von Granada
Αρίς	Al-Arisch
Μονοθελητισμός	Monotheletismus
Δωρεά του Κωνσταντίνου	Konstantinische Schenkung
Ισπανική λογοτεχνία	Spanische Literatur
Συθήρια	Cytherea (Pornodarstellerin)
ΦΚ Ρενόβα	FK Renova Džepčište
Ναβάλ Ελ Σααντάουι	Nawal El Saadawi
Μπιν Αρούς (Κυβερνείο)	Gouvernement Ben Arous
We are the champions	We Are the Champions
Σαβάννα Σάμσον	Savanna Samson
Κηρύκειο	Hermesstab
Τέιλορ Ρέιν	Taylor Rain
Ντι Σι Γιουνάιτεντ	D.C. United
Τζιλ Κέλλυ	Jill Kelly
Ντέιζι Μέρι	Daisy Marie
Κωνσταντία της Αντιόχειας	Konstanze (Antiochia)
Πυραμίδα του Μυκερίνου	Mykerinos-Pyramide
Πάνορμο Ρεθύμνης	Panormos (Kreta)
Ότμαρ Χάσλερ	Otmar Hasler
Historia Regum Britanniae	Historia Regum Britanniae
Γκέοργκ φον Μπέκεσυ	Georg von Békésy
Εθνόσημο της Κιργιζίας	Wappen Kirgisistans
Αντνάν Μεντερές	Adnan Menderes
Μπαρμπούντα	Barbuda
Σημαία του Μακάου	Flagge Macaus
Hymne Cherifien	Hymne Chérifien
Ολυμπιακοί Αγώνες 1984	Olympische Spiele 1984
Σκάλα	Skala
Πάπας Στέφανος ΣΤ΄	Stephan VI.
Ολυμπιακοί Αγώνες 1988	Olympische Spiele 1988
Ντολόρες Ιμπάρρουρι	Dolores Ibárruri
ΦΚ Χάιντουκ Κούλα	FK Hajduk Kula
Μέγαρο Στόκλετ	Palais Stoclet
Ίμα Σουμάκ	Yma Sumac
Λόρκα Ντεπορτίβα ΚΦ	Lorca Deportiva
Συμμετοχή της Γεωργίας στη Eurovision	Georgien beim Eurovision Song Contest
Sepultura	Sepultura
Ντέιρ αλ-Ζορ	Deir ez-Zor
Εντφού	Edfu
Άννα Σάλιβαν	Anne Sullivan Macy
Toyota Peugeot Citroën Automobile	Toyota Peugeot Citroën Automobile
Βαλκανικός Συνασπισμός	Balkanbund
Βίσεγκραντ	Višegrad
Έλαντ	Öland
Εθνόσημο του Κατάρ	Wappen Katars
Μοντάζ	Filmmontage
Γεγονότα Μαΐου 2010	Mai 2010
Λαϊκό Κόμμα για την Ελευθερία και τη Δημοκρατία	Volkspartij voor Vrijheid en Democratie
Φίλιππος της Βουργουνδίας	Philipp III. (Burgund)
Αβισεβρών	Solomon ibn Gabirol
Stihl	Stihl (Unternehmen)
Εθνική Ταϊτής (ποδόσφαιρο ανδρών)	Tahitische Fußballnationalmannschaft
Ναβοναΐδ	Nabonid
Ντούσαν Μιχαΐλοβιτς	Dušan Mihajlović (Politiker)
Δαυίδ Β΄ της Σκωτίας	David II. (Schottland)
Τρέισι Άνταμς	Tracey Adams
Εθνική Κένυας (ποδόσφαιρο ανδρών)	Kenianische Fußballnationalmannschaft
Εθνική Σιγκαπούρης (ποδόσφαιρο ανδρών)	Singapurische Fußballnationalmannschaft
Μα Ρέινι	Ma Rainey
Εθνική Μπενίν (ποδόσφαιρο ανδρών)	Beninische Fußballnationalmannschaft
Χριστιανική Ένωση (Ολλανδία)	ChristenUnie
Εθνική Ταϊλάνδης (ποδόσφαιρο ανδρών)	Thailändische Fußballnationalmannschaft
Εθνική Μπρουνέι (ποδόσφαιρο ανδρών)	Bruneiische Fußballnationalmannschaft
Κίτουε	Kitwe
Σπαρίδες	Meerbrassen
Γλωσσική πράξη	Sprechakttheorie
Κύπελλο ΟΥΕΦΑ 2003-2004	UEFA-Pokal 2003/04
ΦΚ Σαράγεβο	FK Sarajevo
Λαίδη Περλέτ Λουίζι	Pearlette Louisy
Μουεζίνης	Muezzin
Πρωτάθλημα ποδοσφαίρου Εσθονίας	Meistriliiga
Νιιχάου	Niʻihau
Ferrari F430	Ferrari F430
Σύλβα Κοσκινά	Sylva Koscina
Ανθούριο	Flamingoblumen
Αντόν (αποσαφήνιση)	Anton
Άγιοι Κύριλλος και Μεθόδιος	Kyrill und Method
Μετρό της Κατάνιας	Metropolitana di Catania
Cicindela hybrida	Dünen-Sandlaufkäfer
Πόλη των Τεχνών και των Επιστημών	Ciudad de las Artes y de las Ciencias
Pokémon (Τηλεοπτική Σειρά)	Pokémon (Anime)
Αμφλορά	Amflora
Μακρυπτέρυγος τόνος	Weißer Thun
Χισάρια	Chissarja
Νόλσοϊ	Nólsoy
Ακτινική ταχύτητα	Radialgeschwindigkeit
Puppy Linux	Puppy Linux
Bullying	Schikane
Μητρόδωρος	Metrodoros
Μπρίτνεϊ Σκάι	Brittney Skye
Maniac Mansion	Maniac Mansion
Hi-5	Hi-5
Εκτροπή κλήσεων	Rufumleitung
Αρσάκης Β΄ της Παρθίας	Arsakes II.
Ευρωπαϊκή Βιβλιοθήκη	European Library
Πυροβολαρχία	Batterie (Militär)
Κανόνας των 50 κινήσεων	50-Züge-Regel
Επιχειρήσεις Ειδικών Αποστολών	Special Operations Executive
Τρεμπιζόντα Βάλα	Trebisonda Valla
Άννα της Σαβοΐας	Anna von Savoyen
Αγία Αικατερίνη (Γένουας)	Katharina von Genua
Καμίλα Μπορδονάμπα	Camila Bordonaba
Λουντμίλα Ένγκουιστ	Ludmila Engquist
Σιντριβάνι του Βασιλιά Φαχντ	King Fahd’s Fountain
Μαγκνταλένα Κόζενα	Magdalena Kožená
Κρίστα Άλλεν	Krista Allen
Αλάνια Βλαντικαφκάς	Alanija Wladikawkas
Ασπασία Μάνου	Aspasia Manos
Τέρεκ Γκρόζνι	Terek Grosny
Κίρστεν Πράις	Kirsten Price (Pornodarstellerin)
Σαβάννα	Savannah (Pornodarstellerin)
Λίρα Συρίας	Syrische Lira
Βιβλιοδεσία	Buchbinden
Ριάλ Υεμένης	Jemen-Rial
Swizz Beatz	Swizz Beatz
Λώρενς Άλμα-Τάντεμα	Lawrence Alma-Tadema
Λάουρα Γκέμσερ	Laura Gemser
Παραστατικό χρήμα	Fiatgeld
Αντοχή των υλικών	Festigkeitslehre
Σαλόμ	Schalom (Hebräisch)
Ανθρωπική αρχή	Anthropisches Prinzip
Σοσιαλιστική Δημοκρατία της Μακεδονίας	Sozialistische Republik Mazedonien
Μαρία της Αντιόχειας	Maria von Antiochia
500 π.Χ.	500 v. Chr.
Πανεπιστήμιο του Βελιγραδίου	Universität Belgrad
Αλλάν Καρντέκ	Allan Kardec
Ένοπλες Δυνάμεις της Βόρειας Κορέας	Koreanische Volksarmee
Κόστος	Kosten
Κρις Μπράουν (αθλητής)	Chris Brown (Leichtathlet)
501 π.Χ.	501 v. Chr.
Η Μούμια: Η Αυτοκρατορία του Δράκου	Die Mumie: Das Grabmal des Drachenkaisers
Αντρέα ντελ Καστάνιο	Andrea del Castagno
502 π.Χ.	502 v. Chr.
Limp Bizkit	Limp Bizkit
Αθλητικός Σύλλογος Ομόνοια Λευκωσίας	Omonia Nikosia
Χωριάτικη σαλάτα	Griechischer Salat
Βαθύ	Vathy
503 π.Χ.	503 v. Chr.
Υπομονή (φυτό)	Schlumbergera
504 π.Χ.	504 v. Chr.
Σουβλάκι	Souvlaki
Βαλεντίνα Μονέττα	Valentina Monetta
Άφσλαουτνταϊκ	Abschlussdeich
Τζουντίτα Πάστα	Giuditta Pasta
505 π.Χ.	505 v. Chr.
Signals	Signals
2110 Μουρ-Σίτερλυ	(2110) Moore-Sitterly
Προτομή	Büste
506 π.Χ.	506 v. Chr.
Γαλάτεια (Νηρηίδα)	Galateia
Ατόλλη Ρόκας	Rocas-Atoll
Αντιγόνη (Σοφοκλή)	Antigone (Sophokles)
Μάχη του Φρίντλαντ	Schlacht bei Friedland
Χόρχε Λορένθο	Jorge Lorenzo
Σιρβάν (πόλη)	Şirvan
Ανύτη	Anyte von Tegea
Κομράτ	Comrat
Μπιζέρτα (Κυβερνείο)	Gouvernement Bizerta
Κόριννα	Korinna
Οίκος των Μποργκέζε	Borghese
Σφαξ (Κυβερνείο)	Gouvernement Sfax
Αναστασία Κελεσίδου	Anastasia Kelesidou
507 π.Χ.	507 v. Chr.
Λουίζα του Γκουζμάν	Luisa von Guzmán
Κύφωνας	Pranger
Πατάκα	Macau-Pataca
508 π.Χ.	508 v. Chr.
Ορχάν Παμούκ	Orhan Pamuk
Βινς Κάρτερ	Vince Carter
509 π.Χ.	509 v. Chr.
Παγκόσμιο Πρωτάθλημα Καλαθοσφαίρισης Ανδρών 2006	Basketball-Weltmeisterschaft 2006
Μαργαρίτα, κόμισσα του Ανζού	Marguerite von Anjou-Sizilien
Εθνική Μογγολίας (ποδόσφαιρο ανδρών)	Mongolische Fußballnationalmannschaft
Βράχοι του Αγίου Πέτρου και του Αγίου Παύλου	Sankt-Peter-und-Sankt-Pauls-Felsen
Ζάννα Φρίσκε	Schanna Friske
Αντίγονος Β΄ Γονατάς	Antigonos II. Gonatas
Αντίπαπας Βίκτωρ Δ΄ (1159–1164)	Viktor IV. (Oktavian)
Μέρι Ντέιλι	Mary Daly
Αντρέα Ντβόρκιν	Andrea Dworkin
ΟΥΕΦΑ Τσάμπιονς Λιγκ 1997-98	UEFA Champions League 1997/98
Βασιλική Σαν Φραντσέσκο ντι Πάολα	San Francesco di Paola (Neapel)
Ζαν Ερμάν	Johann Hermann (Naturforscher)
Ινάρι Βαξ	Inari Vachs
Τριντάντε και Μάρτιμ Βαζ	Trindade und Martim Vaz
Ρόκυ Νο 3: Ο Θρίαμβος	Rocky 3 – Das Auge des Tigers
Σοκ	Shock (Begriffsklärung)
Βορειοανατολική Ισλανδία	Norðurland eystra
Αλίκη της Βρετάνης	Alix von Thouars
Χηλή	Şile
Σίλβια Καρτράιτ	Silvia Cartwright
Groove Metal	Groove Metal
Ημέρα της Πετσέτας	Towel Day
Εθνική Μπανγκλαντές (ποδόσφαιρο ανδρών)	Bangladeschische Fußballnationalmannschaft
Ρόμπερτ Νόις	Robert Noyce
Λεμπέλ (τυφέκιο)	Lebel Modell 1886
Βασίλειο της Σερβίας	Königreich Serbien
Αντρέ Κερτέζ	André Kertész
Μαλτέζικα κέρματα ευρώ	Maltesische Euromünzen
Σημαία της Μαδέρας	Flagge Madeiras
Χριστίνα Ωνάση	Christina Onassis
Μετάλλιο «Για την υπεράσπιση του Στάλινγκραντ»	Medaille „Für die Verteidigung Stalingrads“
511 π.Χ.	511 v. Chr.
Kamov	Kamow
Ιαπωνικό αεροπλανοφόρο Σινάνο	Shinano (1944)
Εθνόσημο του Λεσότο	Wappen Lesothos
Ευρωπαϊκό Πρωτάθλημα Ποδοσφαίρου 2008	Fußball-Europameisterschaft 2008
Θεώρημα Τεβενί	Thévenin-Theorem
MeeGo	MeeGo
Δαίμονες των κυμάτων (ταινία 1937)	Manuel (Film)
512 π.Χ.	512 v. Chr.
Γεγονότα Δεκεμβρίου 2008	Dezember 2008
Τζάκι Γουίβερ	Jacki Weaver
Φιλουμένα Μαρτουράνο - Γάμος Αλά Ιταλικά	Hochzeit auf italienisch
Τάκις	Takis (Künstler)
Γεγονότα Αυγούστου 2008	August 2008
Ορλάνδος μαινόμενος (Βιβάλντι)	Orlando furioso
Αιήτης	Aietes
513 π.Χ.	513 v. Chr.
Χούμους	Hummus
Λούσι Σίλβας	Lucie Silvas
Tankōbon	Tankōbon
Εθνόσημο της Αγίας Λουκίας	Wappen Saint Lucias
Λογισμός λάμδα	Lambda-Kalkül
Αποκολοκύνθωσις	Apocolocyntosis
Ανθρωπίναι	Homininae
Εκκλησία Αγίου Αθανασίου των Ελλήνων	Sant’Atanasio dei Greci
514 π.Χ.	514 v. Chr.
Αντριέβιτσα	Andrijevica
Καραντάν	Carentan
Ντίνο Μπουτζάτι	Dino Buzzati
Εθνική Χονγκ Κονγκ (ποδόσφαιρο ανδρών)	Hongkongische Fußballnationalmannschaft
515 π.Χ.	515 v. Chr.
Μπόχουμιλ Χράμπαλ	Bohumil Hrabal
Γεγονότα Οκτωβρίου 2010	Oktober 2010
Γεγονότα Αυγούστου 2010	August 2010
Γεγονότα Σεπτεμβρίου 2010	September 2010
Προσωπικό νεύρο	Nervus facialis
Θερμοπληξία	Hyperthermie
Πεισίστρατος	Peisistratos
Μπόμπι Ίντεν	Bobbi Eden
Μελίσα Λορίν	Melissa Lauren
518 π.Χ.	518 v. Chr.
ΦΚ Περσέπολις	Persepolis FC
Γκαμπές (Κυβερνείο)	Gouvernement Gabès
Κρίσι Μόραν	Crissy Moran
Σμέρδις της Περσίας	Bardiya
