Աֆրիկա	Afrika
Գրադարան	Bibliothek
Դախաու (քաղաք)	Dachau
Էսպոլյա	Espolla
Մատերիալիզմ	Materialismus
Նիլս Բոր	Niels Bohr
Գիտակցություն	Bewusstsein
Գալուա Էվարիստ	Évariste Galois
Կենսաքիմիա	Biochemie
Կենսաֆիզիկա	Biophysik
Պոլ Անրի Հոլբախ	Paul Henri Thiry d’Holbach
Կամպան	Capmany
Կենսատեխնոլոգիա	Biotechnologie
Լա Ժունկերա	La Jonquera
Ռաբոս	Rabós
UTC+14	UTC+14
Էկոլոգիա	Ökologie
Էթոլոգիա	Ethologie
Բարսելոնա (ֆուտբոլային ակումբ, Բարսելոն)	FC Barcelona
Աֆրիկյան Միություն	Afrikanische Union
Գենետիկա	Genetik
Քաղաքականություն	Politik
Համաշխարհային բանկ	Weltbank
Հայլբրոն (շրջան)	Landkreis Heilbronn
Հյուսվածաբանություն	Histologie
Գայուս Սալյուստիուս Կրիսպոս	Sallust
Արաբական Պետությունների Լիգա	Arabische Liga
Ժողովրդավարություն	Demokratie
Նագիբ Մահֆուզ	Nagib Mahfuz
Կարմիր խաչ	Internationale Rotkreuz- und Rothalbmond-Bewegung
Գլոբալացում	Globalisierung
ՆԱՏՕ	NATO
Մարի Կյուրի	Marie Curie
Գեն	Gen
Կառավարություն	Regierung
Նոբելյան մրցանակ	Nobelpreis
Ցին Շի Հուանդի	Qin Shihuangdi
Մանրէաբանություն	Mikrobiologie
Սիմոնա դը Բովուար	Simone de Beauvoir
Պուբլիուս Օվիդիուս Նասո	Ovid
Մարսել Պրուստ	Marcel Proust
Ալեքսանդր Պուշկին	Alexander Sergejewitsch Puschkin
Մոլեկուլային կենսաբանություն	Molekularbiologie
Հնէաբանություն	Paläontologie
Եղիսաբեթ I	Elisabeth I.
Ախտաբանություն	Pathologie
Հան դինաստիա	Han-Dynastie
Տաքսոնոմիա	Taxonomie
Վիրուսոլոգիա	Virologie
Թունագիտություն	Toxikologie
Ժաննա դ'Արկ	Jeanne d’Arc
Ռոզա Լուքսեմբուրգ	Rosa Luxemburg
Սոփոկլես	Sophokles
Կատեգորիա:Աղբյուրներ	Kategorie:Quelle
Օրգանիզմ	Lebewesen
Ռաբինդրանաթ Թագոր	Rabindranath Thakur
Լև Տոլստոյ	Lew Nikolajewitsch Tolstoi
Մարկ Տվեն	Mark Twain
Միաեղջյուր	Einhorn
Վան Ման	Wang Mang
Ալան Թյուրինգ	Alan Turing
Ֆեմինիզմ	Feminismus
Գաղափարախոսություն	Ideologie
Ադա Լավլեյս	Ada Lovelace
Մարքսիզմ	Marxismus
Միապետություն	Monarchie
Հանրապետություն	Republik
Սոցիալիզմ	Sozialismus
Պետություն	Staat
Կուսակցություն	Politische Partei
Ահաբեկչություն	Terrorismus
Բադմինտոն	Badminton
Յոհաննես Բրամս	Johannes Brahms
Եգիպտական մաու	Ägyptische Mau
Կիլիմանջարո	Kilimandscharo
Անտոնին Դվորժակ	Antonín Dvořák
Գեորգ Ֆրիդրիխ Հենդել	Georg Friedrich Händel
Դանսկոյ (կատու)	Don Sphynx
Գուստավ Մալեր	Gustav Mahler
Համբույր	Kuss
Նացիոնալ-սոցիալիզմը Գերմանիայում	Nationalsozialismus
Ջակոմո Պուչչինի	Giacomo Puccini
Ֆրանց Շուբերտ	Franz Schubert
Իգոր Ստրավինսկի	Igor Fjodorowitsch Strawinski
Պյոտր Չայկովսկի	Pjotr Iljitsch Tschaikowski
Ջուզեպպե Վերդի	Giuseppe Verdi
Նացիստական Գերմանիա	Deutsches Reich 1933 bis 1945
Նացիոնալ-սոցիալիստական ​​գերմանական բանվորական կուսակցություն	Nationalsozialistische Deutsche Arbeiterpartei
Ժակ Կարտիե	Jacques Cartier
Քրիստափոր Կոլումբոս	Christoph Kolumbus
Ջեյմս Կուկ	James Cook
Հրեաներ	Juden
Յուրի Գագարին	Juri Alexejewitsch Gagarin
Վասկո դա Գամա	Vasco da Gama
Իբն Բատուտա	Ibn Battuta
Չժենգ Հե	Zheng He
Մեծ Արգելախութ	Great Barrier Reef
Դեն Բրաուն	Dan Brown
Մեծ Լճեր	Große Seen
Ինդոս	Indus
Յոզեֆ Հայդն	Joseph Haydn
Պանամայի ջրանցք	Panamakanal
Ռոբերտ Շուման	Robert Schumann
Հարավային օվկիանոս	Südlicher Ozean
Հուանհե	Gelber Fluss
Ծաղրածու	Clown
Ականջ	Ohr
Քիթ	Nase
Երգ	Lied
Մոծակներ	Stechmücken
Ոչխար	Hausschaf
Ֆեդերիկո Ֆելինի	Federico Fellini
Շնաձկներ	Haie
Ալֆրեդ Հիչքոք	Alfred Hitchcock
Ուղտեր	Altweltkamele
Կաթնասուն	Säugetiere
Պրիմատներ	Primaten
Մրջյուններ	Ameisen
Մեղուներ	Bienen
Անդրե Աղասի	Andre Agassi
Հոլանդերեն	Niederländische Sprache
Ուոլթ Դիսնեյ ընկերություն	The Walt Disney Company
Մարգարետ Թետչեր	Margaret Thatcher
ԴՆԹ	Desoxyribonukleinsäure
Կենսաբանական տեսակ	Art (Biologie)
Ռիչարդ Սթոլման	Richard Stallman
Գատչինսկի շրջան	Gattschinski rajon
Աարի	Aari (Sprache)
Ուգեդեյ	Ögedei Khan
Խուբիլայ	Kublai Khan
Սևաստոպոլ	Sewastopol
Խավրծիլ	Gemeiner Rhabarber
Ծաղկակաղամբ	Blumenkohl
Բադրիջան	Aubergine
Որդնախոռոչ	Wurmloch
Ինգմար Բերգման	Ingmar Bergman
Ֆոբոս	Phobos (Mond)
Դեյմոս	Deimos (Mond)
Լուցկ	Luzk
Փուսի Ռայըթ	Pussy Riot
Վիշապ (գերբնական էակ)	Drache (Mythologie)
Ձյուն	Schnee
Լոմբոկ	Lombok
1828	1828
1829	1829
1741	1741
1662	1662
1742	1742
1830	1830
1663	1663
1831	1831
1743	1743
1664	1664
1665	1665
1744	1744
1832	1832
1666	1666
1745	1745
1833	1833
1667	1667
1746	1746
Տրանսպորտ	Verkehr
1834	1834
1668	1668
1747	1747
1835	1835
1748	1748
1836	1836
1669	1669
Լեոնարդ Էյլեր	Leonhard Euler
1670	1670
1749	1749
1837	1837
1671	1671
1750	1750
1838	1838
1672	1672
1751	1751
1839	1839
1673	1673
1752	1752
1840	1840
1674	1674
1753	1753
1841	1841
1754	1754
1675	1675
1842	1842
1755	1755
1676	1676
1843	1843
1677	1677
1756	1756
1844	1844
1678	1678
1757	1757
1845	1845
1679	1679
1758	1758
1846	1846
1680	1680
1759	1759
1847	1847
1681	1681
1760	1760
1848	1848
1682	1682
1761	1761
1849	1849
1683	1683
1762	1762
1850	1850
1684	1684
1763	1763
1851	1851
1764	1764
1685	1685
1852	1852
1686	1686
1765	1765
1853	1853
1687	1687
1766	1766
1854	1854
1688	1688
1767	1767
1855	1855
1689	1689
1768	1768
1856	1856
Վիբորգսկի շրջան	Wyborgski rajon (Leningrad)
1690	1690
1769	1769
1857	1857
1691	1691
1770	1770
1858	1858
1692	1692
1771	1771
1859	1859
Շրջան (վարչական միավոր)	Rajon
1693	1693
1772	1772
1860	1860
1773	1773
1861	1861
1694	1694
Մարկա	Mark (Territorium)
1695	1695
1774	1774
1862	1862
1696	1696
1775	1775
1863	1863
1697	1697
1776	1776
1864	1864
1698	1698
Ջրագնդակ	Wasserball
1865	1865
1777	1777
1699	1699
1866	1866
1778	1778
1779	1779
1867	1867
1780	1780
1868	1868
1781	1781
1869	1869
Նապոլեոն III	Napoleon III.
Յուհան Ավգուստ Ստրինդբերգ	August Strindberg
Րոպե	Minute
Հրեական ինքնավար մարզ	Jüdische Autonome Oblast
Լուի XVI	Ludwig XVI.
Նյու Յորքի մետրոպոլիտեն	New York City Subway
Ռուսերեն	Russische Sprache
Լուի Սիրված	Ludwig XV.
1782	1782
1870	1870
Լուի Արև արքա	Ludwig XIV.
1783	1783
1871	1871
Վլադիմիր Պուտին	Wladimir Wladimirowitsch Putin
Իրավունք	Recht
Ռոքնռոլ	Rock ’n’ Roll
Լյուդովիկոս XVIII	Ludwig XVIII.
Ջուզեպպե Արչիմբոլդո	Giuseppe Arcimboldo
1784	1784
1872	1872
Մաթեմատիկական անալիզ	Analysis
Սահմանադրություն	Verfassung
1785	1785
1873	1873
Շառլ Բուրբոն	Karl X. (Frankreich)
1786	1786
1874	1874
1787	1787
1875	1875
1788	1788
1876	1876
Հարավ-արևելյան Ասիայի պետությունների ասոցիացիա	ASEAN
Լուի Ֆիլիպ	Louis-Philippe I.
1789	1789
1877	1877
1790	1790
1878	1878
Անկախ պետությունների համագործակցություն	Gemeinschaft Unabhängiger Staaten
Իսպանիայի պատմություն	Geschichte Spaniens
1879	1879
1791	1791
Ազգերի Համագործակցություն	Commonwealth of Nations
Եվրոպայի պատմություն	Geschichte Europas
Խաբարովսկի երկրամաս	Region Chabarowsk
Սախալին	Sachalin
Հունաստանի պատմություն	Geschichte Griechenlands
Նավթ արտահանող երկրների կազմակերպություն	Organisation erdölexportierender Länder
Սախալինի մարզ	Oblast Sachalin
Արդարադատության միջազգային դատարան	Internationaler Gerichtshof
Հաց	Brot
Արժույթի միջազգային հիմնադրամ	Internationaler Währungsfonds
1792	1792
1880	1880
1793	1793
1881	1881
Միավորված Ազգերի Կրթության, Գիտության և Մշակույթի Կազմակերպություն	UNESCO
Հոմեր Սիմպսոն	Homer Simpson
1794	1794
1882	1882
Մարդու իրավունքների համընդհանուր հռչակագիր	Allgemeine Erklärung der Menschenrechte
Ջոտտո դի Բոնդոնե	Giotto di Bondone
1795	1795
1883	1883
Առողջապահության համաշխարհային կազմակերպություն	Weltgesundheitsorganisation
1796	1796
1884	1884
1797	1797
1885	1885
1886	1886
1798	1798
Առևտրի Համաշխարհային Կազմակերպություն	Welthandelsorganisation
1887	1887
1799	1799
Մարջ Սիմփսոն	Marge Simpson
1888	1888
Սուդակ (քաղաք, Ուկրաինա)	Sudak
1889	1889
1890	1890
Բորիս Վիան	Boris Vian
Ղրիմ	Krim
Ռենե Մագրիտ	René Magritte
1891	1891
Սվահիլի	Swahili (Sprache)
1892	1892
1893	1893
1894	1894
1895	1895
1896	1896
1897	1897
1898	1898
Չինարեն	Chinesische Sprachen
1899	1899
Բնություն	Natur
Ունստրուտ Հայնիխ (շրջան)	Unstrut-Hainich-Kreis
Հոգեբուժություն	Psychiatrie
Բջիջ	Zelle (Biologie)
Արյուն	Blut
Թուլուզ	Toulouse
Կմախք	Skelett
Թոքեր	Lunge
Համակարգչային խաղ	Computerspiel
Կասել (շրջան)	Landkreis Kassel
Շնչառական համակարգ	Atemtrakt
Վալդեկ Գրանկենբերգ (շրջան)	Landkreis Waldeck-Frankenberg
Շվալմ Էդեր (շրջան)	Schwalm-Eder-Kreis
Վերա Մայսներ (շրջան)	Werra-Meißner-Kreis
Հերսֆելդ Ռոտենբուրգ	Landkreis Hersfeld-Rotenburg
Ֆուլդա (շրջան)	Landkreis Fulda
Ֆոգելսբերգ (շրջան)	Vogelsbergkreis
Մարբուրգ Բիդենկոպֆ (շրջան)	Landkreis Marburg-Biedenkopf
Կասաբլանկա	Casablanca
Գիսեն (շրջան)	Landkreis Gießen
Լան Դիլ (շրջան)	Lahn-Dill-Kreis
Լիմբուրգ Վայլբուրգ (շրջան)	Landkreis Limburg-Weilburg
Ռայնգաու Տաունուս (շրջան)	Rheingau-Taunus-Kreis
Վերին Տաունուս (շրջան)	Hochtaunuskreis
Մայն Տաունուս (շրջան)	Main-Taunus-Kreis
Վետերաու	Wetteraukreis
Մայն Կինցիգ (շրջան)	Main-Kinzig-Kreis
Օֆենբախ (շրջան)	Landkreis Offenbach
Ռումիներեն	Rumänische Sprache
Գրոս Գերաու (շրջան)	Kreis Groß-Gerau
Դարմշտադտ Դիբուրգ (շրջան)	Landkreis Darmstadt-Dieburg
Բերգշտրասե (շրջան)	Kreis Bergstraße
Բուլղարերեն	Bulgarische Sprache
Օդենվալդ (շրջան)	Odenwaldkreis
Դիդակտիկա	Didaktik
Մանկավարժություն	Pädagogik
Անձրև	Regen
Կլիմա	Klima
Գլոբալ տաքացում	Globale Erwärmung
Երկրաշարժ	Erdbeben
Միներալ	Mineral
Ճշմարտություն	Wahrheit
Կամչատկայի Պետրոպավլովսկ	Petropawlowsk-Kamtschatski
Ամերիկյան կարճամազ	American Shorthair
Մագադան	Magadan
Մագադանի մարզ	Oblast Magadan
Շանթարգել	Blitzableiter
Պրիոզերսկ (քաղաք, Պրիոզյորսկի շրջան)	Priosersk
CD-ROM	CD-ROM
Մաթեմատիկայի միջազգային օլիմպիադա	Internationale Mathematik-Olympiade
Չուկոտկայի ինքնավար օկրուգ	Autonomer Kreis der Tschuktschen
Մկնիկ	Maus (Computer)
Լապտևների ծով	Laptewsee
Բնագիտություն	Naturwissenschaft
Իվան IV Ահեղ	Iwan IV. (Russland)
Սերգեյ Էյզենշտեյն	Sergei Michailowitsch Eisenstein
Լուսափոր	Ampel
Ակիրա Կուրոսավա	Akira Kurosawa
Ֆրանկլին Դ. Ռուզվելտ	Franklin D. Roosevelt
Աբու Ալի իբն Սինա	Avicenna
Ուինսթոն Չերչիլ	Winston Churchill
Օգոստինոս Երանելի	Augustinus von Hippo
Նելսոն Մանդելա	Nelson Mandela
Մարտին Լյութեր Քինգ	Martin Luther King
Կոմիլյաս	Anführungszeichen
Ֆերմենտ	Enzym
10–րդ դար	10. Jahrhundert
Սպիտակուց	Protein
Լյուդովիկոս XI	Ludwig XI.
Ապար	Gestein
Տարերային աղետներ	Naturkatastrophe
Ամինաթթու	Aminosäuren
Ջրհեղեղ	Hochwasser
Ցունամի	Tsunami
Հրաբուխ	Vulkan
Arte	Arte
Ամպ	Wolke
Հեռուստացույց	Fernsehgerät
Տրամաբանություն	Logik
Ամառային օլիմպիական խաղեր 1896	Olympische Sommerspiele 1896
9–րդ դար	9. Jahrhundert
Եռանկյունաչափություն	Trigonometrie
8–րդ դար	8. Jahrhundert
Երկրաչափություն	Geometrie
Ամառային Օլիմպիական խաղեր 1900	Olympische Sommerspiele 1900
7–րդ դար	7. Jahrhundert
6–րդ դար	6. Jahrhundert
Քերականություն	Grammatik
Նինթենդո	Nintendo
Քամի	Wind
5–րդ դար	5. Jahrhundert
4–րդ դար	4. Jahrhundert
3–րդ դար	3. Jahrhundert
2–րդ դար	2. Jahrhundert
Մթնոլորտ	Atmosphäre (Astronomie)
1–ին դար	1. Jahrhundert
Վրացերեն	Georgische Sprache
Մարդու առնանդամ	Penis des Menschen
Տնտեսագիտություն	Wirtschaftswissenschaft
Կապիտալ	Kapital
Տարադրամ	Währung
Իեն	Yen
Պոլ Բոկյուզ	Paul Bocuse
Հարկ	Steuer
Լեզվաբանություն	Sprachwissenschaft
Բառ	Wort
Կոլվա (Վիշերայի վտակ)	Kolwa (Wischera)
Հնչյուն (խոսքի միավոր)	Phonem
Հյուսիսային Դվինա	Nördliche Dwina
Վանկ	Silbe
Գիր	Schrift
Արաբերենի այբուբեն	Arabisches Alphabet
Արևմտյան Դվինա	Düna
Չինական այբուբեն	Chinesische Schrift
Կիրիլիցա	Kyrillisches Alphabet
Ռոտվայլ (շրջան)	Landkreis Rottweil
Հունական այբուբեն	Griechisches Alphabet
Հանգուլ	Koreanisches Alphabet
Բիբերախ (շրջան)	Landkreis Biberach
Լատինական այբուբեն	Lateinisches Alphabet
Կատեգորիա:Բուլղարիա	Kategorie:Bulgarien
Գրականություն	Literatur
Կատեգորիա:Ֆրանսիա	Kategorie:Frankreich
Պատերազմի արվեստը	Die Kunst des Krieges (Sunzi)
Գեղարվեստական գրականություն	Fiktion
Կատեգորիա:Երաժշտություն	Kategorie:Musik
Հազար ու մի գիշեր	Tausendundeine Nacht
Կատեգորիա:Գրականություն	Kategorie:Literatur
Վեպ	Roman
Կատեգորիա:Ֆրանսիայի պատմություն	Kategorie:Französische Geschichte
Եվրոգոտի	Eurozone
Գենձի մոնոհաթարի	Genji Monogatari
Գիլգամեշ (էպոս)	Gilgamesch-Epos
Մանգա	Manga
Իլիական	Ilias
Մահաբհարաթա	Mahabharata
Ադիսոնի հիվանդություն	Nebennierenrindeninsuffizienz
Դեյվիդ Գետտա	David Guetta
Դդմազգիներ	Kürbisgewächse
Երկշաքիլավորներ	Zweikeimblättrige
Արկանզաս (գետ)	Arkansas River
Կինոպատճենահան ապարատ	Optischer Printer
Թութակներ (կարգ)	Eigentliche Papageien
Սովորական աղվես	Rotfuchs
Հետաքննությունների դաշնային բյուրո	Federal Bureau of Investigation
Հարի Փոթեր (վիպաշար)	Harry Potter
Շեփոր	Trompete
Ջազ	Jazz
Կլառնետ	Klarinette
Տրոմբոն	Posaune
Ջութակ	Violine
Վալյադոլիդ	Valladolid
Մանրանկարչություն	Buchmalerei
Ալգորիթմ	Algorithmus
Թավջութակ	Violoncello
Հոբոյ	Oboe
Հոբոյ դ'ամուր	Oboe d’amore
.ac	.ac
Սեռական դիրքեր	Sexualpraktik
Ձեռնաշարժություն	Masturbation
Սրբանային սեքս	Analverkehr
Ալեքսանդր Մակեդոնացի	Alexander der Große
Կոստանդիանոս Ա Մեծ	Konstantin der Große
Հանդբոլ	Handball
Կյուրոս Բ Մեծ	Kyros II.
Հասարակություն	Gesellschaft (Soziologie)
Թյուրքագիտություն	Turkologie
Կրթություն	Bildung
Ընտանիք	Familie
Ուգո Չավես	Hugo Chávez
Տղամարդ	Mann
Օտտո ֆոն Բիսմարկ	Otto von Bismarck
Ամուսնություն	Ehe
Կուրտ Քոբեյն	Kurt Cobain
Ֆրանսերեն Վիքիպեդիա	Französischsprachige Wikipedia
Իսպաներեն Վիքիպեդիա	Spanischsprachige Wikipedia
Վիժում	Schwangerschaftsabbruch
Մահապատիժ	Todesstrafe
Կորեջիո	Antonio da Correggio
Մարդու իրավունքներ	Menschenrechte
Ջորջոնե	Giorgione
Ռասիզմ	Rassismus
Լենկթեմուր	Tamerlan
Ստրկություն	Sklaverei
Քաղաքացիական պատերազմ	Bürgerkrieg
Կայզերսլաուտերն ՖԱ	1. FC Kaiserslautern
Ամառային Օլիմպիական խաղեր 1988	Olympische Sommerspiele 1988
Սուլեյման I	Süleyman I.
Ինտերպոլ	Interpol
Եվրոնյուզ	Euronews
Պետրոս I	Peter der Große
Սուրճ	Kaffee
Հյութ	Fruchtsaft
Ամուդարյա (գետ)	Amudarja
Կաթ	Milch
Լեռ	Berg
Թեջեն (գետ)	Hari Rud
Հիլմենդ	Hilmend
Տվյալների բազա	Datenbank
Անապատ (աշխարհագրություն)	Wüste
Հոհենլոե (շրջան)	Hohenlohekreis
Վախշ (գետ)	Wachsch
Ամառային Օլիմպիական խաղեր 1996	Olympische Sommerspiele 1996
Էսլինգեն (շրջան)	Landkreis Esslingen
Բյոբլինգեն (շրջան)	Landkreis Böblingen
Մեծ պայթյունի տեսությունը	The Big Bang Theory
Գերմերսհայմ (շրջան)	Landkreis Germersheim
Դեքստրայի ալգորիթմ	Dijkstra-Algorithmus
Հարավարևմտյան Պֆալց (շրջան)	Landkreis Südwestpfalz
Մուրղաբ	Murgab (Karakum)
Ամառային Օլիմպիական խաղեր 2008	Olympische Sommerspiele 2008
Սուն Յաթ-Սեն	Sun Yat-sen
Հռենոս Հունսրյուկ (շրջան)	Rhein-Hunsrück-Kreis
Ամառային Օլիմպիական խաղեր 2012	Olympische Sommerspiele 2012
Տրիր Սաարբուրգ (շրջան)	Landkreis Trier-Saarburg
Սալահ ալ-Դին	Saladin
Բերնկաստել Վիտլիխ (շրջան)	Landkreis Bernkastel-Wittlich
Շրեդինգերի կատու	Schrödingers Katze
Աշոկա Մեծ	Ashoka
Աքբար Մեծ	Akbar
Վեստերվալդ (շրջան)	Westerwaldkreis
Սասսուոլո ՖԱ	US Sassuolo Calcio
Սիմոն Բոլիվար	Simón Bolívar
(19308) 1996 TO66	(19308) 1996 TO66
Հիպնոս	Hypnose
Քվոմե Նքրումա	Kwame Nkrumah
Վանդեական պատերազմներ	Aufstand der Vendée
Հելլաս Վերոնա	Hellas Verona
Իդիշ	Jiddisch
Հոնկոնգ	Hongkong
Մայամի	Miami
Կարաչի	Karatschi
Կորեական պատերազմ	Koreakrieg
Աշխատավորների ելքը ֆաբրիկայից	Arbeiter verlassen die Lumière-Werke
Եզնարած (համաստեղություն)	Bärenhüter
Արաբա-իսրայելական հակամարտություն	Nahostkonflikt
Լագոս	Lagos
Վիշապ (համաստեղություն)	Drache (Sternbild)
Ամերիկայի քաղաքացիական պատերազմ	Sezessionskrieg
Ռիո դե Ժանեյրո	Rio de Janeiro
Ձկներ (համաստեղություն)	Fische (Sternbild)
Բրիտանական կայսրություն	Britisches Weltreich
Ռեալ Մադրիդ	Real Madrid
Սառը պատերազմ	Kalter Krieg
Սեուլ	Seoul
Շանհայ	Shanghai
Աթլետիկ Բիլբաո	Athletic Bilbao
Բիլբաո	Bilbao
Մեծ Ճգնաժամ	Weltwirtschaftskrise
Ատլետիկո Մադրիդ	Atlético Madrid
Գեթվիք օդանավակայան	Gatwick Airport
Ուոլթ Դիսնեյ	Walt Disney
Մեյձի հեղափոխություն	Meiji-Restauration
Ֆաբրո	Fabro
Սևիլյա	Sevilla
Ռեալ Բետիս	Betis Sevilla
Ռուսական հեղափոխություն	Russische Revolution
Ցին դինաստիա	Qing-Dynastie
Վերսալյան պայմանագիր	Friedensvertrag von Versailles
Արքիմեդես	Archimedes
Վիետնամի պատերազմ	Vietnamkrieg
Թոմաս Էդիսոն	Thomas Alva Edison
Վիգո	Vigo
Էվկլիդես	Euklid
Ալբաներեն	Albanische Sprache
Սելտա Վիգո	Celta Vigo
Մայքլ Ֆարադեյ	Michael Faraday
Բասկերեն	Baskische Sprache
Էնրիկո Ֆերմի	Enrico Fermi
Կոլին Մակլորեն	Colin Maclaurin
Լա Կորունիա	A Coruña
Դեպորտիվո Լա Կորունյա	Deportivo La Coruña
Ֆիբոնաչի	Leonardo Fibonacci
Բրիտանական Ավիաուղիներ	British Airways
DNS	Domain Name System
Հենրի Ֆորդ	Henry Ford
Ժոզեֆ Ֆուրիե	Joseph Fourier
HTTP	Hypertext Transfer Protocol
Գալեն Կլավդիոս	Galenos
Էսպանյոլ (ֆուտբոլային ակումբ)	Espanyol Barcelona
Հայերեն	Armenische Sprache
Էլզասերեն	Elsässisch
Գաղտնագրություն	Kryptographie
Ուկրաիներեն	Ukrainische Sprache
Խետաֆե	Getafe
Փոխանցման կառավարման հաղորդակարգ	Transmission Control Protocol
Բիթ	Bit
Խետաֆե (ֆուտբոլային ակումբ)	FC Getafe
Գրանադա	Granada
HTML	Hypertext Markup Language
Գրանադա ՖԱ	FC Granada
Օգյուստեն Լուի Կոշի	Augustin-Louis Cauchy
Վալենսիա	Valencia
Յունիկոդ	Unicode
Չեռնոգորերեն	Montenegrinische Sprache
Լևանտե (ֆուտբոլային ակումբ)	Levante UD
Մալյորկա	Mallorca
Ընձուղտ (համաստեղություն)	Giraffe (Sternbild)
Գայոս Մեկենաս	Gaius Maecenas
Մալյորկա ԱՄԱ	RCD Mallorca
Ոսկե Ձկնիկ (համաստեղություն)	Schwertfisch (Sternbild)
Կետ (համաստեղություն)	Walfisch (Sternbild)
Կույս (համաստեղություն)	Jungfrau (Sternbild)
Կենտավրոս (համաստեղություն)	Zentaur (Sternbild)
Վալանս (քաղաք)	Valence
Խեցգետին (համաստեղություն)	Krebs (Sternbild)
Մալագա	Málaga
Առյուծ (համաստեղություն)	Löwe (Sternbild)
Մալագա (ֆուտբոլային ակումբ)	FC Málaga
Հայկ (համաստեղություն)	Orion (Sternbild)
Պեգաս (համաստեղություն)	Pegasus (Sternbild)
Կարիճ (համաստեղություն)	Skorpion (Sternbild)
Աղեղնավոր	Schütze (Sternbild)
Սթիվեն Սփիլբերգ	Steven Spielberg
Օձակիր	Schlangenträger
Եվրոպայի Խորհուրդ	Europarat
Օձ (համաստեղություն)	Schlange (Sternbild)
Վառարան (համաստեղություն)	Chemischer Ofen
Մեծ Արջ	Großer Bär
Եվրատոմ	Europäische Atomgemeinschaft
Կարապ (համաստեղություն)	Schwan (Sternbild)
Երկվորյակներ (համաստեղություն)	Zwillinge (Sternbild)
Մարիոն Քոտիար	Marion Cotillard
Համաստեղություններ	Sternbild
Յոհան Գուտենբերգ	Johannes Gutenberg
Ջեյմս Ջոուլ	James Prescott Joule
Յոհան Կեպլեր	Johannes Kepler
Վալ դելա Տորե	Val della Torre
Կանկուն	Cancún
Ալե (Թուրին)	Agliè
Ալա դի Ստուրա	Ala di Stura
Ալբյանո դ'Իվրեա	Albiano d’Ivrea
Ալիչե Սուպերիորե	Alice Superiore
Ալմեզե	Almese
Ալպեթե	Alpette
Ալպինիանո	Alpignano
Անդեձենո	Andezeno
Անդրատե	Andrate
Արինիանո	Arignano
Ավիլյանա	Avigliana
Աձելիո	Azeglio
Բայրո	Bairo
Բալանջերո	Balangero
Բալդիսերո Կանավեզե	Baldissero Canavese
Մաքս Պլանկ	Max Planck
Բալդիսերո Տորինեզե	Baldissero Torinese
Շվեդերեն	Schwedische Sprache
Բալմե	Balme
Բանկետե	Banchette
Բարբանիա	Barbania
Դանիերեն	Dänische Sprache
Նիկոլա Տեսլա	Nikola Tesla
Ալ-Խորեզմի	Al-Chwarizmi
Բարդոնեքիա	Bardonecchia
Ջեյմս Վատ	James Watt
Բարոնե Կանավեզե	Barone Canavese
Գոթֆրիդ Վիլհելմ Լայբնից	Gottfried Wilhelm Leibniz
Բեյնասկո	Beinasco
Նոամ Չոմսկի	Noam Chomsky
Բիբիանա	Bibiana (Piemont)
Լյուքսեմբուրգերեն	Luxemburgische Sprache
Բոբիո Պելիչե	Bobbio Pellice
Բոլենգո	Bollengo
Չեխերեն	Tschechische Sprache
Սլովակերեն	Slowakische Sprache
Բորջալո	Borgiallo
Կառլ Մարքս	Karl Marx
Սլովեներեն	Slowenische Sprache
Բորգոմազինո	Borgomasino
Հունգարերեն	Ungarische Sprache
Վոլտեր	Voltaire
Էստոներեն	Estnische Sprache
Բոսկոներո	Bosconero
Բրանդիցո	Brandizzo
Մովսես մարգարե	Mose
Լատվիերեն	Lettische Sprache
Բրիկերազիո	Bricherasio
Գիտելիք	Wissen
Լիտվերեն	Litauische Sprache
Բրոսո	Brosso
Բրոձոլո	Brozolo
Հինդուիզմ	Hinduismus
Բելառուսերեն	Weißrussische Sprache
Բրուինո	Bruino
Խոսե Ալբերտո Մուխիկա Կորդանո	José Mujica
Ջեյմս Մաքսվել	James Clerk Maxwell
Բրուզասկո	Brusasco
Բրուձոլո	Bruzolo
Բուրիասկո	Buriasco
Դմիտրի Մենդելեև	Dmitri Iwanowitsch Mendelejew
Բուրոլո	Burolo
Բուզանո	Busano
Բուսոլենո	Bussoleno
Բութիլերա Ալթա	Buttigliera Alta
Ատոմ	Atom
Էռնեստ Ռեզերֆորդ	Ernest Rutherford
Լույս	Licht
Հունարեն	Griechische Sprache
Էրվին Շրյոդինգեր	Erwin Schrödinger
Կալուզո	Caluso
Դիցաբանություն	Mythologie
Օպերացիոն համակարգ	Betriebssystem
Կամբիանո	Cambiano
Կամպիլոնե Ֆենիլե	Campiglione-Fenile
Թաջ Մահալ	Taj Mahal
Իռլանդերեն	Irische Sprache
Ծրագրավորման լեզու	Programmiersprache
Կանդիա Կանավեզե	Candia Canavese
Պինգվիններ	Pinguine
Կանդիոլո	Candiolo
Կանիսկո	Canischio
Կանտալուպա	Cantalupa (Piemont)
Էլեկտրոնային փոստ	E-Mail
Միաստվածություն	Monotheismus
Կանտոյրա	Cantoira
Հոգի	Seele
Կապրիե (կոմունա)	Caprie
Պարսկերեն	Persische Sprache
Կարավինո	Caravino
Կարեմա	Carema
Կրոն	Religion
Կորեերեն	Koreanische Sprache
Աբրահամ	Abraham
Կարինիանո	Carignano
Ծննդոց	1. Buch Mose
