आफ्रिकाखण्डः	Afrika
लाहोर	Lahore
देशाः	Liste der Staaten der Erde
पाषाणयुगम्	Steinzeit
कांस्ययुगम्	Bronzezeit
लोहयुगम्	Eisenzeit
पौराणयवनसंस्कृतिः	Antikes Griechenland
गुप्त-साम्राज्यम्	Gupta-Reich
थामस् जेफरसन्	Thomas Jefferson
राजकोट	Rajkot
सिल्विओ बर्लुस्कोनी	Silvio Berlusconi
जुनागढ	Junagadh
वडोदरा	Vadodara
गान्धीनगरम्	Gandhinagar
प्रभासंयोगः	Photosynthese
११०१	1101
११०२	1102
कर्कटरोगः	Krebs (Medizin)
विसूचिका	Cholera
गोधूमः	Weizen
यावानलः	Sorghumhirsen
बधिरता	Gehörlosigkeit
मानसिकरोगः	Psychische Störung
ग्रेगोरी-कालगणना	Gregorianischer Kalender
समयवलयः	Zeitzone
स्वस्थ:	Gesundheit
हृदयाघातः	Myokardinfarkt
शीतज्वरः	Malaria
मेदुरता	Adipositas
एइड्स्	AIDS
क्षयरोगः	Tuberkulose
मधुमेहः	Diabetes mellitus
वास्तुशास्त्रम्	Architektur
फलकम्:Location map India	Vorlage:Positionskarte Indien
मापनप्रविधिः	Messung
संख्याशास्त्रम्	Zahlentheorie
११०३	1103
११०४	1104
आस्ट्टाल्ट् फ्रिडरिक् विल्हेल्म्	Wilhelm Ostwald
अण्वस्त्रम्	Kernwaffe
विनोबा भावे	Vinoba Bhave
कपालः	Schädel
तृणबदरफलम्	Gartenerdbeere
केरवृक्षः	Kokospalme
दाडिमफलम्	Granatapfel
नारङ्गफलम्	Orange (Frucht)
राजस्थानी	Rajasthani
हार्वर्ड् विश्वविद्यालयः	Harvard University
११०५	1105
अरबीभाषा	Arabische Sprache
कासनी जियावानि डोमिनिको	Giovanni Domenico Cassini
ब्रान्टोसारस्	Apatosaurus
नागदामिनी	Brotfruchtbaum
अरियलूर् मण्डलम्	Ariyalur (Distrikt)
कोयम्बत्तूरुमण्डलम्	Coimbatore (Distrikt)
कडलूरुमण्डलम्	Cuddalore (Distrikt)
धर्मपुरीमण्डलम्	Dharmapuri (Distrikt)
दिण्डुगलमण्डलम्	Dindigul (Distrikt)
ईरोडमण्डलम्	Erode (Distrikt)
काञ्चिपुरमण्डलम्	Kanchipuram (Distrikt)
कन्याकुमारीमण्डलम्	Kanyakumari (Distrikt)
अधरम्	Lippe
श्मश्रु	Schnurrbart
करूरुमण्डलम्	Karur (Distrikt)
कृष्णगिरिमण्डलम्	Krishnagiri (Distrikt)
मधुरैमण्डलम्	Madurai (Distrikt)
नागपट्टिणमण्डलम्	Nagapattinam (Distrikt)
पेरम्बलूरुमण्डलम्	Perambalur (Distrikt)
नामक्कलमण्डलम्	Namakkal (Distrikt)
नीलगिरीमण्डलम्	Nilgiris (Distrikt)
पुदुक्कोट्टैमण्डलम्	Pudukkottai (Distrikt)
रामनाथपुरमण्डलम्	Ramanathapuram (Distrikt)
सेलम्-मण्डलम्	Salem (Distrikt)
तञ्जावूरुमण्डलम्	Thanjavur (Distrikt)
शिवगङ्गामण्डलम्	Sivaganga (Distrikt)
तेनिमण्डलम्	Theni (Distrikt)
तिरुवारूरुमण्डलम्	Tiruvarur (Distrikt)
तूतुकुडिमण्डलम्	Thoothukudi (Distrikt)
तिरुनेल्वेलीमण्डलम्	Tirunelveli (Distrikt)
तिरुच्चिरापळ्ळिमण्डलम्	Tiruchirappalli (Distrikt)
तिरुप्पूरमण्डलम्	Tiruppur (Distrikt)
तिरुवळ्ळूरुमण्डलम्	Tiruvallur (Distrikt)
विऴुप्पुरमण्डलम्	Viluppuram (Distrikt)
वेल्लूरुमण्डलम्	Vellore (Distrikt)
तिरुवण्णामलैमण्डलम्	Tiruvannamalai (Distrikt)
विरुदुनगरमण्डलम्	Virudhunagar (Distrikt)
अदिलाबादमण्डलम्	Adilabad (Distrikt)
अनन्तपुरमण्डलम्	Anantapur (Distrikt)
चित्तूरुमण्डलम्	Chittoor (Distrikt)
पूर्वगोदावरीमण्डलम्	East Godavari
कडपामण्डलम्	YSR (Distrikt)
खम्मम् मण्डलम्	Khammam (Distrikt)
करीम्नगरमण्डलम्	Karimnagar (Distrikt)
महबूबनगरमण्डलम्	Mahbubnagar (Distrikt)
कर्नूलुमण्डलम्	Kurnool (Distrikt)
कृष्णामण्डलम्	Krishna (Distrikt)
नेल्लूरुमण्डलम्	Sri Potti Sriramulu Nellore
नल्गोण्डामण्डलम्	Nalgonda (Distrikt)
मेदकमण्डलम्	Medak (Distrikt)
रङ्गारेड्डिमण्डलम्	Rangareddy (Distrikt)
प्रकाशमण्डलम्	Prakasam (Distrikt)
निजामाबादमण्डलम्	Nizamabad (Distrikt)
विजयनगरमण्डलम्	Vizianagaram (Distrikt)
श्रीकाकुळम् मण्डलम्	Srikakulam (Distrikt)
वरङ्गलमण्डलम्	Warangal (Distrikt)
पश्चिमगोदावरीमण्डलम्	West Godavari
चरणम्	Fuß
एमील डर्खीम	Émile Durkheim
स्कन्दः	Schulter
विकिपीडिया:निर्वाचित लेख	Wikipedia:Exzellente Artikel
विकिपीडिया:विचारमण्डपम्	Wikipedia:Projektdiskussion
कमलम्	Indische Lotosblume
वर्मांट	Vermont
डेन्वर्	Denver
फिनिक्स्, एॅरिझोना	Phoenix (Arizona)
आस्टिन्	Austin (Texas)
ISO 15924	ISO 15924
विकिया	Wikia
स्टार् वार्स्:अ नुय्य् होप्	Krieg der Sterne
साक्रामेन्टो	Sacramento
हानलूलू	Honolulu
कोरिया	Korea
प्राविडेन्स्	Providence
१०००	1000
९९९	999
वैश्विकस्थितिसूचकपद्धतिः	Global Positioning System
मामे बिराम दिउफ़	Mame Diouf
ताजमहल् प्यालेस्	Taj Mahal Palace
१००१	1001
१००२	1002
१००३	1003
१००५	1005
१००६	1006
१००७	1007
१००८	1008
१००९	1009
१०१०	1010
१०११	1011
१०१२	1012
१०१३	1013
१०१४	1014
१०१५	1015
१०१६	1016
१०१७	1017
१०१८	1018
१०१९	1019
१०२०	1020
१०२१	1021
१०२२	1022
१०२३	1023
१०२४	1024
१०२५	1025
१०२६	1026
१०२७	1027
१०२८	1028
१०२९	1029
१०३०	1030
१०३१	1031
१०३२	1032
१०३३	1033
१०३४	1034
१०३५	1035
१०३६	1036
१०३७	1037
१०३८	1038
१०३९	1039
१०४०	1040
१०४१	1041
१०४२	1042
१०४३	1043
१०४४	1044
१०४५	1045
१०४६	1046
१०४७	1047
१०४८	1048
१०४९	1049
१०५०	1050
१०५१	1051
१०५२	1052
१०५३	1053
१०५४	1054
१०५५	1055
१०५६	1056
१०५७	1057
१०५८	1058
१०५९	1059
१०६०	1060
१०६१	1061
१०६२	1062
१०६३	1063
१०६४	1064
१०६५	1065
१०६६	1066
१०६७	1067
१०६८	1068
१०६९	1069
१०७०	1070
१०७१	1071
१०७२	1072
१०७३	1073
१०७४	1074
१०७५	1075
१०७६	1076
१०७७	1077
१०७८	1078
१०७९	1079
१०८०	1080
१०८१	1081
१०८२	1082
१०८३	1083
१०८४	1084
१०८५	1085
१०८६	1086
१०८७	1087
१०८८	1088
१०८९	1089
१०९०	1090
१०९१	1091
१०९२	1092
१०९३	1093
१०९४	1094
१०९५	1095
१०९६	1096
१०९७	1097
१०९८	1098
१०९९	1099
११०६	1106
११०७	1107
११०८	1108
११०९	1109
१११०	1110
पोडाल्स्क्	Podolsk
११११	1111
१११२	1112
१११३	1113
१११४	1114
१११५	1115
१११६	1116
१११७	1117
१११८	1118
१११९	1119
११२०	1120
११३०	1130
११३१	1131
११३२	1132
११३३	1133
११३४	1134
११३५	1135
११३६	1136
११३७	1137
११३८	1138
११३९	1139
५	5
११४०	1140
११४१	1141
११४२	1142
११४३	1143
११४४	1144
४	4
११४५	1145
११४६	1146
११४७	1147
११४८	1148
३	3
११४९	1149
११५०	1150
११५१	1151
११५२	1152
११५३	1153
२	2
११५४	1154
११५५	1155
११५६	1156
११५७	1157
११५८	1158
११५९	1159
११६०	1160
११६१	1161
११६२	1162
११६३	1163
११६४	1164
११६५	1165
११६६	1166
११६७	1167
११६८	1168
११६९	1169
११७०	1170
११७१	1171
११७२	1172
११७३	1173
११७४	1174
११७५	1175
११७६	1176
११७७	1177
११७८	1178
११७९	1179
११८०	1180
११८१	1181
११८२	1182
११८३	1183
११८४	1184
११८५	1185
११८६	1186
११८७	1187
११८८	1188
११८९	1189
११९०	1190
११९१	1191
११९२	1192
११९३	1193
११९४	1194
११९५	1195
११९६	1196
११९७	1197
११९८	1198
११९९	1199
कच्छवनस्पतियुक्तभूमिः	Mangrove (Ökosystem)
६	6
क्रिस्मस्	Weihnachten
अधिवर्षम्	Schaltjahr
स्टीव जाब्स	Steve Jobs
व्याघ्रः	Tiger
हरितकानि	Blattgemüse
कन्दमूलानि	Wurzelgemüse
निस्सान् मोटार् कम्पनि	Nissan
स्याम्सङ्ग्	Samsung
एडवर्ड ७	Eduard VII.
चिशिनौ	Chișinău
सङ्गणकविज्ञानम्	Informatik
ओडिशाराज्यम्	Odisha
पञ्जाबराज्यम्	Punjab (Indien)
जनसङ्ख्यासान्द्रता	Bevölkerungsdichte
आयर्लैंड	Irland (Insel)
१	1
१०	10
नाश्विल्	Nashville
२०	20
३०	30
४०	40
साल्ट् लेक् सिटी	Salt Lake City
९	9
७	7
८	8
१२	12
हरिणः	Hirsche
लशुनम्	Knoblauch
मानवविज्ञानं	Anthropologie
९३०	930
१३	13
९८५	985
११२२	1122
९८१	981
९३९	939
उर्वारुकम्	Gurke
५१	51
श्वेत	Weiß
कृष्ण वर्णः	Schwarz
८१४	814
६७८	678
९५०	950
६७९	679
९९६	996
६८०	680
३७	37
९८०	980
९००	900
११२९	1129
८४३	843
६९०	690
६९१	691
९८८	988
६९२	692
४७६	476
६९३	693
६९४	694
६९५	695
पलाण्डुः	Zwiebel
६९६	696
६९७	697
६९८	698
६९९	699
७००	700
७०१	701
७०२	702
पुरातत्त्व	Archäologie
७०३	703
वार्तकी	Tomate
७०४	704
७०५	705
७०६	706
६८	68
८९	89
७०७	707
७०८	708
७०९	709
११	11
७१०	710
७११	711
७१२	712
७१३	713
७१४	714
७१५	715
७१६	716
७१७	717
७१८	718
७१९	719
७२०	720
७२१	721
७२२	722
७२३	723
नासा	NASA
७२४	724
७२५	725
७२६	726
अटलान्टा	Atlanta
७२७	727
बेनितो मुसोलिनी	Benito Mussolini
७२८	728
७२९	729
९६३	963
७३०	730
७३१	731
९६२	962
७३२	732
७३३	733
९९७	997
७३४	734
९७२	972
७३५	735
९५५	955
९०१	901
७३६	736
७३७	737
९३६	936
७३८	738
९५३	953
९०२	902
७३९	739
१५	15
७४०	740
१४	14
७४१	741
७४२	742
१७	17
७४३	743
९५८	958
७४४	744
५००	500
७४५	745
१५०	150
७४६	746
८८०	880
७४७	747
७४८	748
७४९	749
८७०	870
९०३	903
७५०	750
७५१	751
७५२	752
मस्तकम्	Kopf
७५३	753
९८७	987
७५४	754
९६५	965
७५५	755
९२४	924
९५१	951
९३२	932
२३	23
८००	800
१२०	120
४२	42
९६७	967
९८९	989
९६०	960
९६९	969
९५७	957
११२४	1124
९७१	971
९३७	937
९९२	992
९९०	990
८९९	899
९७५	975
९४२	942
९६६	966
११२८	1128
९५९	959
९७३	973
१८	18
१९	19
१६	16
२१	21
२६	26
४१	41
३२	32
३३	33
९८२	982
९७४	974
९७६	976
९७९	979
९८६	986
९१९	919
९९८	998
९९५	995
९७७	977
११२५	1125
९३४	934
अल्फ्रेड नोबेल	Alfred Nobel
२००	200
८७६	876
८७५	875
८१०	810
९२९	929
८८२	882
११२७	1127
९४०	940
८८९	889
८४४	844
९१२	912
८३८	838
९८४	984
८७४	874
३८	38
४३	43
१२७	127
९५४	954
३९	39
२४	24
७९	79
६१	61
१०४	104
२९	29
१०२	102
८६६	866
८३९	839
६२२	622
९१८	918
१००	100
९६१	961
५७०	570
६३२	632
९४६	946
८३५	835
८८४	884
८५९	859
८३२	832
८४९	849
८७७	877
८७८	878
८६१	861
८६९	869
९६८	968
९८३	983
९६४	964
११२१	1121
११२३	1123
९३३	933
९१५	915
९७०	970
९११	911
९९३	993
९९१	991
९९४	994
८९८	898
९४४	944
९०७	907
९४३	943
९४५	945
९२२	922
९०५	905
९४१	941
९२५	925
९२८	928
९४८	948
९४७	947
९४९	949
९२६	926
ऋतुः	Jahreszeit
१२६	126
१०१	101
१०५	105
१०८	108
११७	117
११५	115
२२	22
४६	46
२५	25
१५३	153
१५६	156
३१	31
८२५	825
३०१	301
११६	116
८८६	886
३३०	330
८६०	860
८४२	842
१६५	165
८७१	871
८९३	893
२०३	203
९०९	909
२२२	222
९३१	931
९३८	938
९१७	917
१६०	160
२८	28
८५	85
८८	88
७६	76
५४	54
४७७	477
९१४	914
९२०	920
९१३	913
अल्बानी, न्यू यार्क्	Albany (New York)
९३५	935
८४१	841
८२०	820
९०६	906
९१६	916
८८५	885
१६८	168
६०	60
४७	47
८३६	836
११२	112
८५४	854
८६२	862
८७९	879
८८७	887
७७०	770
८१७	817
८६४	864
८६३	863
८६८	868
सुदाबसस्यम्	Weinraute
८५५	855
८१८	818
८३७	837
८४५	845
१६६	166
उलूकः	Eulen
हरेणुः	Erbse
कशेरुकाः	Wirbeltiere
५५२	552
खर्जूरम्	Echte Dattelpalme
नाट्यकला	Drama
६००	600
४००	400
३००	300
इरावती नदी	Irrawaddy
राजा रामण्णा	Raja Ramanna
मान्ट्पेलियर्, वर्मान्ट्	Montpelier (Vermont)
बि एम् डब्ल्यू	BMW
मिश्रेयसस्यम्	Dill (Pflanze)
हम्पी	Hampi
लवङ्गम्	Gewürznelken-Baum
हेरोडोटस	Herodot
लक्षद्वीपाः	Lakshadweep
शाका ज़ूलू	Shaka
मोरङमण्डलम्	Morang (Distrikt)
पाँचथरमण्डलम्	Panchthar (Distrikt)
सुनसरीमण्डलम्	Sunsari (Distrikt)
झापामण्डलम्	Jhapa (Distrikt)
वराङ्गम्	Zimt
अगस्टा	Augusta (Maine)
बेटन रूज	Baton Rouge
लान्सिङ्	Lansing
आनापालिस्	Annapolis (Maryland)
कुस्तुम्बरीपर्णम्	Echter Sellerie
३६	36
केशः	Haar
स्प्रिंग्फ़ील्ड्	Springfield (Illinois)
ताप्लेजुङमण्डलम्	Taplejung (Distrikt)
फ़्रांक्फ़ोर्ट्, केन्टकी	Frankfort (Kentucky)
कासिमिर फन्क	Casimir Funk
फील्ड्स् पदकप्रशस्तिः	Fields-Medaille
इग्नेसी ल्युकसिविक्ज	Ignacy Łukasiewicz
इलाममण्डलम्	Ilam (Distrikt)
पोङ्गल्	Pongal
मान्टगोमेरी	Montgomery (Alabama)
असमिया	Assamesische Sprache
जुनो	Juneau
क्रिस स्मालिंग	Chris Smalling
जोनी एवंस	Jonny Evans
चीनादेशः	China
घनत्वम् (भौतविज्ञानम्)	Dichte
अवधी भाषा	Awadhi
८१५	815
८१६	816
८२२	822
८४०	840
८२३	823
८११	811
७७१	771
८८८	888
७६८	768
८५१	851
२०५	205
१५९	159
१०७	107
१६२	162
१०३	103
८०२	802
८०४	804
११९	119
११८	118
८०१	801
८०७	807
८०६	806
१५२	152
२४०	240
२१८	218
६५५	655
४९६	496
२३८	238
१९७	197
४५१	451
७७५	775
४८९	489
७८४	784
६६१	661
६२५	625
६५३	653
९०४	904
९२१	921
९२३	923
११२६	1126
६६८	668
६३६	636
४०८	408
४६४	464
४१०	410
९५६	956
९५२	952
६५८	658
६५०	650
५१८	518
७०	70
८१	81
६९	69
८७	87
६५	65
६६	66
६७	67
५५	55
३४	34
४४	44
३५	35
६४	64
५०४	504
४५३	453
१६१	161
१६९	169
४८१	481
१५१	151
१५५	155
१२८	128
१२९	129
४६३	463
१९३	193
६७४	674
६८७	687
२५१	251
३३७	337
७८६	786
६६०	660
५०	50
२६०	260
५०१	501
४५	45
४९१	491
४९	49
९७८	978
२२१	221
५४३	543
५३६	536
२३०	230
७६२	762
६१०	610
७८७	787
४८०	480
२०९	209
२०२	202
१९२	192
६८१	681
८१९	819
१७३	173
८६७	867
८६५	865
८२७	827
८२४	824
८४७	847
८८३	883
८२९	829
८१३	813
९१०	910
८५०	850
८०८	808
८५३	853
८७२	872
८७३	873
८५६	856
८५८	858
८३१	831
८५७	857
८२८	828
८२६	826
८३३	833
८४८	848
८३४	834
८८१	881
८५२	852
१६३	163
१५४	154
२०१	201
८०३	803
८०५	805
५२	52
५३२	532
८२	82
८४	84
७३	73
७२	72
६२	62
७१	71
७५	75
७४	74
८३	83
७८	78
७७	77
९०	90
८०	80
६२७	627
४५६	456
९१	91
१९०	190
१०९	109
५३	53
२७०	270
६८८	688
४५२	452
७९५	795
४६५	465
७७८	778
८४६	846
८३०	830
४०४	404
९०८	908
८९६	896
८९७	897
९२७	927
६३	63
५५५	555
५७१	571
८६	86
४०१	401
८९०	890
५३३	533
२६४	264
मिखाइल् गोर्बचोफ्	Michail Sergejewitsch Gorbatschow
९९	99
४१५	415
४८३	483
४६९	469
४६२	462
४५९	459
४६६	466
४०२	402
७६१	761
७८०	780
६७५	675
६८९	689
७७४	774
७५९	759
७५८	758
३५०	350
मदर् तेरेसा	Mutter Teresa
७८२	782
७६०	760
७८५	785
७८३	783
७६७	767
७६६	766
२११	211
२३२	232
२०४	204
१८८	188
९८	98
८९४	894
८९१	891
६०२	602
६२८	628
८९२	892
६०१	601
६७२	672
६८२	682
८२१	821
६४८	648
६८६	686
६६४	664
६७७	677
६४०	640
११०	110
१११	111
१३७	137
१३८	138
१२२	122
१४०	140
८०९	809
१६७	167
६६५	665
७७६	776
७६३	763
७६९	769
६६७	667
५२९	529
७७७	777
७८८	788
६७१	671
७७२	772
४३२	432
२३१	231
२३७	237
२३९	239
१३०	130
२२६	226
२०७	207
४७५	475
४५४	454
४९५	495
२०६	206
४६८	468
४६१	461
४६०	460
१९४	194
२१०	210
२२५	225
३११	311
२२०	220
५४१	541
६४२	642
यश चोपरा	Yash Chopra
३१३	313
१८०	180
७९४	794
५८७	587
५३०	530
६०९	609
४९७	497
५४०	540
४२८	428
५४८	548
४२२	422
५४९	549
४५७	457
४७८	478
२५३	253
४६७	467
४५८	458
१५८	158
१५७	157
१६४	164
१२४	124
११३	113
१२१	121
१०६	106
५५१	551
४९४	494
३२०	320
२४२	242
२९१	291
४८	48
९७	97
५६	56
९३	93
५७	57
५०३	503
५१०	510
५०९	509
४७४	474
४८४	484
५७६	576
४९३	493
४७९	479
२८७	287
४०७	407
४८५	485
५४७	547
५४६	546
५४४	544
५३७	537
५३५	535
५०२	502
५२७	527
५०८	508
५२५	525
६१३	613
६१८	618
६१७	617
६०८	608
६४५	645
६२१	621
६०६	606
६२३	623
६०४	604
६०३	603
६२६	626
६१९	619
६३४	634
६३०	630
६१४	614
५०५	505
४४६	446
७९१	791
५५७	557
६५६	656
६५७	657
६५९	659
६५१	651
६७६	676
६७०	670
६५२	652
६७३	673
६५४	654
६४७	647
८१२	812
६६९	669
७९२	792
६४९	649
८९५	895
७५६	756
६६३	663
७७९	779
६६२	662
६८४	684
७७३	773
७५७	757
४३५	435
७९०	790
४३७	437
४३३	433
७६४	764
४२६	426
७८१	781
४२५	425
४२९	429
४२३	423
७६५	765
२३५	235
२३३	233
२२३	223
२२४	224
२१६	216
२१९	219
२५४	254
२७२	272
२०८	208
१७५	175
१७०	170
१७१	171
१७२	172
५८	58
५९	59
१३९	139
११४	114
१३४	134
१३५	135
१७९	179
१४२	142
९६	96
१८१	181
१४६	146
१४५	145
१८३	183
१८२	182
१८४	184
३२४	324
५८९	589
शुकः	Papageien
५२१	521
९२	92
५९७	597
३२९	329
१३३	133
४१३	413
२५८	258
२५९	259
१९६	196
२३६	236
७८९	789
३३२	332
६३१	631
४८७	487
६३८	638
४७३	473
१७६	176
१४३	143
६४३	643
५२३	523
२१५	215
१४८	148
२४७	247
४२४	424
६४१	641
४९२	492
६३९	639
२५६	256
४४१	441
१३१	131
१९१	191
४५०	450
६१२	612
६३५	635
६११	611
५३४	534
४८८	488
६०७	607
५२४	524
२८२	282
४७२	472
४७१	471
४९०	490
३१६	316
७९७	797
५११	511
सन्तरणक्रीडा	Schwimmsport
२९५	295
५९८	598
३०३	303
२५०	250
५१५	515
५१२	512
४१८	418
३३३	333
२९४	294
२१७	217
२७७	277
५७८	578
३१२	312
२८४	284
२८३	283
२४१	241
मेषराशिः	Widder (Tierkreiszeichen)
२४३	243
२६२	262
४९८	498
३३६	336
३३४	334
२६६	266
मुष्टिकाताडनक्रीडा	Boxen
२६१	261
४७०	470
३४९	349
२७१	271
२७५	275
२९२	292
२९६	296
३४५	345
४३१	431
३०४	304
५५०	550
५८६	586
५८८	588
५५४	554
२२९	229
५८३	583
२६५	265
२६३	263
५८५	585
५८२	582
५५६	556
४२०	420
२८०	280
५८१	581
५५८	558
३०२	302
३०९	309
३५३	353
३३५	335
३६७	367
३४४	344
२४५	245
२९०	290
४४९	449
३०८	308
२५५	255
४३९	439
३१९	319
३१८	318
२९९	299
४१९	419
४१६	416
३३८	338
३१०	310
३१५	315
३५९	359
३६०	360
२७३	273
२८६	286
२८८	288
२७८	278
४५५	455
५७७	577
५७५	575
४८२	482
४८६	486
५८०	580
५६७	567
५६४	564
५६१	561
३२८	328
३२५	325
३१७	317
५७४	574
५६६	566
२४९	249
३४८	348
४४२	442
४४३	443
२६७	267
२४४	244
२४८	248
३४३	343
५६२	562
४१७	417
२६८	268
५९०	590
२६९	269
४९९	499
मलाला युसुफजई	Malala Yousafzai
४०९	409
४०५	405
४०६	406
४०३	403
४१४	414
४११	411
४१२	412
५६०	560
५९२	592
२७६	276
३१४	314
३२३	323
३६६	366
३६२	362
५४५	545
५३१	531
५१४	514
५१३	513
५३९	539
५३८	538
५१९	519
५१६	516
५२०	520
५२२	522
५२८	528
५०६	506
५२६	526
५०७	507
२१४	214
२१३	213
२१२	212
२२८	228
२२७	227
१४९	149
१७४	174
१८९	189
१९९	199
१४१	141
१३२	132
१२५	125
१२३	123
१४७	147
१४४	144
१९८	198
१७८	178
१७७	177
१८७	187
१९५	195
१८६	186
३४७	347
६२०	620
६२४	624
६०५	605
६२९	629
६१६	616
६१५	615
६४४	644
६४६	646
६३३	633
६३७	637
मोघलसाम्राज्‍यम्	Mogulreich
४३६	436
४३४	434
२९३	293
४२७	427
सीकर	Sikar
१८५	185
३२१	321
जालन्धर	Jalandhar
३२७	327
४३०	430
त्रोत्स्की	Leo Trotzki
४४७	447
लिटिल् राक्	Little Rock
५६९	569
हुब्बळ्ळी	Hubli-Dharwad
होसपेटे	Hospet
५६८	568
४४४	444
७९६	796
७९८	798
एला	Grüner Kardamom
७९३	793
६८५	685
हार्टफ़र्ड्	Hartford (Connecticut)
७९९	799
६८३	683
२७४	274
डोवर्, डेलावेर्	Dover (Delaware)
५७९	579
२८१	281
३०६	306
४३८	438
कश्मीरी	Kashmiri
२९७	297
४२१	421
२९८	298
३५१	351
३५२	352
३५५	355
९५	95
९४	94
५९४	594
५४२	542
हेमा मालिनी	Hema Malini
४४८	448
४४५	445
३०५	305
२३४	234
५६५	565
कन्नडभाषा	Kannada
३८१	381
३८५	385
५५३	553
३०७	307
५८४	584
३४६	346
२५७	257
विद्युत्	Blitz
२८५	285
५९१	591
२८९	289
हस्तः	Hand
५६३	563
२५२	252
ओडियाभाषा	Oriya
नेपाली भाषा	Nepali
जनसङ्ख्या	Bevölkerung
५९५	595
२४६	246
५९६	596
५९३	593
३५७	357
५७३	573
नेपालभाषा	Newari
वालपाराईसो	Valparaíso
अभिनेता	Schauspieler
भल्लातकः	Kaschu
जलपातः	Wasserfall
५५९	559
५९९	599
३२६	326
३४१	341
३२२	322
३८६	386
३७४	374
३८०	380
नवनीतम्	Butter
१३६	136
कोङ्कणी	Konkani
लाइनस टोर्वाल्ड्स	Linus Torvalds
अलेग्झाण्डर् ग्रहां बेल्	Alexander Graham Bell
फलितज्योतिषम्	Astrologie
वाद्ययन्त्राणि	Musikinstrument
न्‍यू आर्लीन्‍स	New Orleans
हिरोहितो	Hirohito
३८२	382
३४२	342
३७३	373
३७२	372
सोमालिलैंड	Somaliland
मधुकर्कटीफलम्	Papaya
३७५	375
बेंजामिन फ्रैंकलिन	Benjamin Franklin
पर्णशाकम्	Weißkohl
विल्हेल्म् कार्नार्ड् रोण्ट्जेन्	Wilhelm Conrad Röntgen
तत्त्वमीमांसा	Metaphysik
३८७	387
कोलम्बो	Colombo
आर्द्रकम्	Ingwer
द्रव्यम् (भौतविज्ञानम्)	Materie (Physik)
बाय्सी	Boise
श्वासरोगः	Asthma bronchiale
हो चि मिन्ह	Hồ Chí Minh
मैथिली भाषा	Maithili
प्लाक्षफलम्	Echte Feige
मलयाळम्	Malayalam
जीवनी	Biografie
इगुवास्सुजलपातः	Iguazú-Wasserfälle
लोज़बानम्	Lojban
हाम्मुरबी	Hammurapi I. (Babylon)
महारानी काथरिन	Katharina II. (Russland)
हान्निबल	Hannibal
पिष्टानि	Mehl
गुग्लिमो मार्कोनी	Guglielmo Marconi
अटिला	Attila
पालिभाषा	Pali
अङ्ग सान् सू की	Aung San Suu Kyi
नखः	Nagel (Anatomie)
मधुबाला	Madhubala
कुष्ठरोगः	Lepra
वदनम्	Gesicht
टालाहासे	Tallahassee
सर् अलेक्साण्डर् प्लेमिङ्ग्	Alexander Fleming
राष्ट्रियबालदिनम् (भारतम्)	Kindertag
फ्लोरेन्स नैटिन्गेल	Florence Nightingale
गुल्बर्गा	Gulbarga
३३१	331
३६५	365
३७९	379
राबर्ट् कोख्	Robert Koch
अध्यापकः	Lehrer
रामायणम्	Ramayana
कलायः	Erdnuss
जानु	Kniegelenk
पिएरे क्युरी	Pierre Curie
दूधसागरजलपातः	Dudhsagar Falls
टी. एस. एलियट	T. S. Eliot
पर्यावरणव्यवस्था	Ökosystem
शीतकम्	Kühlschrank
मिष्टालुकम्	Süßkartoffel
ग्रिगोर् जान् मेण्डेल्	Gregor Mendel
रङ्गून	Rangun
हेलेन केलर	Helen Keller
हेनरी ८	Heinrich VIII. (England)
आशा भोंसले	Asha Bhosle
सान्टा फ़े	Santa Fe (New Mexico)
देवनागरी	Devanagari
कलिङ्गफलम्	Wassermelone
पाकशास्त्रम्	Kochen
ज्वरः	Fieber
अन्ताराष्ट्रिय-महिलादिनम्	Internationaler Frauentag
शेयेन्	Cheyenne (Wyoming)
रिचार्ड फैनमन	Richard Feynman
आयतनम्	Volumen
नारङ्ग	Orange (Farbe)
पोल पॉट	Pol Pot
पेट्रोल्	Motorenbenzin
क्रिस्टियन् हुगेन्स्	Christiaan Huygens
डे माय्ने	Des Moines
वातामम्	Mandelbaum
वेदः	Veda
जार्डन्-नदी	Jordan
आम्लीयवर्षणम्	Saurer Regen
कार्ल बेन्ज़	Carl Benz
परवेज़ मुशर्रफ़	Pervez Musharraf
पियेर्	Pierre (South Dakota)
धान्यानि	Same (Pflanze)
एड्वर्ड् जेन्नर्	Edward Jenner
अण्डमाननिकोबारद्वीपसमूहः	Andamanen und Nikobaren
वर्नर हाइजेनबर्ग	Werner Heisenberg
नेफेरतिति	Nofretete
एवा पेरोन	Eva Perón
ललाटम्	Stirn
टोपेका	Topeka (Kansas)
इटानगरम्	Itanagar
मार्टिन स्कोर्सेसे	Martin Scorsese
ग्रनैट् (शिला)	Granit
कर्ट गोडेल	Kurt Gödel
आमलकम्	Stachelbeere
डेविड हिल्बर्ट	David Hilbert
छत्रम्	Regenschirm
कुस्तुम्बरी	Echter Koriander
भारतस्य राष्ट्रध्वजः	Flagge Indiens
हेण्ड्रिक लारेन्ज़	Hendrik Antoon Lorentz
चित्तौडगढ	Chittorgarh
अन्तरतारकीयमाध्यमम्	Interstellare Materie
मनमोहन सिंह	Manmohan Singh
रोजा पार्क्स	Rosa Parks
