ਅਫ਼ਰੀਕਾ	Afrika
ਮਨੁੱਖੀ ਹੱਕ	Menschenrechte
ਨਸਲਵਾਦ	Rassismus
ਗ਼ੁਲਾਮੀ	Sklaverei
ਖ਼ਾਨਾਜੰਗੀ	Bürgerkrieg
ਆਮੂ ਦਰਿਆ	Amudarja
ਪਹਾੜ	Berg
2008 ਓਲੰਪਿਕ ਖੇਡਾਂ	Olympische Sommerspiele 2008
ਸੁਨ ਯਾਤ ਸਨ	Sun Yat-sen
ਅਸ਼ੋਕ	Ashoka
ਅਕਬਰ	Akbar
ਸਿਮੋਨ ਬੋਲੀਵਰ	Simón Bolívar
ਹਾਂਗਕਾਂਗ	Hongkong
ਕਰਾਚੀ	Karatschi
ਅਰਬ-ਇਜ਼ਰਾਇਲੀ ਟਾਕਰਾ	Nahostkonflikt
ਲਾਗੋਸ	Lagos
ਰਿਓ ਡੀ ਜਨੇਰੋ	Rio de Janeiro
ਬਰਤਾਨਵੀ ਸਾਮਰਾਜ	Britisches Weltreich
ਰਿਆਲ ਮਾਦਰੀਦ ਫੁੱਟਬਾਲ ਕਲੱਬ	Real Madrid
ਠੰਢੀ ਜੰਗ	Kalter Krieg
ਸਿਓਲ	Seoul
ਸ਼ੰਘਾਈ	Shanghai
ਅਥਲੇਟਿਕ ਕਲੱਬ ਬਿਲਬੂ	Athletic Bilbao
ਸੱਭਿਆਚਾਰਕ ਇਨਕਲਾਬ	Kulturrevolution
ਆਰਥਿਕ ਮੰਦਵਾੜਾ	Weltwirtschaftskrise
ਅਥਲੇਟਿਕੋ ਮਾਦਰੀਦ	Atlético Madrid
ਵਾਲਟ ਡਿਜ਼ਨੀ	Walt Disney
ਇਸ਼ਬੀਲੀਆ	Sevilla
ਰੂਸੀ ਇਨਕਲਾਬ	Russische Revolution
ਵਰਸਾਏ ਦੀ ਸੰਧੀ	Friedensvertrag von Versailles
ਆਰਕੀਮਿਡੀਜ਼	Archimedes
ਵੀਅਤਨਾਮ ਜੰਗ	Vietnamkrieg
ਥਾਮਸ ਐਡੀਸਨ	Thomas Alva Edison
ਅਲਬਾਨੀਆਈ ਭਾਸ਼ਾ	Albanische Sprache
ਮਾਈਕਲ ਫ਼ੈਰਾਡੇ	Michael Faraday
ਆਰ. ਸੀ. ਡੀ. ਐਸਪਾਞੋਲ	Espanyol Barcelona
ਆਰਮੇਨੀਆਈ ਭਾਸ਼ਾ	Armenische Sprache
ਯੂਕਰੇਨੀ ਭਾਸ਼ਾ	Ukrainische Sprache
ਗਰਾਨਾਦਾ	Granada
ਐਚਃ ਟੀਃ ਐਮਃ ਐਲਃ	Hypertext Markup Language
ਵਾਲੈਂਸੀਆ	Valencia
ਕੰਨਿਆ ਤਾਰਾਮੰਡਲ	Jungfrau (Sternbild)
ਨਰਤੁਰੰਗ ਤਾਰਾਮੰਡਲ	Zentaur (Sternbild)
ਕਰਕ ਤਾਰਾਮੰਡਲ	Krebs (Sternbild)
ਮਾਲਾਗਾ	Málaga
ਪਰਣਿਨ ਘੋੜਾ ਤਾਰਾਮੰਡਲ	Pegasus (Sternbild)
ਸੱਤਿਆਜੀਤ ਰਾਏ	Satyajit Ray
ਸਟੀਵਨ ਸਪੀਲਬਰਗ	Steven Spielberg
ਸਪਤਰਿਸ਼ੀ	Großer Bär
ਮਾਰੀਓਂ ਕੋਤੀਯਾਰ	Marion Cotillard
ਮੋ ਯਾਨ	Mo Yan
ਮਾਕਸ ਪਲਾਂਕ	Max Planck
ਗੁਆਦਾਲਾਹਾਰਾ	Guadalajara (Mexiko)
ਸਵੀਡਿਸ਼ ਭਾਸ਼ਾ	Schwedische Sprache
ਡੈਨਿਸ਼ ਭਾਸ਼ਾ	Dänische Sprache
ਨਿਕੋਲਾ ਟੈਸਲਾ	Nikola Tesla
ਮੁਹੰਮਦ ਇਬਨ ਮੂਸਾ ਅਲ-ਖ਼ਵਾਰਿਜ਼ਮੀ	Al-Chwarizmi
ਨਾਰਵੇਜੀਆਈ ਭਾਸ਼ਾ	Norwegische Sprache
ਚਾਣਕਿਆ	Chanakya
ਨੌਮ ਚੌਮਸਕੀ	Noam Chomsky
ਲਕਸਮਬਰਗੀ ਭਾਸ਼ਾ	Luxemburgische Sprache
ਚੈੱਕ ਭਾਸ਼ਾ	Tschechische Sprache
ਸਲੋਵਾਕ ਭਾਸ਼ਾ	Slowakische Sprache
ਕਾਰਲ ਮਾਰਕਸ	Karl Marx
ਮਗਿਆਰ ਭਾਸ਼ਾ	Ungarische Sprache
ਵੋਲਟੇਅਰ	Voltaire
ਏਸਟੋਨਿਆਈ ਭਾਸ਼ਾ	Estnische Sprache
ਮੂਸਾ	Mose
ਗਿਆਨ	Wissen
ਹਿੰਦੂ ਧਰਮ	Hinduismus
ਬੇਲਾਰੂਸੀ ਭਾਸ਼ਾ	Weißrussische Sprache
ਖੋਸੇ ਮੂਖੀਕਾ	José Mujica
ਤਾਬਾਰੇ ਵਾਸਕੇਸ	Tabaré Vázquez
ਦਮੀਤਰੀ ਮੈਂਡਲੀਵ	Dmitri Iwanowitsch Mendelejew
ਪਰਮਾਣੂ	Atom
ਅਰਨਸਟ ਰਦਰਫ਼ੋਰਡ	Ernest Rutherford
ਪ੍ਰਕਾਸ਼	Licht
ਯੂਨਾਨੀ ਭਾਸ਼ਾ	Griechische Sprache
ਮਿੱਥ ਵਿਗਿਆਨ	Mythologie
ਆਪਰੇਟਿੰਗ ਸਿਸਟਮ	Betriebssystem
ਤਾਜ ਮਹਿਲ	Taj Mahal
ਪ੍ਰੋਗਰਾਮਿੰਗ ਭਾਸ਼ਾ	Programmiersprache
ਈ-ਮੇਲ	E-Mail
ਇੱਕ ਈਸ਼ਵਰਵਾਦ	Monotheismus
ਜੋਸਿਪ ਬਰੋਜ਼ ਟੀਟੋ	Josip Broz Tito
ਆਤਮਾ	Seele
ਮਾਲਟਾਈ ਭਾਸ਼ਾ	Maltesische Sprache
ਫ਼ਾਰਸੀ ਭਾਸ਼ਾ	Persische Sprache
ਧਰਮ	Religion
ਕੋਰੀਅਨ ਭਾਸ਼ਾ	Koreanische Sprache
ਅਬਰਾਹਮ	Abraham
ਜਣਨ ਦੀ ਕਿਤਾਬ	1. Buch Mose
ਰੇਨੇ ਦੇਕਾਰਤ	René Descartes
ਮੰਦਾਰਿਨ ਭਾਸ਼ਾ	Nordchinesische Dialekte
ਵੀਅਤਨਾਮੀ ਭਾਸ਼ਾ	Vietnamesische Sprache
ਸਟੈਚੂ ਆਫ਼ ਲਿਬਰਟੀ	Freiheitsstatue
ਖਮੇਰ ਭਾਸ਼ਾ	Khmer-Sprache
ਲੁੰਬਿਨੀ	Lumbini
ਸਿਗਮੰਡ ਫ਼ਰਾਇਡ	Sigmund Freud
ਥਾਈ ਭਾਸ਼ਾ	Thailändische Sprache
ਬਰਮੀ ਭਾਸ਼ਾ	Birmanische Sprache
ਜੈਨ ਧਰਮ	Jainismus
ਗਿਓਕ ਵਿਲਹੈਲਮ ਫ਼ਰੀਡਰਿਸ਼ ਹੇਗਲ	Georg Wilhelm Friedrich Hegel
ਮੰਗੋਲ ਭਾਸ਼ਾ	Mongolische Sprache
ਬਾਕੂ	Baku
ਕਜ਼ਾਖ ਭਾਸ਼ਾ	Kasachische Sprache
ਕਿਰਗੀਜ਼ ਭਾਸ਼ਾ	Kirgisische Sprache
ਵਿਸ਼ਵ ਵਿਰਾਸਤ ਟਿਕਾਣਾ	UNESCO-Welterbe
ਉਜ਼ਬੇਕ ਭਾਸ਼ਾ	Usbekische Sprache
ਯਹੂਦੀ ਧਰਮ	Judentum
ਥਿੰਫੂ	Thimphu
ਬੰਦਰ ਸੇਰੀ ਬੇਗਵਾਨ	Bandar Seri Begawan
ਹਿਬਰੂ ਭਾਸ਼ਾ	Hebräische Sprache
ਅਜ਼ੇਰੀ ਭਾਸ਼ਾ	Aserbaidschanische Sprache
ਸਰਬੀਆਈ ਭਾਸ਼ਾ	Serbische Sprache
ਦੀਲੀ	Dili
ਇਮੈਨੂਅਲ ਕਾਂਤ	Immanuel Kant
ਸਿੱਖੀ	Sikhismus
ਜਾਨ ਮੇਨਾਰਡ ਕੇਨਜ਼	John Maynard Keynes
ਵਿਆਂਗ ਚਾਨ	Vientiane
ਮੋਪਾਸਾਂ	Guy de Maupassant
ਮਾਲੇ	Malé
ਯੋਗਾਸਣ	Yoga
ਜਾਨ ਲਾਕ	John Locke
ਫ਼ਰੀਡਰਿਸ਼ ਨੀਤਸ਼ੇ	Friedrich Nietzsche
ਬਿਸ਼ਕੇਕ	Bischkek
ਯਾਂ ਪਾਲ ਸਾਰਤਰ	Jean-Paul Sartre
ਦੁਸ਼ਾਂਬੇ	Duschanbe
ਕਾਲਜਾ	Leber
ਗੁਰਦਾ	Niere
ਐਡਮ ਸਮਿਥ	Adam Smith
ਮੈਕਸ ਵੈਬਰ	Max Weber
ਲੁਡਵਿਗ ਵਿਟਗਨਸਟਾਈਨ	Ludwig Wittgenstein
ਖਰਗੋਸ਼	Kaninchen
ਨਿੰਜਾ	Ninja
ਵਲਵਲਾ	Emotion
ਮਨੋਵਿਗਿਆਨ	Psychologie
ਤਿੰਬਕਤੂ	Timbuktu
ਮਹਾਂਸਾਗਰ	Ozean
﻿ਮਲਿਕਾ ਵਿਕਟੋਰੀਆ	Victoria (Vereinigtes Königreich)
ਗੌਤਮ ਬੁੱਧ	Siddhartha Gautama
ਲੋਥਲ	Lothal
ਪੀਟ ਸੈਮਪਰਾਸ	Pete Sampras
ਵਿਰੋਧਵਿਕਾਸ	Dialektik
ਵੱਲਭਭਾਈ ਪਟੇਲ	Vallabhbhai Patel
ਮੁਹੰਮਦ	Mohammed
ਨੀਤੀ ਵਿਗਿਆਨ	Ethik
ਗਿਆਨ ਮੀਮਾਂਸਾ	Erkenntnistheorie
ਕਾਟੋ	Hörnchen
ਸਚਿਨ ਤੇਂਦੁਲਕਰ	Sachin Tendulkar
ਯਥਾਰਥ	Realität
ਏ ਪੀ ਜੇ ਅਬਦੁਲ ਕਲਾਮ	A. P. J. Abdul Kalam
ਬੀਬੀਸੀ	British Broadcasting Corporation
ਸ਼ਾਹਰੁਖ ਖਾਨ	Shah Rukh Khan
ਸਲਮਾਨ ਖ਼ਾਨ	Salman Khan
ਅਲ-ਗ਼ਜ਼ਾਲੀ	Al-Ghazālī
ਕੈਟਰੀਨਾ ਕੈਫ਼	Katrina Kaif
ਮਾਰਟਿਨ ਲੂਥਰ	Martin Luther
ਆਮਿਰ ਖ਼ਾਨ	Aamir Khan
ਅਮਿਤਾਭ ਬੱਚਨ	Amitabh Bachchan
ਸ਼ੀਆ ਇਸਲਾਮ	Schia
ਕੈਥੋਲਿਕ ਗਿਰਜਾਘਰ	Römisch-katholische Kirche
ਤਾਓਵਾਦ	Daoismus
ਪਾਰਸੀ ਧਰਮ	Zoroastrismus
ਸੂਫ਼ੀਵਾਦ	Sufismus
ਸ਼ਿਰਾ	Vene
ਬੰਗਾਲੀ ਭਾਸ਼ਾ	Bengalische Sprache
ਚੈਲਸੀ ਫੁੱਟਬਾਲ ਕਲੱਬ	FC Chelsea
ਆਰਸਨਲ ਫੁੱਟਬਾਲ ਕਲੱਬ	FC Arsenal
ਘੰਡੀ	Kehlkopf
ਜੋੜ (ਸਰੀਰੀ ਬਣਤਰ)	Gelenk
ਹਿੱਕ	Brust
ਫ਼ਾਕਲੈਂਡ ਟਾਪੂ	Falklandinseln
ਇਪ੍ਸਵਿਚ ਟਾਊਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	Ipswich Town
ਧਮਣੀ	Arterie
A	A
ਕਰਨਲ (ਆਪਰੇਟਿੰਗ ਸਿਸਟਮ)	Kernel (Betriebssystem)
ਮਾਈਕਲ ਸ਼ੂਮਾਕਰ	Michael Schumacher
ਲੂਇਸ ਹੈਮਿਲਟਨ	Lewis Hamilton
ਮੈਨ ਟਾਪੂ	Isle of Man
ਨਿਊਯਾਰਕ ਟਾਈਮਜ਼	The New York Times
ਜੇ ਐੱਫ਼ ਕੈਨੇਡੀ	John F. Kennedy
B	B
ਆਨਰੇ ਦੇ ਬਾਲਜ਼ਾਕ	Honoré de Balzac
G	G
U	U
Z	Z
ਫ਼ਲੇਮੇਂਕੋ	Flamenco
F	F
J	J
ਵਰਨਮਾਲਾ	Alphabet
ਅੱਖਰ	Buchstabe
ਰੇਗੇ	Reggae
T	T
C	C
R	R
D	D
ਕੋਇੰਬਟੂਰ	Coimbatore
ਅਲਫ਼ਾ	Alpha
ਉਦਗਮੰਦਲਮ	Udagamandalam
ਓਮੇਗਾ	Omega
I	I
ਮਿਊ (ਅੱਖਰ)	My
E	E
H	H
K	K
L	L
M	M
N	N
O	O
P	P
Q	Q
S	S
V	V
W	W
X	X
Y	Y
ਡੱਚ ਵਿਕੀਪੀਡੀਆ	Niederländischsprachige Wikipedia
ਫਾਈ	Phi
ਟੀਪੂ ਸੁਲਤਾਨ	Tipu Sultan
ਨੀਲਗਿਰੀ ਦੀਆਂ ਪਹਾੜੀਆਂ	Nilgiri-Berge
ਮੀਲ ਪੱਥਰ	Meilenstein
ਰਾਹੁਲ ਗਾਂਧੀ	Rahul Gandhi
ਭਾਰਤੀ ਰਾਸ਼ਟਰੀ ਕਾਂਗਰਸ	Indischer Nationalkongress
ਭਾਰਤੀ ਜਨਤਾ ਪਾਰਟੀ	Bharatiya Janata Party
ਦਾਦਾ ਭਾਈ ਨਾਰੋਜੀ	Dadabhai Naoroji
ਦਿਵਾਲੀ	Diwali
ਪਲਾਜ਼ਮਾ	Plasma (Physik)
ਹੋਲੀ	Holi
ਪਾਈਥਾਗੋਰਸ	Pythagoras
ਦੁਸਹਿਰਾ	Dashahara
ਕੁੰਭ ਮੇਲਾ	Kumbh Mela
ਕੋਲੋਸੀਅਮ	Kolosseum
ਤਾਰਾਗੋਤਾ	Saragossa
ਰਿਆਲ ਸੋਸੀਏਦਾਦ	Real Sociedad San Sebastián
ਸਿਵਿਲ ਫੁੱਟਬਾਲ ਕਲੱਬ	FC Sevilla
ਵਾਲੈਂਸੀਆ ਕਲੱਬ ਦੀ ਫੁੱਟਬਾਲ	FC Valencia
ਉੱਤਰਕਿਰੀਟ ਤਾਰਾਮੰਡਲ	Nördliche Krone
ਕਬੂਤਰ ਤਾਰਾਮੰਡਲ	Taube (Sternbild)
ਇਕਊਲੀਅਸ	Füllen (Sternbild)
ਫੀਨਿਕਸ ਤਾਰਾਮੰਡਲ	Phoenix (Sternbild)
ਖ਼ਰਗੋਸ਼ ਤਾਰਾਮੰਡਲ	Hase (Sternbild)
ਕਰਾਇਨਾ ਤਾਰਾਮੰਡਲ	Kiel des Schiffs
ਐਂਤਲਿਆ ਤਾਰਾਮੰਡਲ	Luftpumpe (Sternbild)
ਡੇਵਿਡ ਬੈਕਮ	David Beckham
ਰਾਯਨ ਗਿੱਗਸ	Ryan Giggs
ਵ੍ਰਸ਼ ਤਾਰਾਮੰਡਲ	Stier (Sternbild)
ਵਿਕਾਰਾਗ ਰੋਡ	Vicarage Road
ਕਾਰਡਿਫ਼	Cardiff
ਮਿਆਦੀ ਪਹਾੜਾ	Periodensystem
ਥੋਸ਼ਾਊਨ	Tórshavn
ਜਾਰਜਟਾਊਨ, ਗੁਇਆਨਾ	Georgetown (Guyana)
ਖ਼ੁਦਕੁਸ਼ੀ	Suizid
ਡੀਵੈਨ ਜਾਨਸਨ	Dwayne Johnson
ਕੁਤਰਦੰਦੀ ਜੀਵ	Nagetiere
ਕਬੂਤਰ	Tauben
ਬੈਕਟੀਰੀਆ	Bakterien
ਰੁੱਖ	Baum
ਲੈਮਡਾ	Lambda
ਇਨਕਲਾਬ	Revolution
ਪਨੀਰ	Käse
ਟਾਈਗਰ ਵੁਡਜ਼	Tiger Woods
ਆਲੂ	Kartoffel
ਸ਼ੱਕਰ	Zucker
ਸਬਜੀ	Gemüse
ਰੋਬੋਟ	Roboter
ਟੈਕਨਾਲੋਜੀ	Technologie
ਪੇਚ	Schraube
ਇੰਜੀਨੀਅਰੀ	Ingenieurwissenschaften
ਜਾਣਕਾਰੀ	Information
ਸੱਭਿਆਚਾਰ	Kultur
ਹਿੰਦੁਸਤਾਨੀ ਭਾਸ਼ਾ	Hindustani
ਸੰਸਕ੍ਰਿਤ ਭਾਸ਼ਾ	Sanskrit
ਅਲਜ਼ਾਈਮਰ ਰੋਗ	Alzheimer-Krankheit
ਪਾਰਕਿਨਸਨ ਰੋਗ	Parkinson-Krankheit
ਇਬਨ ਅਲ-ਹੀਸ਼ਮ	Alhazen
ਦ ਗਾਰਡੀਅਨ	The Guardian
ਤਿਜ਼ਾਬ	Säuren
ਰਸਾਇਣਕ ਯੋਗ	Chemische Verbindung
ਔਸ਼ਧੀ ਵਿਗਿਆਨ	Medizin
ਖ਼ਾਰ	Basen (Chemie)
ਸਾਰਾਯੇਵੋ	Sarajevo
ਲਘੂਗਣਕ	Logarithmus
ਵਿਧਾਨ ਸਭਾ	Legislative
ਗਿਣਤੀ	Arithmetik
ਸੰਵਿਧਾਨਕ ਕਨੂੰਨ	Verfassungsrecht
ਪੈਂਟਾਗਨ	Pentagon
ਗੁਣਕ ਪ੍ਰਬੰਧ	Koordinatensystem
ਲੂਣ	Speisesalz
ਫ਼ੀਦੇਲ ਕਾਸਤਰੋ	Fidel Castro
ਮਾਈਕਰੋਸਾਫਟ ਵਰਡ	Microsoft Word
ਕਿਊਬਾ ਦਾ ਇਨਕਲਾਬ	Kubanische Revolution
ਮੂੰਗੇ ਦੀਆਂ ਚਟਾਨਾਂ	Korallenriff
ਮੈਨਹੈਟਨ	Manhattan
ਰਸਾਇਣਕ ਤੱਤ	Chemisches Element
ਸਮੀਕਰਨ	Gleichung
ਫੰਕਸ਼ਨ (ਹਿਸਾਬ)	Funktion (Mathematik)
ਕਾਰਬਨੀ ਰਸਾਇਣ ਵਿਗਿਆਨ	Organische Chemie
ਕੋਣ	Winkel
ਕਾਰਬੋਹਾਈਡਰੇਟ	Kohlenhydrate
ਆਰੀਆਭੱਟ	Aryabhata
ਹਾਰਮੋਨ	Hormon
ਅਣੂ	Molekül
ਪ੍ਰਵੇਗ	Beschleunigung
ਸ਼ਿਵ	Shiva
ਊਰਜਾ	Energie
ਵਿਸ਼ਨੂੰ	Vishnu
ਮੁਕਾਮੀ ਇਲਾਕਾ ਜਾਲ	Local Area Network
ਬਿਜਲਚੁੰਬਕੀ ਕਿਰਨ	Elektromagnetische Welle
ਲਾਲਹੇਠ ਕਿਰਨ	Infrarotstrahlung
ਪਰਾਬੈਂਗਣੀ ਕਿਰਨਾਂ	Ultraviolettstrahlung
ਘਰੋਗੀਕਰਨ	Domestizierung
ਟਕਸਾਲੀ ਮਕੈਨਕੀ	Klassische Mechanik
ਜ਼ੋਰ	Kraft
ਚੁੰਬਕੀ ਖੇਤਰ	Magnetfeld
ਨਸਲੀ ਵਿਤਕਰਾ	Apartheid
ਗੁਰੂਤਾ ਖਿੱਚ	Gravitation
ਤਕੜਾ ਮੇਲ-ਜੋਲ	Starke Wechselwirkung
ਜੰਗੀ ਕਲਾ	Kampfkunst
ਮਾੜਾ ਮੇਲ-ਜੋਲ	Schwache Wechselwirkung
ਕਰਾਟੇ	Karate
ਜੂਡੋ (ਖੇਡ)	Judo
ਚੁੰਬਕ	Magnet
ਪੁੰਜ	Masse (Physik)
ਫ਼ਿਲਮ	Film
ਧਾਤ	Metalle
ਨਿਊਕਲੀ ਫੱਟ	Kernspaltung
ਫੂ	Gas
ਤਰਲ	Flüssigkeit
ਠੋਸ	Festkörper
ਸਮੁੰਦਰੀ ਜਹਾਜ਼	Schiff
ਖੇਤੀਬਾੜੀ	Landwirtschaft
ਕਪਾਹ	Baumwollfaser
ਪਹਿਰਾਵਾ	Kleidung
ਹਲ	Pflug
ਵੇਗ	Geschwindigkeit
ਤਾਪਮਾਨ	Temperatur
ਨੈਨੋਤਕਨਾਲੋਜੀ	Nanotechnologie
ਸਮਾਂ	Zeit
ਕਾਗ਼ਜ਼	Papier
ਪਲਾਸਟਿਕ	Kunststoff
ਖ਼ਲਾਅ	Vakuum
ਖੇਤਰਫਲ	Flächeninhalt
ਪਾਈਥਾਗੋਰਸ ਥਿਊਰਮ	Satz des Pythagoras
ਗਾਮਾ ਕਿਰਨ	Gammastrahlung
ਅੰਕ	Zahl
ਕੰਪਲੈਕਸ ਨੰਬਰ	Komplexe Zahl
ਡਾਰਵਿਨ, ਉੱਤਰੀ ਰਾਜਖੇਤਰ	Darwin (Northern Territory)
ਕ੍ਰਿਸਟੀਆਨੋ ਰੋਨਾਲਡੋ	Cristiano Ronaldo
ਮੀਟਰ	Meter
ਸਕਿੰਟ	Sekunde
ਮੱਕੀ	Mais
ਜੌਂ	Gerste
ਕੈਲਵਿਨ	Kelvin
ਚਿੱਤਰਕਾਰੀ	Malerei
ਰੰਗ-ਮੰਚ	Theater
ਬਿਜਲਾਣੂ ਤਕਨਾਲੋਜੀ	Elektronik
ਚਲੰਤ ਬਿਜਲੀ	Elektrischer Strom
ਵਾਰਵਾਰਤਾ	Frequenz
ਡਾਇਓਡ	Diode
ਬਣਾਉਟੀ ਮਸ਼ੀਨੀ ਬੁੱਧੀ	Künstliche Intelligenz
ਮੌਸਮ	Wetter
ਮਾਰੀਆ ਸ਼ਾਰਾਪੋਵਾ	Marija Jurjewna Scharapowa
ਨਿੱਕੀ ਹੈਲੀ ਰੰਧਾਵਾ	Nikki Haley
ਵਾਲ ਸਟਰੀਟ	Wall Street
ਸਟਾਕ ਐਕਸਚੇਂਜ	Wertpapierbörse
ਸੰਯੁਕਤ ਰਾਜ ਵਰਜਿਨ ਟਾਪੂ	Amerikanische Jungferninseln
ਦੱਖਣ-ਪੂਰਬੀ ਏਸ਼ੀਆ	Südostasien
ਲੋਧੀ ਖ਼ਾਨਦਾਨ	Lodi-Dynastie
ਸ਼ੇਨਯਾਂਗ	Shenyang
ਚੌਂਗਕਿੰਗ	Chongqing
ਥਿਆਨਚਿਨ	Tianjin
ਲਹੌਰ	Lahore
ਵੂਖ਼ਨ	Wuhan
ਦੇਸ਼ਾਂ ਦੀ ਸੂਚੀ	Liste der Staaten der Erde
ਲੁਦਵਿਕ ਜ਼ਾਮੇਨਹੋਫ	Ludwik Lejzer Zamenhof
ਪੱਥਰ ਯੁੱਗ	Steinzeit
ਕਾਂਸੀ ਯੁੱਗ	Bronzezeit
ਲੋਹਾ ਯੁੱਗ	Eisenzeit
ਮੈਸੋਪੋਟਾਮੀਆ	Mesopotamien
ਪ੍ਰਾਚੀਨ ਮਿਸਰ	Altes Ägypten
ਬੇਰਿੰਗ ਪਣਜੋੜ	Beringstraße
ਪ੍ਰਾਚੀਨ ਯੂਨਾਨ	Antikes Griechenland
ਗੁਪਤ ਸਲਤਨਤ	Gupta-Reich
ਜਾਨ ਐਡਮਜ਼	John Adams
ਥਾਮਸ ਜੈਫ਼ਰਸਨ	Thomas Jefferson
ਅਲਬਰੂਨੀ	Al-Biruni
ਸਿੰਡਰੇਲਾ	Aschenputtel
ਨਿੱਕੀ ਜਲਪਰੀ (ਕਹਾਣੀ)	Die kleine Meerjungfrau (Märchen)
ਸਪੇਨ ਦੇ ਕਿਲ੍ਹਿਆਂ ਦੀ ਸੂਚੀ	Liste von Burgen, Schlössern und Festungen in Spanien
ਗਾਂਧੀਨਗਰ	Gandhinagar
ਪੀ. ਏਸ. ਵੀ. ਏਇਂਧੋਵੇਨ	PSV Eindhoven
ਪ੍ਰਕਾਸ਼ ਸੰਸਲੇਸ਼ਣ	Photosynthese
ਪ੍ਰਜਨਨ	Fortpflanzung
ਸ਼ਾਹਬਲੂਤ	Eichen
ਤਹਿਰੀਰ ਚੌਕ	Tahrir-Platz
ਰਾਜਫੋੜਾ	Krebs (Medizin)
ਅਰਨੈਸਟੋ ਟੇਓਡੋਰੋ ਮੋਨੇਟਾ	Ernesto Teodoro Moneta
ਜੀਨ ਹੈਨਰੀ ਡੁਨਾਂਟ	Henry Dunant
ਤਲਵਾਰਬਾਜ਼ੀ	Fechten
ਕਣਕ	Weizen
ਆਦਰਾ	Beteigeuze
ਜੁਕਾਮ	Erkältung
ਜੰਤਰੀ	Kalender
ਬੋਲਾਪਣ	Gehörlosigkeit
ਮਨੋਵਿਕਾਰ	Psychische Störung
ਰੋਗ	Krankheit
ਗ੍ਰੈਗੋਰੀਅਨ ਕਲੰਡਰ	Gregorianischer Kalender
ਸਮਾਂ ਖੇਤਰ	Zeitzone
ਸਿਹਤ	Gesundheit
ਦਿਲ ਦਾ ਦੌਰਾ	Myokardinfarkt
ਤੂਤਨਖ਼ਾਮੁਨ	Tutanchamun
ਮਲੇਰੀਆ	Malaria
ਰੋਹੀਣੀ ਤਾਰਾ	Aldebaran
ਮੁਟਾਪਾ	Adipositas
ਮਿੱਤਰ ਤਾਰਾ	Alpha Centauri
ਬੈਕਟੀਰੀਆ-ਵਿਰੋਧੀ ਦਵਾਈ	Antibiotikum
ਕੈਨੋਪਸ	Canopus
ਨੌਂਤ	Nantes
ਏਡਜ਼	AIDS
ਟੀਬੀ	Tuberkulose
ਸ਼ੱਕਰ ਰੋਗ	Diabetes mellitus
ਚੇਚਕ	Pocken
ਕੁਰਦ ਲੋਕ	Kurden
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਆਈਸਲੈਂਡ	Vorlage:Positionskarte Island
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਵੀਡਨ	Vorlage:Positionskarte Schweden
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਫ਼ਿਨਲੈਂਡ	Vorlage:Positionskarte Finnland
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਇਸਤੋਨੀਆ	Vorlage:Positionskarte Estland
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਆਇਰਲੈਂਡ	Vorlage:Positionskarte Irland
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸੰਯੁਕਤ ਬਾਦਸ਼ਾਹੀ	Vorlage:Positionskarte Vereinigtes Königreich
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਫ਼ਰਾਂਸ	Vorlage:Positionskarte Frankreich
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਅੰਡੋਰਾ	Vorlage:Positionskarte Andorra
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਪੇਨ	Vorlage:Positionskarte Spanien
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਇਟਲੀ	Vorlage:Positionskarte Italien
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਵਿਟਜ਼ਰਲੈਂਡ	Vorlage:Positionskarte Schweiz
ਉਸਾਰੀ ਕਲਾ	Architektur
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਲੋਵਾਕੀਆ	Vorlage:Positionskarte Slowakei
ਪੁਲ	Brücke
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਹੰਗਰੀ	Vorlage:Positionskarte Ungarn
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਲੋਵੇਨੀਆ	Vorlage:Positionskarte Slowenien
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕ੍ਰੋਏਸ਼ੀਆ	Vorlage:Positionskarte Kroatien
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕੋਸੋਵੋ ਗਣਰਾਜ	Vorlage:Positionskarte Kosovo
